no	area_in	Snr	Brnr	age
1	0.031	1	1	0
2	0.036	1	1	0
3	0.032	1	1	0
4	0.029	1	1	0
5	0.065	1	1	0
6	0.064	1	1	0
7	0.058	1	1	0
8	0.058	1	1	0
9	0.06	1	1	0
10	0.064	1	1	0
11	0.029	1	1	0
12	0.042	1	1	0
13	0.061	1	1	0
14	0.029	1	1	0
15	0.066	1	1	0
16	0.072	1	1	0
17	0.074	1	1	0
18	0.061	1	1	0
19	0.054	1	1	0
20	0.047	1	1	0
21	0.062	1	1	0
22	0.061	1	1	0
23	0.033	1	1	0
24	0.045	1	1	0
25	0.028	1	1	0
26	0.078	1	1	0
27	0.045	1	1	0
28	0.053	1	1	0
29	0.066	1	1	0
30	0.05	1	1	0
31	0.088	1	1	0
32	0.072	1	1	0
33	0.052	1	1	0
34	0.074	1	1	0
35	0.057	1	1	0
36	0.046	1	1	0
37	0.077	1	1	0
38	0.068	1	1	0
39	0.04	1	1	0
40	0.073	1	1	0
41	0.085	1	1	0
42	0.034	1	1	0
43	0.066	1	1	0
44	0.042	1	1	0
45	0.032	1	1	0
46	0.074	1	1	0
47	0.074	1	1	0
1	0.074	1	1	1
2	0.081	1	1	1
3	0.07	1	1	1
4	0.091	1	1	1
5	0.077	1	1	1
6	0.089	1	1	1
7	0.077	1	1	1
8	0.081	1	1	1
9	0.061	1	1	1
10	0.087	1	1	1
11	0.071	1	1	1
12	0.062	1	1	1
13	0.078	1	1	1
14	0.065	1	1	1
15	0.083	1	1	1
16	0.067	1	1	1
17	0.082	1	1	1
18	0.089	1	1	1
19	0.072	1	1	1
20	0.084	1	1	1
21	0.094	1	1	1
22	0.081	1	1	1
23	0.076	1	1	1
24	0.069	1	1	1
25	0.079	1	1	1
26	0.1	1	1	1
27	0.074	1	1	1
28	0.081	1	1	1
29	0.06	1	1	1
30	0.08	1	1	1
31	0.061	1	1	1
32	0.091	1	1	1
33	0.087	1	1	1
34	0.099	1	1	1
35	0.092	1	1	1
36	0.098	1	1	1
37	0.088	1	1	1
38	0.073	1	1	1
39	0.075	1	1	1
40	0.076	1	1	1
41	0.091	1	1	1
42	0.081	1	1	1
43	0.063	1	1	1
1	0.086	1	1	2
2	0.068	1	1	2
3	0.09	1	1	2
4	0.078	1	1	2
5	0.066	1	1	2
6	0.066	1	1	2
7	0.069	1	1	2
8	0.074	1	1	2
9	0.059	1	1	2
10	0.082	1	1	2
11	0.068	1	1	2
12	0.069	1	1	2
13	0.077	1	1	2
14	0.056	1	1	2
15	0.054	1	1	2
16	0.06	1	1	2
17	0.085	1	1	2
18	0.056	1	1	2
19	0.068	1	1	2
20	0.053	1	1	2
21	0.07	1	1	2
22	0.064	1	1	2
23	0.064	1	1	2
24	0.059	1	1	2
25	0.067	1	1	2
26	0.061	1	1	2
27	0.053	1	1	2
28	0.066	1	1	2
29	0.058	1	1	2
30	0.047	1	1	2
31	0.061	1	1	2
32	0.047	1	1	2
33	0.047	1	1	2
34	0.05	1	1	2
35	0.073	1	1	2
36	0.067	1	1	2
37	0.057	1	1	2
38	0.073	1	1	2
39	0.07	1	1	2
40	0.053	1	1	2
41	0.064	1	1	2
42	0.049	1	1	2
43	0.064	1	1	2
44	0.077	1	1	2
