Snr	strata	Brnr	F.br.d1	F.br.d2	br.dw.g	db.dw.g	cones 	c0	c1	c2	c3	remaining
1	0	0				163.5						
1	1	1	1.4	1.3	108.96			12.629	8.449	1.613		0.585
1	1	2	1.4	1.5	68.13	24.621		2.566	1.339			0.814
1	2	3	1.7	1.7	138.56	13.76		25.18	11.81			1.687
1	2	4	1.35	1.5	84.57	19.521		12.616	5.845	1.233		0.478
1	3	5	1.2	1.25	58.38		1.732	12.995	3.849	0.474		0.307
1	3	6	1.5	1.55	116.34		1.784	18.137	8.794	4.336		0.378
1	4	7	2.3	2.5	280		9.092	42.2	17.662			0.971
1	4	8	1.55	1.6	106.59		18.679	20.144	7.24			0.67
1	5	9	0.9	0.9	20.312			8.643	8.801			0.288
1	5	10	1	1	31.666		2.451	17.573	17.98			0.753
2	0	0				254						
2	1	1	1.1	1.35	76.26			3.213	1.678			0.576
2	1	2	1.3	1.4	144.59			4.008	1.83			0.699
2	2	3	1.65	1.5	144.37			22.72	17.084	3.583		1.249
2	2	4	1.7	1.4	157.22			24.703	17.464	6.642		1.361
2	3	5	1.85	1.9	239.5		4.147	65.39	43.71	12.415		3.181
2	3	6	1.8	1.85	163.63			45.45	36.183	11.598		1.091
2	4	7	1.8	2	164.1			41.42	36.595	6.509		1.571
2	4	8	1.9	1.9	139.84		5.01	37.982	54.62	1.803		1.25
2	5	9	1.05	1.15	23.309			11.522	9.26			0.148
2	5	10	1	1.05	25.614		1.992	15.909	11.606	0.672		1.032
3	0	0				196						
3	1	1	4.3	4.15	1456.5	126.7		68.92	50.44	47.08	2.627	2.5
3	1	2	3.9	4.05	1328.5	12.723		50.64	31.386	28.13	1.242	2.069
3	2	3	2.4	2.6	424.5			30.77	20.713	15.814	1.635	0.958
3	2	4	2.7	3	606			24.458	14.785	12.159	1.433	0.333
3	3	5	2.6	2.55	245			8.225	5.499	5.298		0.159
3	3	6	2.2	2.1	287.5			45.02	29.324	19.555	0.726	0
3	4	7	1.45	1.55	91.82			27.885	19.738	11.898		0.74
3	4	8	1.5	1.4	78.36			13.5	9.411	5.353	0.192	0.134
3	5	9	1.2	1.25	164.62		8.646	37.71	27.708	11.187	4.833	1.66
3	5	10	1.25	1.2	34.383			18.965	10.619	0.508		2.544
4	0	0				251.5						
4	1	1	1.9	1.8	156.34			13.676	8.53	3.879		0.863
4	1	2	1.25	1.35	89.68			15.892	4.69	1.172		0.555
4	2	3	2	2.1	219.5			41.4	18.6	12.42		0.425
4	2	4	2	2.1	224.23			35.547	20.094	17.801		0.697
4	3	5	2.5	2.6	376		2.976	65.22	32.261	14.534	1.531	0.924
4	3	6	2.65	2.8	431.5			72.46	41.08	19.202		0.689
4	4	7	3	3.1	487.5		21.425	137	76.23	24.069		2.669
4	4	8	3.7	3.75	851.5		101.09	222.05	150	56.94	1.421	5.461
4	5	9	0.8	0.8	11.649		7.752	11.968	3.539			
4	5	10	0.6	0.6	4.59		8.768	4.304	3.936			
5	0	0				297						
5	1	1	3.55	3.5	1144.5		20.662	107.42	85.05	57.77	2.227	3.38
5	1	2	3.8	3.8	920		9.371	42.04	41.56	23.259		4.002
5	2	3	1.9	2	233			9.233	7.76	4.949		1.112
5	2	4	1.8	1.8	159.5		15.548	12.601	9.211	7.256		1.141
5	3	5	1.75	1.8	148.1		2.81	26.214	26.15	18.183	2.4	3.488
5	3	6	2.75	2.8	395.5		18.046	62.82	43.17	34.259	4.819	5.448
5	4	7	2.1	2.1	167.88		11.254	45.11	31.949	30.253		9.488
5	4	8	1.9	2.05	152.26		26.271	55.95	33.026	27.167	6.891	6.683
5	5	9	1.1	1	20.977		0.821	10.518	7.702	3.167		3.8
5	5	10	1	1	22.484			15.651	6.352	4.929		1.05
6	0	0				199.5						
6	1	1	1.9	1.8	186.25			24.038	19.334	7.822		1.199
6	1	2	1.3	1.2	78.81			13.164	12.967	5.512		0.953
6	2	3	0.9	0.85	27.372			2.99	4.886	1.912		0.2
6	2	4	0.8	0.85	18.46			1.591	0.415			
6	3	5	1.7	1.7	113.02			32.49	22.149	8.177		1.25
6	3	6	1.8	1.8	125.79			51.28	37.453	13.926		0.405
6	4	7	1.5	1.6	66.43		2.683	25.832	26.91	0.742		3.004
6	4	8	1.3	1.25	41.77		3.99	26.438	23.833	1.459		4.003
6	5	9	0.6	0.65	6.913			7.023	3.001			
6	5	10	0.8	0.9	11.987			16.61	1.509			
7	0	0				353.5						
7	1	1	2.25	2.25	291			25.925	24.668	10.583		1.265
7	1	2	2.15	2.4	372			35.195	35.543	18.063	1.45	1.995
7	2	3	2.3	2.2	303			34.069	32.684	20.686	0.783	0.136
7	2	4	2.15	2.1	260			21.506	23.477	15.764	0.836	1.493
7	3	5	2	1.9	173.59			42.99	40.18	29.874		0.398
7	3	6	2.05	2.1	180.72			42.68	39.473	26.463		1.053
7	4	7	1.9	1.9	129.8		2.317	41.67	29.893	20.029		1.037
7	4	8	1.7	1.6	83.96		3.101	29.333	21.832	8.76		0.954
7	5	9	1.2	1.2	30.184		3.487	12.633	5.796	0.634		5.403
7	5	10	0.9	0.95	15.736			9.707	1.438	1.434		0.671
8	0	0				796.5						
8	1	1	4	4.3	1054.5	145.5		80.87	41.01	25.369		4.04
8	1	2	3.4	3.6	736	22.379		23.79	10.742	9.762		2.125
8	2	3	2.55	2.5	353.5			43.22	21.424	8.858		1.837
8	2	4	3.1	3	447			20.565	10.073	6.462		1.419
8	3	5	3.1	3.25	570			69.72	40.01	28.641		0.989
8	3	6	3.4	3.55	753			133.98	51.94	20.55		3.558
8	4	7	1.9	1.95	143.53		0.821	36.202	18.721	13.287		2.21
8	4	8	2.5	2.45	279.5		3.051	47.6	30.92	12.077		3.302
8	5	9	1.1	1.2	25.117		5.919	13.108	8.204	2.501		0.504
8	5	10	1.1	1.15	30.959		9.276	21.283	10.978	4.077		0.413
9	0	0				253						
9	1	1	1.4	1.5	85.3			7.651	6.53	1.654		0.171
9	1	2	1.35	1.4	94.6			7.649	6.359	2.201		0.293
9	2	3	1	1.05	42.22			8.455	4.33	3.147		
9	2	4	0.85	0.9	44.44			5.738	4.712	2.054		0.337
9	3	5	1.2	1.05	41.45			9.705	6.882	3.602		
9	3	6	1.3	1.4	73.34			17.127	13.478	7.552		0.238
9	4	7	0.9	1	32.542			10.222	7.191	5.07		
9	4	8	1	1	29.896			13.896	10.461	4.646		
9	5	9	0.6	0.65	6.751			4.664	3.976	0.548		0.173
9	5	10	0.8	0.8	8.216			5.104	2.817	1.227		0.419
10	0	0				545						
10	1	1	3.1	3.1	556	58.55		13.839	12.425	10.146	1.756	4.684
10	1	2	3.8	3.7	1027	73.66		72.94	57.02	37.026	11.978	4.72
10	2	3	3.1	3.05	522	17.347		40.39	24.669	17.988	2.591	1.255
10	2	4	2.2	2.1	277.5	23.758		37.089	27.13	17.554	2.65	1.322
10	3	5	2.55	2.45	351			62.01	41.43	19.951	1.334	1.563
10	3	6	2.2	2.3	282.5		27.09	62.26	41.15	27.344	5.01	1.096
10	4	7	1.6	1.35	77.07			24.819	16.391	7.463	0.758	1.551
10	4	8	1.5	1.65	87.5			33.496	27.073	12.983	0.491	2.748
10	5	9	1.2	1.1	37.663		7.89	14.531	8.234	3.484		0.684
10	5	10	1	1.05	25.65		3.257	10.924	6.427	0.655		0.937
11	0	0				487.5						
11	1	1	3.15	3.05	745			29.673	18.645	13.748	0.522	1.494
11	1	2	1.8	1.9	96.07			10.374	6.007	2.188	0.842	0.12
11	2	3	2.1	2.15	244.5			28.156	19.24	11.128	2.977	0.642
11	2	4	1.7	1.65	128.05			18.448	13.448	6.998	1.834	0.419
11	3	5	2	2.1	194.7			41.93	27.029	19.673	5.241	0.83
11	3	6	1.45	1.4	86.07			16.124	12.48	9.388	2.29	0.824
11	4	7	1.6	1.7	92.01			32.965	22.429	11.012	3.646	0.468
11	4	8	1.5	1.45	64.49		5.607	21.036	13.069	7.957	0.663	0.316
11	5	9	1	1	21.447		6.189	9.118	4.517	1.248		0.119
11	5	10	1	1	22.763		5.52	7.691	3.28	1.82		0.062
12	0	0				351						
12	1	1	1.9	1.9	177.13			2.531	2.109	3.375	0.434	0.229
12	1	2	1.8	1.85	194.87			26.323	17.724	14.264	0.52	0.451
12	2	3	2	2.1	231.5			41.09	36.01	21.012	1.361	0.525
12	2	4	2.35	2.3	304			30.834	26.259	20.284	3.127	0.816
12	3	5	1.7	1.7	135.72			36.357	30.152	16.476	5.436	0.618
12	3	6	1.9	1.9	181.04			34.861	30.549	24.841	12.08	0
12	4	7	1.5	1.45	65.68			28.161	19.67	13.58	3.844	0.174
12	4	8	1.8	1.75	115.53		2.086	49.09	30.285	23.087	4.489	0.179
12	5	9	1.1	1.1	29.117		3.374	23.315	11.227	5.458		5.33
12	5	10	1.3	1.3	34.77			25.33	13.62	5.955		0.503
