Snr	strata	Brnr	base.dw.g	D.br.d1	D.br.d2	scan.c0	scan.c1	scan.c2	scan.c3	rm.c0	rm.c1	rm.c2	rm.c3
1	1	1	5.3	1.25	1.35	0.3	0.45	0.38		1	1.1	0.8	
1	1	2	6.1	1.3	1.3	0.29	0.47			0.6	0.6		
1	2	3	5.7	1.6	1.6	0.53	0.42	0.48		1.2	1.2	0.7	
1	2	4	2.1	1.5	1.4	0.4	0.61	0.41		1	0.8	0.8	
1	3	5	4.1	1.1	1.1	0.54	0.52	0.7		1.1	1.2	0.7	
1	3	6	5.4	1.5	1.3	0.46	0.46	0.42		1.4	1.2	1	
1	4	7	11.4	2.3	2.2	0.57	0.81	0.61		1.5	1.4	0.6	
1	4	8	5.2	1.4	1.5	0.57	0.58	0.73		1.3	1.2	0.8	
1	5	9	2.3	0.8	0.8	0.7	0.89	0.47		1.4	1.8	0	
1	5	10	3	1.1	1.2	0.83	1.26			1.5	2.7		
2	1	1	3.2	1.1	1.2	0.5	0.56	0.5		0	0	0	
2	1	2	5	1.5	1.4	0.25	0.33	0.66			0.5	0	
2	2	3	4.4	1.4	1.6	0.57	0.33	0.59		0.9	1	1.1	
2	2	4	6	1.4	1.6	0.41	0.4	0.81	0.38	1	1.5	1.4	0
2	3	5	7.5	1.5	1.6	0.52	0.62	0.85		1.2	1.2	2	
2	3	6	6.4	1.7	1.6	0.54	0.39	0.57	0.34	1.3	1.2	1.6	0
2	4	7	8.8	1.7	1.8	0.55	0.66	0.8		2	2.1	2.6	
2	4	8	8.4	1.6	1.8	0.68	0.6	0.68		0.9	1.5	1.2	
2	5	9	2.4	0.9	0.9	0.67	0.61	0.6		1.5	1.5	0.7	
2	5	10	2.3	0.9	0.9	0.65	0.68	0.73		1.2	1.4	0.7	
3	1	1	31.6	4.1	3.9	0.58	0.41	0.45	0.44	1	1.3	1.4	0.7
3	1	2	27.2	3.8	3.7	0.52	0.42	0.64	0.38	1.2	1.3	0.9	0.8
3	2	3	8.3	2.4	2.3	0.43	0.47	0.38	0.38	0.9	0.5	0.9	0
3	2	4	10.9	2.6	2.9	0.43	0.42	0.63	0.5	0.9	1	0.9	0.8
3	3	5	11.8	2.4	2.4	0.44	0.45	0.52	0.43	0.9	1.2	1.1	0.6
3	3	6	9	2	2	0.46	0.65	0.48	0.43	1.3	1.2	1.4	0.7
3	4	7	5.7	1.3	1.4	0.62	0.57	0.74		0.9	1.2	1.2	
3	4	8	3.3	1.3	1.3	0.54	0.49	0.54	0.53	1.5	1.4	1.3	0.7
3	5	9	9.5	2	1.9	0.71	0.74	0.73	0.95	2.1	1.6	1.7	2.4
3	5	10	2.4	1	1	0.8	0.75	0.83	0.22	1.7	1.9	1.1	0
4	1	1	6.3	1.6	1.7	0.47	0.52	0.51		0.8	1	1.1	
