Snr	height	variable	D1	D2
1	0	D	215	212
1	1.3	D	175	180
1	2	D	169	173
1	4	D	158	163
1	6	D	147	151
1	8	D	139	139
1	10	D	120	124
1	12	D	104	107
1	14	D	70	73
1	16	D	28	28
1	18	D		
1	20	D		
1	0	Bark.double	34	40
1	1.3	Bark.double	22	20
1	2	Bark.double	16	16
1	4	Bark.double	10	12
1	6	Bark.double	14	12
1	8	Bark.double	10	10
1	10	Bark.double	10	10
1	12	Bark.double	10	10
1	14	Bark.double	8	6
1	16	Bark.double	4	4
1	18	Bark.double		
1	20	Bark.double		
2	0	D	193	194
2	1.3	D	148	151
2	2	D	145	138
2	4	D	132	132
2	6	D	123	123
2	8	D	108	108
2	10	D	95	95
2	12	D	72	73
2	14	D	39	42
2	16	D		
2	18	D		
2	20	D		
2	0	Bark.double	26	30
2	1.3	Bark.double	16	16
2	2	Bark.double	16	18
2	4	Bark.double	10	10
2	6	Bark.double	8	8
2	8	Bark.double	8	8
2	10	Bark.double	6	6
2	12	Bark.double	6	8
2	14	Bark.double	6	6
2	16	Bark.double		
2	18	Bark.double		
2	20	Bark.double		
3	0	D	343	338
3	1.3	D	273	272
3	2	D	258	261
3	4	D	230	239
3	6	D	219	229
3	8	D	204	205
3	10	D	187	196
3	12	D	175	169
3	14	D	138	139
3	16	D	106	110
3	18	D	49	53
3	20	D		
3	0	Bark.double	44	40
3	1.3	Bark.double	30	30
3	2	Bark.double	30	30
3	4	Bark.double	20	18
3	6	Bark.double	20	18
3	8	Bark.double	20	18
3	10	Bark.double	20	18
3	12	Bark.double	14	12
3	14	Bark.double	10	12
3	16	Bark.double	8	8
3	18	Bark.double	6	6
3	20	Bark.double		
4	0	D	248	239
4	1.3	D	205	205
4	2	D	204	192
4	4	D	189	179
4	6	D	175	168
4	8	D	160	153
4	10	D	142	140
4	12	D	127	116
4	14	D	105	102
4	16	D	52	51
4	18	D	14	14
4	20	D		
4	0	Bark.double	40	30
4	1.3	Bark.double	16	18
4	2	Bark.double	16	20
4	4	Bark.double	14	16
4	6	Bark.double	14	18
4	8	Bark.double	14	14
4	10	Bark.double	10	10
4	12	Bark.double	12	10
4	14	Bark.double	10	10
4	16	Bark.double	8	8
4	18	Bark.double	4	4
4	20	Bark.double		
5	0	D	283	270
5	1.3	D	240	244
5	2	D	230	227
5	4	D	217	220
5	6	D	200	195
5	8	D	188	185
5	10	D	175	172
5	12	D	143	149
