Snr	strata	br.sample1	br.sample2	br.remaining	db.sample	db.remaining
1	0				220	2350
2	0				347	1150
3	0				279	869.5
4	0				379	6671
5	0				450	13300
6	0				280	3510
7	0				522	4657
8	0				1225.5	23450
9	0				362	1450
10	0				678.5	7100
11	0				643	5300
12	0				597	9900
1	1	298	190	1550		1500
2	1	153	268.5	1800		836
3	1	3842	3092	2600		3800
4	1	406	253.5	2750		2200
5	1	2098	2950	7456		3550
6	1	522	260.5	816		330
7	1	810.5	1087	8476.5		684
8	1	2969	1739	8900		2450
9	1	223.5	235.5	1100		550
10	1	1237	2487.5	1150		2900
11	1	1460.5	235	4250		850
12	1	405	584.5	3250		1950
1	2	424	256	6149		650
2	2	373.5	419	4100		106
3	2	615	1458	21150		3500
4	2	661.5	686.5	8050		457
5	2	514	421.5	17650		368
6	2	97	54.5	1462		76
7	2	920	754.5	8450		
8	2	988	1087	21850		254
9	2	139	129	1750		20
10	2	1297	784	24214.5		1250
11	2	630	355.5	4150		
12	2	755.5	859	5724.5		169
1	3	190	344	11700		4.5
2	3	760	542.5	5050		
3	3	1130	932	28951		584
4	3	1094	1238.5	17000		493.5
5	3	519.5	1252	7449		1300
6	3	426	547	2784		
7	3	694.5	701	8150		
8	3	1635	2227.5	21400		148
9	3	149.5	260	2050		
10	3	1039	881	12950		
11	3	604	272.5	4200		
12	3	516	643.5	7500		
1	4	790	344	9700		
2	4	546.5	526	3750		
3	4	376.5	276	25000		
4	4	1646.5	3023.5	8300		
5	4	682.5	690	8958		
6	4	310	255	962		
7	4	556.5	380	4100		
8	4	519.5	877	13800		
9	4	132.5	145.5	1800		
10	4	288	364	8650		
11	4	357	249.5	3150		
12	4	306	516	4650		
1	5	104	180	4100		
2	5	105.5	132	842		
3	5	627	178	5750		
4	5	91	52.5	1068		71.5
5	5	135	142	1450		
6	5	59.5	97.5	274		
7	5	155.5	93	818		
8	5	143	193	2700		4
9	5	52.5	58	550		
10	5	166	109.5	1850		
11	5	96.5	92.5	700		
12	5	175	190	1350		
