Snr	base	BH	D.3	D.55	st1	st2	st3	st4	st5
1	1722.0	1221.5	929.0		861.0	634.0	505.0	289.5	100.5
2	1300.5	745.5	660.0	420.5	423.0	349.0	215.5	110.0	33.5
3	5264.0	2686.0	1940.5		1430.5	1474.0	972.0	478.0	159.0
4	2997.0	1845.5	1249	850.0	720.0	603.0	445.5	195.0	45.5
5	3826.0	2455.0	1698.5	1118.0	1076.0	758.5	481.5	271.5	61.5
6	656.0	421.5	371.0	222.5	200.5	162.0	115.0	53.5	20.5
7	1784.0	1334.0	892.5	576.5	639.0	452.5	289.0	136.0	44.5
8	4578.0	2813.5	2086.0		1250.0	1089.0	705.5	351.5	74.5
9	805.5	549.5	377.5		220.0	164.0	116.0	62.0	19.0
10	4000.0	2381.0	1586.5		1262.0	942.5	580.5	268.0	93.0
11	1360.5	963.0	761.0		703.5	322.5	226.0	155.0	41.0
12	2369.5	1432.5	1014.5		562.5	384.0	343.5	145.5	48.0
