Snr	variable	stump	base	BH	D.3.D.55	D.55.st1	D.3.st1	st1	st2	st3	st4	st5
1	FW	3.30	28.60	74.95			39.50	26.05	20.80	15.00	7.50	1.55
2	FW	2.65	19.90	45.40	41.05	5.55		8.90	6.55	4.10	1.70	0.30
3	FW	9.40	59.80	181.25			86.50	51.35	41.80	29.25	14.20	2.20
4	FW	4.25	35.75	109.55	88.70	17.40		17.20	13.30	8.90	3.20	0.50
5	FW	18.80	37.00	159.50	121.80	18.35		24.40	18.85	10.30	4.20	0.85
6	FW	1.95	11.25	29.30	25.90	6.00		3.90	2.90	2.00	1.00	0.40
7	FW	2.85	25.45	70.90	57.45	7.40		11.75	8.20	5.30	2.40	0.50
8	FW	10.65	48.15	169.25			130.00	38.30	28.55	17.75	7.10	1.25
9	FW	1.34	11.45	24.40			18.45	5.55	3.90	2.45	1.15	0.34
10	FW	6.05	44.00	167.05			103.60	39.85	31.85	17.65	8.20	1.65
11	FW	1.60	21.10	56.20			51.45	11.20	8.70	5.55	2.55	0.50
12	FW	2.75	27.50	68.30			59.85	12.55	9.20	5.90	2.80	0.70
1	length	10.0	114.0	375.0			235.5	183.5	181.0	182.5	182.0	183.0
2	length	11.0	111.0	334.5	383.0	66.5		120.0	120.0	120.0	118.5	123.0
3	length	11.5	103.0	464.0			292.0	212.0	215.0	213.0	210.0	213.0
4	length	9.0	108.0	410.0	448.0	116.5		134.0	132.0	132.5	133.0	136.0
5	length	28.0	86.5	486.5	511.0	103.5		159.0	158.5	155.0	155.5	159.0
6	length	14.0	104.0	339.0	387.0	131.0		109.0	107.0	108.0	108.0	111.0
7	length	12.0	104.5	378.0	419.5	69.0		133.5	130.0	132.5	130.5	132.5
8	length	15.5	97.5	448.0			450.5	177.0	172.0	171.5	172.0	179.0
9	length	10.0	108.0	299.0			316.5	134.0	131.5	131.5	131.0	136.0
10	length	10.0	105.0	507.0			412.0	206.0	212.0	205.0	210.0	210.0
11	length	5.0	112.0	365.0			430.0	140.0	140.0	139.0	139.5	143.0
12	length	9.0	106.0	362.0			338.0	137.0	136.0	137.0	137.0	141.0
