Snr	d	strata	age	N.conc	C.cont
1	13.35	1	0	0.019338	0.490105209
1	13.35	1	1	0.017266	0.496353
1	13.35	1	2	0.016866	0.501228
1	13.35	1	3	0.016146	0.510551
1	13.35	1	4	0.01431	0.507762
1	13.35	2	0	0.019846572	0.484187813
1	13.35	2	1	0.016604	0.49212
1	13.35	2	2	0.015878	0.505196
1	13.35	2	3	0.015155	0.511041
1	13.35	2	4	0.013407	0.510808
1	13.35	3	0	0.019921374	0.490723496
1	13.35	3	1	0.016791	0.503185
1	13.35	3	2	0.015378	0.510698
1	13.35	3	3	0.013773	0.5154
1	13.35	3	4	0.013208	0.517695
1	13.35	4	0	0.019293095	0.491821213
1	13.35	4	1	0.015979	0.498184
1	13.35	4	2	0.01511	0.506712
1	13.35	4	3	0.014808	0.519725
1	13.35	4	4	0.013027	0.516931
1	13.35	5	0	0.020320137	0.490913315
1	13.35	5	1	0.016634	0.49803
1	13.35	5	2	0.015288	0.504918
1	13.35	5	3		
1	13.35	5	4		
2	14.35	1	0	0.015392277	0.485148125
2	14.35	1	1	0.013917	0.492307
2	14.35	1	2	0.013572	0.493853
2	14.35	1	3	0.012805	0.504043
2	14.35	1	4		
2	14.35	2	0	0.016455355	0.487496643
2	14.35	2	1	0.015579	0.494649
2	14.35	2	2	0.01434	0.495464
2	14.35	2	3	0.013126	0.506996
2	14.35	2	4	0.01229	0.510461
2	14.35	3	0	0.018603489	0.486857491
2	14.35	3	1	0.016368	0.496604
2	14.35	3	2	0.0145	0.498558
2	14.35	3	3	0.013306	0.505444
2	14.35	3	4	0.012249	0.508932
2	14.35	4	0	0.018122292	0.491016274
2	14.35	4	1	0.015481	0.496683
2	14.35	4	2	0.014731	0.501957
2	14.35	4	3	0.012944	0.504644
2	14.35	4	4	0.013019	0.507411
2	14.35	5	0	0.018237532	0.495291367
2	14.35	5	1	0.015028	0.502252
2	14.35	5	2	0.014629	0.49671
2	14.35	5	3	0.012567	0.509207
2	14.35	5	4		
3	18.1	1	0	0.018429788	0.488935738
3	18.1	1	1	0.019315	0.497035
3	18.1	1	2	0.019151	0.498921
3	18.1	1	3	0.018502	0.505801
3	18.1	1	4	0.016617	0.505516
3	18.1	2	0	0.019177179	0.489435272
3	18.1	2	1	0.020886	0.504356
3	18.1	2	2	0.020985	0.505083
3	18.1	2	3	0.017826	0.505874
3	18.1	2	4		
3	18.1	3	0	0.020729737	0.492818527
3	18.1	3	1	0.020435	0.500933
3	18.1	3	2	0.020251	0.501734
3	18.1	3	3	0.018408	0.508515
3	18.1	3	4		
3	18.1	4	0	0.022336402	0.493844299
3	18.1	4	1	0.022469	0.503557
3	18.1	4	2	0.020083	0.504768
3	18.1	4	3		
3	18.1	4	4		
3	18.1	5	0	0.02397167	0.495690956
3	18.1	5	1	0.024629	0.504674
3	18.1	5	2		
3	18.1	5	3		
3	18.1	5	4		
4	18.45	1	0	0.019404635	0.485877914
4	18.45	1	1	0.019463	0.493545
4	18.45	1	2	0.017608	0.492995
4	18.45	1	3	0.016598	0.503582
4	18.45	1	4		
4	18.45	2	0	0.017746429	0.487950668
4	18.45	2	1	0.018872	0.494108
4	18.45	2	2	0.016905	0.496805
4	18.45	2	3	0.017479	0.506604
4	18.45	2	4	0.016623	0.50695
4	18.45	3	0	0.021192102	0.486158295
4	18.45	3	1	0.022766	0.495301
4	18.45	3	2	0.01818	0.502649
4	18.45	3	3	0.016952	0.507014
4	18.45	3	4	0.016659	0.508772
4	18.45	4	0	0.024115143	0.48580616
4	18.45	4	1	0.025323	0.497969
4	18.45	4	2	0.019894	0.5017
4	18.45	4	3	0.019231	0.508434
4	18.45	4	4		
4	18.45	5	0	0.02629107	0.491702957
4	18.45	5	1	0.026898	0.49712
4	18.45	5	2	0.022445	0.503993
4	18.45	5	3		
4	18.45	5	4		
5	23.95	1	0	0.014659619	0.485833244
5	23.95	1	1	0.017768	0.497454
5	23.95	1	2	0.019567	0.497217
5	23.95	1	3	0.017439	0.505451
5	23.95	1	4		
5	23.95	2	0	0.018346719	0.488963051
5	23.95	2	1	0.019915	0.500572
5	23.95	2	2	0.019461	0.502691
5	23.95	2	3	0.017113	0.508857
5	23.95	2	4		
5	23.95	3	0	0.016670423	0.492522545
5	23.95	3	1	0.01946	0.507488
5	23.95	3	2	0.018528	0.501059
5	23.95	3	3	0.016041	0.507883
5	23.95	3	4		
5	23.95	4	0	0.017829021	0.49138691
5	23.95	4	1	0.02013	0.504253
5	23.95	4	2	0.020421	0.504684
5	23.95	4	3		
5	23.95	4	4		
5	23.95	5	0	0.017719722	0.4957164
5	23.95	5	1	0.021485	0.506855
5	23.95	5	2		
5	23.95	5	3		
5	23.95	5	4		
6	23.4	1	0	0.02182847	0.491946907
6	23.4	1	1	0.020051	0.502684
6	23.4	1	2	0.018673	0.505837
6	23.4	1	3	0.017391	0.509613
6	23.4	1	4	0.017708	0.51505
6	23.4	2	0	0.024428098	0.495873108
6	23.4	2	1	0.021976	0.504982
6	23.4	2	2	0.019914	0.510454
6	23.4	2	3	0.01831	0.516452
6	23.4	2	4		
6	23.4	3	0	0.025671184	0.496489792
6	23.4	3	1	0.022075	0.507046
6	23.4	3	2	0.019849	0.518812
6	23.4	3	3	0.01713	0.519374
6	23.4	3	4		
6	23.4	4	0	0.025958025	0.50299221
6	23.4	4	1	0.022484	0.512222
6	23.4	4	2	0.019714	0.51947
6	23.4	4	3	0.018343	0.519796
6	23.4	4	4		
6	23.4	5	0	0.024925377	0.499727058
6	23.4	5	1	0.022903	0.513852
6	23.4	5	2	0.019737	0.517418
6	23.4	5	3		
6	23.4	5	4		
7	14.05	1	0	0.012285846	0.491615486
7	14.05	1	1	0.012862	0.499562
7	14.05	1	2	0.012158	0.497684
7	14.05	1	3	0.011043	0.512013
7	14.05	1	4	0.011185	0.515009
7	14.05	2	0	0.012398522	0.490215454
7	14.05	2	1	0.012663	0.503827
7	14.05	2	2	0.011827	0.503275
7	14.05	2	3	0.01073	0.507785
7	14.05	2	4	0.011037	0.518362
7	14.05	3	0	0.01269876	0.490341072
7	14.05	3	1	0.012522	0.503825
7	14.05	3	2	0.012151	0.504907
7	14.05	3	3	0.010794	0.512825
7	14.05	3	4	0.010715	0.514341
7	14.05	4	0	0.013912717	0.493897133
7	14.05	4	1	0.012201	0.502944
7	14.05	4	2	0.011274	0.505828
7	14.05	4	3	0.010624	0.513728
7	14.05	4	4	0.010135	0.514675
7	14.05	5	0	0.014501548	0.490020638
7	14.05	5	1	0.012615	0.497616
7	14.05	5	2	0.011561	0.50429
7	14.05	5	3	0.010741	0.511775
7	14.05	5	4		
8	14.05	1	0	0.011504523	0.497355995
8	14.05	1	1	0.010723	0.505869
8	14.05	1	2	0.010469	0.509247
8	14.05	1	3	0.00968	0.515918
8	14.05	1	4	0.009019	0.517883
8	14.05	2	0	0.010459735	0.501503182
8	14.05	2	1	0.010162	0.512943
8	14.05	2	2	0.009263	0.512418
8	14.05	2	3	0.008144	0.520844
8	14.05	2	4		
8	14.05	3	0	0.009385198	0.497716637
8	14.05	3	1	0.009649	0.511905
8	14.05	3	2	0.00901	0.514325
8	14.05	3	3	0.007819	0.522587
8	14.05	3	4		
8	14.05	4	0	0.009929997	0.499640732
8	14.05	4	1	0.009899	0.511007
8	14.05	4	2	0.009046	0.517856
8	14.05	4	3	0.008391	0.52227
8	14.05	4	4	0.007458	0.525629
8	14.05	5	0	0.010821366	0.498558693
8	14.05	5	1	0.01013	0.51028
8	14.05	5	2	0.008969	0.514288
8	14.05	5	3	0.008763	0.521735
8	14.05	5	4		
9	18	1	0	0.010227823	0.491114388
9	18	1	1	0.010298	0.497989
9	18	1	2	0.010128	0.510333
9	18	1	3	0.010258	0.509014
9	18	1	4	0.009813	0.512636
9	18	2	0	0.010545034	0.491948471
9	18	2	1	0.011382	0.500514
9	18	2	2	0.011125	0.508496
9	18	2	3	0.010195	0.513938
9	18	2	4	0.010096	0.515559
9	18	3	0	0.010257567	0.495933037
9	18	3	1	0.011249	0.502254
9	18	3	2	0.010773	0.5101
9	18	3	3	0.010348	0.51601
9	18	3	4	0.009926	0.514675
9	18	4	0	0.011809773	0.49634758
9	18	4	1	0.010973	0.505044
9	18	4	2	0.010724	0.510431
9	18	4	3	0.009864	0.517348
9	18	4	4	0.009797	0.514174
9	18	5	0	0.011691353	0.492051163
9	18	5	1	0.010452	0.499591
9	18	5	2	0.010325	0.510332
9	18	5	3	0.010295	0.508702
9	18	5	4		
10	17.9	1	0	0.011447766	0.493544121
10	17.9	1	1	0.011889	0.500348
10	17.9	1	2	0.011336	0.508805
10	17.9	1	3	0.010318	0.512831
10	17.9	1	4	0.010385	0.515065
10	17.9	2	0	0.01105834	0.492074356
10	17.9	2	1	0.011435	0.497979
10	17.9	2	2	0.011373	0.50252
10	17.9	2	3	0.010383	0.510569
10	17.9	2	4	0.010062	0.513719
10	17.9	3	0	0.011389021	0.492435761
10	17.9	3	1	0.01139	0.504308
10	17.9	3	2	0.011176	0.505873
10	17.9	3	3	0.010136	0.516156
10	17.9	3	4	0.009648	0.519099
10	17.9	4	0	0.011321526	0.494753799
10	17.9	4	1	0.01111	0.500501
10	17.9	4	2	0.010641	0.512891
10	17.9	4	3	0.009842	0.514224
10	17.9	4	4	0.009473	0.516123
10	17.9	5	0	0.011393701	0.485824966
10	17.9	5	1	0.01042	0.497399
10	17.9	5	2	0.010811	0.507792
10	17.9	5	3	0.009607	0.512798
10	17.9	5	4		
11	23.95	1	0	0.012680048	0.491581612
11	23.95	1	1	0.012742	0.494276
11	23.95	1	2	0.012402	0.508124
11	23.95	1	3	0.011248	0.518441
11	23.95	1	4	0.011688	0.516685
11	23.95	2	0	0.013450999	0.494074364
11	23.95	2	1	0.013712	0.50338
11	23.95	2	2	0.013321	0.506183
11	23.95	2	3	0.012061	0.519232
11	23.95	2	4	0.011978	0.51838
11	23.95	3	0	0.014046603	0.498003311
11	23.95	3	1	0.013573	0.502385
11	23.95	3	2	0.012834	0.508715
11	23.95	3	3	0.012424	0.517604
11	23.95	3	4	0.011762	0.519109
11	23.95	4	0	0.014043206	0.497858658
11	23.95	4	1	0.01394	0.504978
11	23.95	4	2	0.012909	0.511055
11	23.95	4	3	0.012146	0.517487
11	23.95	4	4	0.011388	0.52042
11	23.95	5	0	0.01458726	0.497639732
11	23.95	5	1	0.013772	0.502673
11	23.95	5	2	0.013415	0.509949
11	23.95	5	3	0.012106	0.517653
11	23.95	5	4		
12	24.1	1	0	0.010931095	0.494863739
12	24.1	1	1	0.012273	0.499034
12	24.1	1	2	0.013367	0.506859
12	24.1	1	3	0.012123	0.512192
12	24.1	1	4	0.011841	0.512283
12	24.1	2	0	0.010523546	0.491793594
12	24.1	2	1	0.01198	0.50109
12	24.1	2	2	0.011945	0.503694
12	24.1	2	3	0.011385	0.509879
12	24.1	2	4	0.011274	0.511761
12	24.1	3	0	0.011869143	0.492636604
12	24.1	3	1	0.01303	0.498848
12	24.1	3	2	0.013168	0.506648
12	24.1	3	3	0.011365	0.512117
12	24.1	3	4	0.012113	0.511626
12	24.1	4	0	0.011550964	0.493695831
12	24.1	4	1	0.013285	0.50391
12	24.1	4	2	0.013525	0.50346
12	24.1	4	3	0.011972	0.511385
12	24.1	4	4	0.011663	0.511969
12	24.1	5	0	0.011554718	0.489130554
12	24.1	5	1	0.01254	0.502751
12	24.1	5	2	0.01305	0.507516
12	24.1	5	3	0.012351	0.514203
12	24.1	5	4		
