h.yr	plot	Snr	d	h	lc	2013	2012	2011	2010	2009	2008	2007	2006
2011	2	13	0.1618	12.9	7.93			47	38	35	33	29	31
2011	2	14	0.1501	14.05	7.05			49	33	26	23	23	25
2011	2	15	0.1663	17.65	7.88			38	37	30	23	23	36
2011	2	16	0.1603	18.1	11.34			48	45	40	36	32	32
2011	2	17	0.1736	23.6	11.98			34	28	34	33	23	24
2011	2	18	0.1576	22.6	7.31			40	36	33	26	20	22
2013	2	19	0.1645	17.1	6.3	22.5	21.5	21	31	28	33	32.5	31
2013	2	20	0.225	18.7	6.5	20	21	20	31	39	36	30	24
2013	2	21	0.226	18.2	9.3	28	40	34	34	28.5	24.5	25	28.5
2013	2	22	0.221	15.4	7.8	40	47	50	50	38	35	31	27
2013	2	23	0.2265	19.1	8.1	27	32	31	36	41	34	30	22
2013	2	24	0.235	20.5	10.4	19	31.5	33.5	25.5	35	35	27	29
2013	2	25	0.237	20.5	10.3	19	31	34	25	35	34	28	29
2013	2	26	0.187	18.7	8.9	23	25	19	18	17.5	9.5	10.5	22
2013	2	27	0.1945	17.3	6.5	30	21.5	23.5	29	30	25	19	22
2013	2	28	0.1915	17.1	9.3	26.5	14.5	11.5	14	21	15	20	31.5
2013	2	29	0.1945	17	7.5	27	19.5	13.5	18	21	21	25	25
2011	3	30	0.1393	13.75	6.75			21	29	27	25	23	26
2011	3	31	0.1701	13.8	6.96			17	16	27	22	35	35
2011	3	32	0.1548	17.3	7			23	24	28	31	24	29
2011	3	33	0.1469	17.8	11.24			32	31	28	27	24	31
2011	3	34	0.1561	24.15	8.51			16	10	11	15	16	17
2011	3	35	0.1809	23.35	9.19			24	25	23	23	19	28
2013	3	36	0.212	18.7	10.4	32	22	18	17	17.5	23	19	23.5
2013	3	37	0.251	18.7	10.1	23.5	18	15	18	21	27.5	22	21
2013	3	38	0.2065	19.3	10.7	28	17	22	28	23	27	26	30
2013	3	39	0.189	18.5	12	26	20	18	22	30	30	22	32
2013	3	40	0.1925	18.5	10.1	34	31.5	25	27.5	17.5	33	28	25
2013	3	41	0.2565	16.7	12.6	23	22	22.5	25	26	28	28	27
2013	3	42	0.205	15.5	10.3	24	21	15.5	17.5	14	16	17	24
2013	3	43	0.12	18.2	12.4	21	20	19.5	20.5	21	19	21	28
2013	3	44	0.211	17.3	12.3	22	10	12	16	24.5	17	18	28
2013	3	45	0.1745	16.8	8.2	17	16	13	16	25	25	22	33
2013	3	46	0.205	19.1	10	24	21	15	21	32	33	29	40
2013	3	47	0.1865	17.4	6.9	11	15	11	11	19	21	19	21
2013	3	48	0.2025	19.4	7.8	25.5	17	10	15	23	25	27	29
