Snr	C0	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19
1	17.0	39.0	31.0	35.0	17.0	30.0	42.0	43.0	40.0	37.0	46.0	35.0	29.0	34.0	36.0	23.0	24.0	27.0		
2	16.5	23.5	19.0	23.0	35.0	42.0	40.0	36.5	36.0	54.0	20.0	25.5	24.0	20.0	32.5	15.0	16.0	18.0	17.0	23.0
3	23.0	30.0	27.0	33.0	30.0	20.0	21.0	21.0	34.0	42.0	29.0	19.5	32.0	19.0	30.0	24.0	27.0			
4	25.0	25.5	19.5	31.0	16.0	28.0	16.0	36.0	24.5	23.0	25.0	30.0	33.0	27.5	28.0	33.0	27.5	22.0	25.0	22.0
5	26.5	25.0	23.0	33.0	32.0	33.0	37.0	36.5	37.0	38.0	34.0	39.0	24.0	34.0						
6	38.0	49.0	41.0	50.0	59.0	49.0	49.0	60.0	53.0	43.0	34.0	17.0	23.0	26.0	20.0	26.0	16.0	25.0	17.0	17.0
7	22.5	20.5	23.0	24.0	31.0	25.5	26.0	24.5	26.0	28.0	30.0	29.0	26.0	25.0	23.0	33.0	34.5			
8	23.0	20.0	21.0	20.0	33.0	30.0	20.0	14.0	16.0	21.0	23.0	19.0	20.0	22.0	22.0	33.0	33.0	30.0	31.0	34.0
9	19.0	20.0	21.0	22.0	27.0	25.0	23.0	22.0	25.0	25.0	23.0	23.0	25.0	22.0	21.0	28.0	25.0	23.0	24.0	23.0
10	17.0	18.0	15.0	31.0	37.0	31.0	38.0	36.0	32.0	38.0	32.0	32.0	32.0	32.0	32.0	35.0	20.0	9.0	30.0	26.0
11	20.0	25.0	22.0	28.0	37.0	43.0	32.0	36.0	45.0	41.0	42.0	35.0	48.0	41.0	40.0	40.0	26.0	24.0	14.0	27.0
12	20.0	30.0	23.5	33.0	30.0	27.0	26.0	19.0	36.0	27.0	21.0	32.0	29.5	28.0	40.0	33.5	31.5	31.0	29.0	35.5
