ID	plot	loc	org	year	season	N.conc	dN	C.conc	dC
4	2	N	Needle	2013	F	1.90	-0.74	55.22	-28.60
15	3	N	Needle	2013	F	0.66	-5.26	53.85	-29.33
26	2	N	Others	2013	F	0.64	-2.49	52.79	-28.27
37	3	N	Others	2013	F	0.57	-5.77	53.82	-29.58
48	2	N	Needle	2014	S	0.84	-0.53	53.82	-28.47
59	3	N	Needle	2014	S				
70	2	N	Others	2014	S	0.87	-2.71	53.59	-28.88
81	3	N	Others	2014	S	0.75	-5.24	53.41	-28.99
92	2	N	Needle	2017	F	1.03	0.99	54.25	-29.07
103	3	N	Needle	2017	F	0.59	-5.27	54.37	-29.76
114	2	N	Others	2017	F	0.56	-2.65	52.09	-28.70
125	3	N	Others	2017	F	0.57	-6.07	52.78	-29.25
136	2	N	Needle	2018	S	1.19	1.24	53.99	-29.20
147	3	N	Needle	2018	S	0.46	-5.36	54.22	-29.44
158	2	N	Others	2018	S	0.69	-2.48	53.41	-29.33
169	3	N	Others	2018	S	0.44	-6.46	53.57	-30.03
6	2	E	Needle	2013	F	1.45	-0.34	54.08	-28.78
17	3	E	Needle	2013	F	0.66	-5.21	55.11	-29.23
28	2	E	Others	2013	F	0.74	-1.86	53.65	-29.19
39	3	E	Others	2013	F	0.57	-5.74	53.86	-29.21
50	2	E	Needle	2014	S	1.22	-0.01	55.21	-29.01
61	3	E	Needle	2014	S	0.58	-8.44	56.67	-29.19
72	2	E	Others	2014	S	1.04	-2.18	52.77	-29.42
83	3	E	Others	2014	S	0.78	-5.50	54.01	-28.93
94	2	E	Needle	2017	F	1.20	0.47	54.22	-29.76
105	3	E	Needle	2017	F	0.65	-5.48	53.75	-29.44
116	2	E	Others	2017	F	0.82	-2.66	52.96	-29.55
127	3	E	Others	2017	F	0.54	-7.19	53.57	-29.53
138	2	E	Needle	2018	S	1.30	0.81	54.24	-29.48
149	3	E	Needle	2018	S	0.55	-5.77	55.30	-29.42
160	2	E	Others	2018	S	0.94	-1.74	53.49	-29.70
171	3	E	Others	2018	S	0.59	-6.93	53.41	-29.45
8	2	S	Needle	2013	F	1.49	-1.31	54.49	-28.90
19	3	S	Needle	2013	F	0.81	-5.20	54.93	-28.96
30	2	S	Others	2013	F	0.53	-3.42	53.54	-29.78
41	3	S	Others	2013	F	0.66	-4.93	53.50	-29.02
52	2	S	Needle	2014	S	1.24	-0.77	54.52	-29.25
63	3	S	Needle	2014	S	0.37	-6.32	54.72	-28.94
74	2	S	Others	2014	S	1.07	-2.60	52.35	-29.15
85	3	S	Others	2014	S	0.80	-4.84	53.94	-29.10
96	2	S	Needle	2017	F	1.29	0.21	53.91	-29.55
107	3	S	Needle	2017	F	0.73	-5.49	54.46	-29.27
118	2	S	Others	2017	F	0.94	-2.36	54.17	-29.79
129	3	S	Others	2017	F	0.43	-7.62	53.20	-29.30
140	2	S	Needle	2018	S	1.40	1.38	54.69	-29.27
151	3	S	Needle	2018	S	0.56	-6.11	53.30	-29.13
162	2	S	Others	2018	S	1.14	-0.19	54.49	-28.77
173	3	S	Others	2018	S	0.67	-6.17	53.68	-29.62
10	2	W	Needle	2013	F	1.57	0.00	54.29	-28.49
21	3	W	Needle	2013	F	0.59	-4.84	53.65	-29.11
32	2	W	Others	2013	F	1.07	-0.81	54.55	-28.82
43	3	W	Others	2013	F	0.77	-5.15	45.19	-28.93
54	2	W	Needle	2014	S	1.07	1.25	53.61	-28.94
65	3	W	Needle	2014	S	0.38	-6.06	54.14	-29.43
76	2	W	Others	2014	S	1.01	-1.70	52.84	-28.59
87	3	W	Others	2014	S	0.81	-4.88	53.43	-29.47
98	2	W	Needle	2017	F	1.14	0.89	54.02	-29.18
109	3	W	Needle	2017	F	0.64	-5.13	54.35	-29.28
120	2	W	Others	2017	F	1.12	-1.64	54.30	-29.18
131	3	W	Others	2017	F	0.52	-6.63	54.09	-28.26
142	2	W	Needle	2018	S	1.43	1.12	54.54	-29.35
153	3	W	Needle	2018	S	0.46	-5.26	54.08	-29.27
164	2	W	Others	2018	S	0.70	-2.36	53.24	-29.09
175	3	W	Others	2018	S	0.40	-7.05	53.14	-29.28
