plot	Snr	d.underbark	variable	value	year
2	1	0.106937	X2013	0.287	2013
2	2	0.2202	X2013	2.094	2013
2	3	0.159074	X2013	0.742	2013
2	4	0.186491	X2013	0.862	2013
2	5	0.218403	X2013	0.508	2013
2	6	0.193233	X2013	1.205	2013
2	7	0.125814	X2013	0.846	2013
2	8	0.209863	X2013	1.015	2013
2	9	0.141096	X2013	0.53	2013
2	10	0.226043	X2013	0.866	2013
2	11	0.155928	X2013	1.152	2013
2	12	0.193682	X2013	1.69	2013
2	13	0.166266	X2013	0.825	2013
2	14	0.110982	X2013	1.079	2013
2	15	0.20402	X2013	0.829	2013
2	16	0.226942	X2013	0.489	2013
2	17	0.194581	X2013	1.313	2013
2	18	0.15413	X2013	0.862	2013
3	19	0.0966	X2013	0.477	2013
3	20	0.161322	X2013	0.638	2013
3	21	0.213459	X2013	0.654	2013
3	22	0.194132	X2013	0.977	2013
3	23	0.191435	X2013	0.509	2013
3	24	0.255258	X2013	0.582	2013
3	25	0.161771	X2013	0.495	2013
3	26	0.130758	X2013	0.254	2013
3	27	0.223796	X2013	0.974	2013
3	28	0.186042	X2013	0.943	2013
3	29	0.232785	X2013	0.684	2013
3	30	0.181098	X2013	0.244	2013
3	31	0.213009	X2013	0.66	2013
3	32	0.127163	X2013	0.517	2013
3	33	0.163569	X2013	0.286	2013
3	34	0.215256	X2013	0.829	2013
3	35	0.17076	X2013	0.423	2013
3	36	0.180199	X2013	0.798	2013
2	1	0.106937	X2012	0.656	2012
2	2	0.2202	X2012	1.969	2012
2	3	0.159074	X2012	0.72	2012
2	4	0.186491	X2012	1.005	2012
2	5	0.218403	X2012	0.769	2012
2	6	0.193233	X2012	0.933	2012
2	7	0.125814	X2012	0.581	2012
2	8	0.209863	X2012	1.271	2012
2	9	0.141096	X2012	0.34	2012
2	10	0.226043	X2012	1.142	2012
2	11	0.155928	X2012	1.082	2012
2	12	0.193682	X2012	1.811	2012
2	13	0.166266	X2012	0.571	2012
2	14	0.110982	X2012	0.942	2012
2	15	0.20402	X2012	1.37	2012
2	16	0.226942	X2012	0.339	2012
2	17	0.194581	X2012	1.783	2012
2	18	0.15413	X2012	1.107	2012
3	19	0.0966	X2012	0.414	2012
3	20	0.161322	X2012	0.593	2012
3	21	0.213459	X2012	0.649	2012
3	22	0.194132	X2012	0.932	2012
3	23	0.191435	X2012	0.424	2012
3	24	0.255258	X2012	0.91	2012
3	25	0.161771	X2012	0.342	2012
3	26	0.130758	X2012	0.222	2012
3	27	0.223796	X2012	0.889	2012
3	28	0.186042	X2012	0.974	2012
3	29	0.232785	X2012	0.87	2012
3	30	0.181098	X2012	0.211	2012
3	31	0.213009	X2012	0.692	2012
3	32	0.127163	X2012	0.525	2012
3	33	0.163569	X2012	0.35	2012
3	34	0.215256	X2012	0.805	2012
3	35	0.17076	X2012	0.423	2012
3	36	0.180199	X2012	0.765	2012
2	1	0.106937	X2011	0.975	2011
2	2	0.2202	X2011	2.358	2011
2	3	0.159074	X2011	1.547	2011
2	4	0.186491	X2011	1.917	2011
2	5	0.218403	X2011	1.99	2011
2	6	0.193233	X2011	1.992	2011
2	7	0.125814	X2011	1.369	2011
2	8	0.209863	X2011	2.289	2011
2	9	0.141096	X2011	0.72	2011
2	10	0.226043	X2011	1.533	2011
2	11	0.155928	X2011	1.991	2011
2	12	0.193682	X2011	3.294	2011
2	13	0.166266	X2011	0.866	2011
2	14	0.110982	X2011	1.611	2011
2	15	0.20402	X2011	1.794	2011
2	16	0.226942	X2011	1.014	2011
2	17	0.194581	X2011	2.143	2011
2	18	0.15413	X2011	1.096	2011
3	19	0.0966	X2011	0.398	2011
3	20	0.161322	X2011	0.636	2011
3	21	0.213459	X2011	0.865	2011
3	22	0.194132	X2011	1.05	2011
3	23	0.191435	X2011	0.452	2011
3	24	0.255258	X2011	0.918	2011
3	25	0.161771	X2011	0.552	2011
3	26	0.130758	X2011	0.276	2011
3	27	0.223796	X2011	1.108	2011
3	28	0.186042	X2011	1.211	2011
3	29	0.232785	X2011	1.014	2011
3	30	0.181098	X2011	0.307	2011
3	31	0.213009	X2011	0.974	2011
3	32	0.127163	X2011	0.64	2011
3	33	0.163569	X2011	0.523	2011
3	34	0.215256	X2011	1.187	2011
3	35	0.17076	X2011	0.633	2011
3	36	0.180199	X2011	0.95	2011
2	1	0.106937	X2010	1.055	2010
2	2	0.2202	X2010	2.755	2010
2	3	0.159074	X2010	2.289	2010
2	4	0.186491	X2010	2.834	2010
2	5	0.218403	X2010	3.023	2010
2	6	0.193233	X2010	2.162	2010
2	7	0.125814	X2010	2.542	2010
2	8	0.209863	X2010	3.558	2010
2	9	0.141096	X2010	1.865	2010
2	10	0.226043	X2010	2.158	2010
2	11	0.155928	X2010	2.647	2010
2	12	0.193682	X2010	3.674	2010
2	13	0.166266	X2010	1.461	2010
2	14	0.110982	X2010	1.738	2010
2	15	0.20402	X2010	2.077	2010
2	16	0.226942	X2010	1.25	2010
2	17	0.194581	X2010	2.262	2010
2	18	0.15413	X2010	0.975	2010
3	19	0.0966	X2010	0.36	2010
3	20	0.161322	X2010	0.848	2010
3	21	0.213459	X2010	1.089	2010
3	22	0.194132	X2010	1.193	2010
3	23	0.191435	X2010	0.65	2010
3	24	0.255258	X2010	1.057	2010
3	25	0.161771	X2010	0.741	2010
3	26	0.130758	X2010	0.423	2010
3	27	0.223796	X2010	1.346	2010
3	28	0.186042	X2010	1.534	2010
3	29	0.232785	X2010	1.179	2010
3	30	0.181098	X2010	0.424	2010
3	31	0.213009	X2010	0.788	2010
3	32	0.127163	X2010	0.607	2010
3	33	0.163569	X2010	0.551	2010
3	34	0.215256	X2010	1.441	2010
3	35	0.17076	X2010	0.438	2010
3	36	0.180199	X2010	1.033	2010
2	1	0.106937	X2009	0.479	2009
2	2	0.2202	X2009	3.009	2009
2	3	0.159074	X2009	2.098	2009
2	4	0.186491	X2009	3.112	2009
2	5	0.218403	X2009	3.539	2009
2	6	0.193233	X2009	1.905	2009
2	7	0.125814	X2009	2.204	2009
2	8	0.209863	X2009	3.052	2009
2	9	0.141096	X2009	1.696	2009
2	10	0.226043	X2009	1.22	2009
2	11	0.155928	X2009	2.76	2009
2	12	0.193682	X2009	3.939	2009
2	13	0.166266	X2009	2.055	2009
2	14	0.110982	X2009	1.391	2009
2	15	0.20402	X2009	1.691	2009
2	16	0.226942	X2009	1.208	2009
2	17	0.194581	X2009	2.052	2009
2	18	0.15413	X2009	0.733	2009
3	19	0.0966	X2009	0.285	2009
3	20	0.161322	X2009	0.721	2009
3	21	0.213459	X2009	0.97	2009
3	22	0.194132	X2009	0.854	2009
3	23	0.191435	X2009	0.509	2009
3	24	0.255258	X2009	0.639	2009
3	25	0.161771	X2009	0.498	2009
3	26	0.130758	X2009	0.423	2009
3	27	0.223796	X2009	1.222	2009
3	28	0.186042	X2009	1.03	2009
3	29	0.232785	X2009	0.8	2009
3	30	0.181098	X2009	0.38	2009
3	31	0.213009	X2009	0.668	2009
3	32	0.127163	X2009	0.577	2009
3	33	0.163569	X2009	0.523	2009
3	34	0.215256	X2009	0.975	2009
3	35	0.17076	X2009	0.374	2009
3	36	0.180199	X2009	0.966	2009
2	1	0.106937	X2008	0.338	2008
2	2	0.2202	X2008	2.376	2008
2	3	0.159074	X2008	2.459	2008
2	4	0.186491	X2008	3.096	2008
2	5	0.218403	X2008	3.052	2008
2	6	0.193233	X2008	1.353	2008
2	7	0.125814	X2008	1.69	2008
2	8	0.209863	X2008	2.54	2008
2	9	0.141096	X2008	1.971	2008
2	10	0.226043	X2008	1.167	2008
2	11	0.155928	X2008	2.706	2008
2	12	0.193682	X2008	3.391	2008
2	13	0.166266	X2008	1.484	2008
2	14	0.110982	X2008	1.361	2008
2	15	0.20402	X2008	1.904	2008
2	16	0.226942	X2008	1.187	2008
2	17	0.194581	X2008	1.713	2008
2	18	0.15413	X2008	0.733	2008
3	19	0.0966	X2008	0.447	2008
3	20	0.161322	X2008	0.848	2008
3	21	0.213459	X2008	0.811	2008
3	22	0.194132	X2008	0.849	2008
3	23	0.191435	X2008	0.636	2008
3	24	0.255258	X2008	0.625	2008
3	25	0.161771	X2008	0.53	2008
3	26	0.130758	X2008	0.414	2008
3	27	0.223796	X2008	1.094	2008
3	28	0.186042	X2008	1.09	2008
3	29	0.232785	X2008	1.013	2008
3	30	0.181098	X2008	0.353	2008
3	31	0.213009	X2008	0.548	2008
3	32	0.127163	X2008	0.65	2008
3	33	0.163569	X2008	0.552	2008
3	34	0.215256	X2008	1.101	2008
3	35	0.17076	X2008	0.455	2008
3	36	0.180199	X2008	0.893	2008
2	1	0.106937	X2007	0.393	2007
2	2	0.2202	X2007	1.846	2007
2	3	0.159074	X2007	2.734	2007
2	4	0.186491	X2007	2.285	2007
2	5	0.218403	X2007	2.426	2007
2	6	0.193233	X2007	0.829	2007
2	7	0.125814	X2007	1.149	2007
2	8	0.209863	X2007	1.863	2007
2	9	0.141096	X2007	1.399	2007
2	10	0.226043	X2007	0.987	2007
2	11	0.155928	X2007	2.033	2007
2	12	0.193682	X2007	2.628	2007
2	13	0.166266	X2007	1.102	2007
2	14	0.110982	X2007	1	2007
2	15	0.20402	X2007	1.523	2007
2	16	0.226942	X2007	0.977	2007
2	17	0.194581	X2007	1.187	2007
2	18	0.15413	X2007	0.798	2007
