direction	Snr	year	age	wid.x	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l	wid.y
D	1	1945	1	2.9	0.61	2.29	0.584482779	0.502798921	0.685140578	0.549193577	0.59388296	78.86
D	1	1946	2	0.89	0.57	0.32	0.583252132	0.459009324	0.765353089	0.507636916	0.717941735	78.86
D	1	1947	3	0.6	0.4	0.2	0.557893604	0.473591739	0.670524331	0.521549621	0.630581568	78.86
D	1	1948	4	0.89	0.72	0.17	0.519724866	0.41523574	0.852858202	0.459302741	0.77563034	78.86
D	1	1949	5	0.42	0.29	0.13	0.626922679	0.568399168	0.736153287	0.599838389	0.687341481	78.86
D	1	1950	6	0.62	0.44	0.18	0.558748025	0.458989924	0.765320862	0.50706233	0.685090836	78.86
D	1	1951	7	0.52	0.32	0.2	0.528274648	0.437105007	0.692379161	0.473117719	0.616525733	78.86
D	1	1952	8	0.3	0.18	0.12	0.525353821	0.437102456	0.663200976	0.458577867	0.625517753	78.86
D	1	1953	9	0.67	0.43	0.24	0.556951149	0.429805919	0.743422371	0.484252844	0.687202278	78.86
D	1	1954	10	0.62	0.35	0.27	0.632486808	0.407921676	0.918457217	0.491066518	0.815809407	78.86
D	1	1955	11	0.82	0.52	0.3	0.594784888	0.407916594	0.911152613	0.480569853	0.792757614	78.86
D	1	1956	12	0.87	0.56	0.31	0.662250894	0.429791076	1.071589489	0.505979648	0.944547338	78.86
D	1	1957	13	1.07	0.84	0.23	0.621244678	0.473544017	1.00593404	0.551857552	0.874658529	78.86
D	1	1958	14	0.64	0.43	0.21	0.61221699	0.422485965	0.991337878	0.486596317	0.869440273	78.86
D	1	1959	15	0.62	0.45	0.17	0.550577387	0.334965593	1.020499438	0.438039429	0.848471982	78.86
D	1	1960	16	0.55	0.37	0.18	0.529748102	0.342255481	0.896511709	0.425828012	0.743361621	78.86
D	1	1961	17	0.47	0.31	0.16	0.59452543	0.400594883	0.881919442	0.505753351	0.766521332	78.86
D	1	1962	18	0.6	0.45	0.15	0.528457449	0.349542482	1.049644179	0.422308021	0.846905734	78.86
D	1	1963	19	0.82	0.5	0.32	0.647025497	0.386003623	1.100681228	0.462138164	0.935911955	78.86
D	1	1964	20	0.64	0.45	0.19	0.564323373	0.356827606	1.159009002	0.417760898	0.911445024	78.86
D	1	1965	21	0.72	0.52	0.2	0.508547248	0.320361073	1.027730947	0.384591013	0.830833461	78.86
D	1	1966	22	0.69	0.47	0.22	0.589330761	0.320357941	1.180860293	0.415158962	0.961425059	78.86
D	1	1967	23	0.69	0.48	0.21	0.582983222	0.342231628	1.093339087	0.426396859	0.940894911	78.86
D	1	1968	24	0.72	0.54	0.18	0.560690484	0.36410438	1.093326331	0.443103557	0.913451264	78.86
D	1	1969	25	0.64	0.5	0.14	0.483964527	0.31305476	0.9985172	0.384809588	0.83808931	78.86
D	1	1970	26	0.47	0.34	0.13	0.564241758	0.356804595	1.158936454	0.423506078	0.932319692	78.86
D	1	1971	27	0.86	0.69	0.17	0.510017761	0.320340818	1.086000351	0.41027584	0.914852615	78.86
D	1	1972	28	0.99	0.79	0.2	0.496298861	0.291167585	1.166195477	0.357441684	1.04478471	78.86
D	1	1973	29	1.09	0.86	0.23	0.525782804	0.305747546	1.107841653	0.405543445	0.975373453	78.86
D	1	1974	30	1.29	0.95	0.34	0.564001023	0.320325919	1.158861356	0.394162944	1.038548597	78.86
D	1	1975	31	1.26	0.9	0.36	0.582522828	0.327609964	1.122380112	0.427180277	0.970879206	78.86
D	1	1976	32	1.04	0.78	0.26	0.568709878	0.349479219	1.136943213	0.438938268	0.958024707	78.86
D	1	1977	33	0.72	0.5	0.22	0.526286506	0.313016411	0.983813874	0.385492326	0.846273281	78.86
D	1	1978	34	0.84	0.65	0.19	0.521592679	0.320304406	1.064003334	0.403536027	0.925470699	78.86
D	1	1979	35	0.91	0.65	0.26	0.577170127	0.327591009	1.129608032	0.419459053	0.971447811	78.86
D	1	1980	36	0.76	0.52	0.24	0.617115754	0.342169529	1.107721845	0.438354178	1.004432503	78.86
D	1	1981	37	0.45	0.32	0.13	0.563809594	0.371328765	0.954602802	0.447200517	0.850847322	78.86
D	1	1982	38	0.42	0.27	0.15	0.628764258	0.371326541	0.998342003	0.479880079	0.896755782	78.86
D	1	1983	39	0.25	0.15	0.1	0.587425486	0.46610548	0.655667346	0.562831431	0.624316569	78.86
D	1	1984	40	0.2	0.09	0.11	0.571456406	0.444231589	0.728573943	0.497697785	0.631804369	78.86
D	1	1985	41	0.3	0.18	0.12	0.608328618	0.349449414	1.005621008	0.441799462	0.858122352	78.86
D	1	1986	42	0.62	0.29	0.33	0.801473049	0.487972418	1.093100893	0.579483801	0.99655451	78.86
D	1	1987	43	0.6	0.44	0.16	0.595260335	0.378606544	1.056636682	0.484818318	0.898975881	78.86
D	1	1988	44	0.55	0.36	0.19	0.594139134	0.364021556	1.063918297	0.44016798	0.885873953	78.86
