plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
C	1	14	55	40.692	X1990	0.603	0.603	1990
C	1	20.7	51	54.9881	X1990	0.94	0.94	1990
C	1	27.2	55	83.3176	X1990	1.967	1.967	1990
C	2	10.6	54	38.1425	X1990	1.079	1.079	1990
C	2	14.7	56	51.6265	X1990	0.889	0.889	1990
C	2	25.7	58	65.2647	X1990	0.825	0.825	1990
C	3	14	58	44.6249	X1990	0.697	0.697	1990
C	3	23.5	49	66.7462	X1990	1.625	1.625	1990
C	3	25.5	55	67.2356	X1990	1.471	1.471	1990
C	57	18.1	55	42.9563	X1990	0.635	0.635	1990
E	54	17.2	58	63.5423	X1990	0.994	0.994	1990
E	56	17.8	60	56.3447	X1990	0.524	0.524	1990
E	80	25.5	37	60.8427	X1990	2.336	2.336	1990
E	82	26.1	47	65.3303	X1990	2.132	2.132	1990
E	88	28	49	60.0893	X1990	1.952	1.952	1990
F	1	12.3	64	45.7905	X1990	0.402	0.402	1990
F	1	18.2	50	65.5565	X1990	1.08	1.08	1990
F	1	30.3	34	79.375	X1990	2.368	2.368	1990
F	2	16	55	47.6059	X1990	0.671	0.671	1990
F	2	18.5	58	53.1488	X1990	0.898	0.898	1990
F	2	28	49	61.2615	X1990	1.37	1.37	1990
F	3	16.7	68	69.5974	X1990	0.257	0.257	1990
F	3	20.2	50	64.7459	X1990	1.238	1.238	1990
F	3	25.5	51	78.7512	X1990	0.751	0.751	1990
N	3	19	49	55.0077	X1990	1.86	1.86	1990
N	35	11.1	57	46.5744	X1990	0.772	0.772	1990
N	110	35	141	75.2227	X1990	0.418	0.418	1990
S	40	12.7	48	35.4506	X1990	0.845	0.845	1990
S	46	14.6	56	52.6239	X1990	0.661	0.661	1990
S	80	25.5	61	59.3595	X1990	1.016	1.016	1990
S	82	26.1	48	47.6494	X1990	0.825	0.825	1990
W	1	12.3	70	48.3875	X1990	0.611	0.611	1990
W	2	14.5	58	48.1658	X1990	0.762	0.762	1990
W	3	25.5	45	67.6176	X1990	1.077	1.077	1990
C	1	14	55	40.692	X1991	0.531	0.531	1991
C	1	20.7	51	54.9881	X1991	1.341	1.341	1991
C	1	27.2	55	83.3176	X1991	2.008	2.008	1991
C	2	10.6	54	38.1425	X1991	0.72	0.72	1991
C	2	14.7	56	51.6265	X1991	0.773	0.773	1991
C	2	25.7	58	65.2647	X1991	0.825	0.825	1991
C	3	14	58	44.6249	X1991	0.759	0.759	1991
C	3	23.5	49	66.7462	X1991	1.436	1.436	1991
C	3	25.5	55	67.2356	X1991	0.969	0.969	1991
C	57	18.1	55	42.9563	X1991	0.677	0.677	1991
E	54	17.2	58	63.5423	X1991	0.883	0.883	1991
E	56	17.8	60	56.3447	X1991	0.513	0.513	1991
E	80	25.5	37	60.8427	X1991	2.255	2.255	1991
E	82	26.1	47	65.3303	X1991	2.009	2.009	1991
E	88	28	49	60.0893	X1991	1.262	1.262	1991
F	1	12.3	64	45.7905	X1991	0.529	0.529	1991
F	1	18.2	50	65.5565	X1991	0.945	0.945	1991
F	1	30.3	34	79.375	X1991	1.736	1.736	1991
F	2	16	55	47.6059	X1991	0.669	0.669	1991
F	2	18.5	58	53.1488	X1991	0.82	0.82	1991
F	2	28	49	61.2615	X1991	1.079	1.079	1991
F	3	16.7	68	69.5974	X1991	0.413	0.413	1991
F	3	20.2	50	64.7459	X1991	1.213	1.213	1991
F	3	25.5	51	78.7512	X1991	1.691	1.691	1991
N	3	19	49	55.0077	X1991	1.5	1.5	1991
N	35	11.1	57	46.5744	X1991	1.441	1.441	1991
N	110	35	141	75.2227	X1991	0.437	0.437	1991
S	40	12.7	48	35.4506	X1991	0.804	0.804	1991
S	46	14.6	56	52.6239	X1991	0.748	0.748	1991
S	80	25.5	61	59.3595	X1991	1.079	1.079	1991
S	82	26.1	48	47.6494	X1991	0.762	0.762	1991
W	1	12.3	70	48.3875	X1991	0.59	0.59	1991
W	2	14.5	58	48.1658	X1991	0.706	0.706	1991
W	3	25.5	45	67.6176	X1991	1.349	1.349	1991
C	1	14	55	40.692	X1992	0.411	0.411	1992
C	1	20.7	51	54.9881	X1992	1.138	1.138	1992
C	1	27.2	55	83.3176	X1992	1.456	1.456	1992
C	2	10.6	54	38.1425	X1992	0.635	0.635	1992
C	2	14.7	56	51.6265	X1992	0.518	0.518	1992
C	2	25.7	58	65.2647	X1992	0.677	0.677	1992
C	3	14	58	44.6249	X1992	0.818	0.818	1992
C	3	23.5	49	66.7462	X1992	1.224	1.224	1992
