Snr	sampling_yr	disk	date	time	path	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
1	2011	1.3	2012-05-14	10:39:37	1	0.016	0.457	1.571	1.392	1.015	1.263	1.268	1.49	1.585	1.74	1.961	1.363	1.492	1.349	1.127	1.079	0.873	1.143	0.921	1.016	0.825	0.826	0.762	0.714	1	0.905	1.175	1.175	1.079	1.207	1.143	1.143	1.333	0.889	0.857	0.905	0.714	0.539	0.46	0.381	0.428	0.602	0.839	0.777	0.444	0.54	0.809	0.587	0.572	0.349	0.381	0.54	0.524	0.492	0.571	0.571	0.825	0.743	0.905	1.016	1.175	1.175	1.111	1.428	0.792	0.809	0.933	1.785			
1	2011	1.3	2012-05-14	10:39:37	2	0.46	0.881	1.685	1.28	0.664	1.103	1.153	1.575	1.63	1.883	1.898	1.408	1.364	1.143	1	1.064	0.714	0.889	0.667	0.794	0.587	0.65	0.588	0.635	0.857	0.666	0.794	0.793	0.888	0.952	1.235	1.016	1.046	0.73	0.73	0.635	0.603	0.508	0.476	0.413	0.476	0.572	0.571	0.54	0.476	0.508	0.826	0.571	0.698	0.508	0.635	0.539	0.73	0.666	0.793	0.793	0.698	0.698	0.761	1.238	1.429	1.175	1.11	1.237	0.857	0.982	0.792	1.84			
1	2011	1.3	2012-05-14	10:39:37	3	0.015	0.692	1.448	1.238	0.728	1.299	1.138	1.325	1.38	1.929	1.866	1.534	1.41	1.665	1.392	1.444	0.983	1.159	0.778	1	0.587	0.635	0.698	0.73	0.826	0.54	0.793	0.825	0.889	1.238	1.175	0.825	0.888	0.602	0.539	0.57	0.506	0.475	0.411	0.316	0.412	0.412	0.38	0.443	0.412	0.476	0.634	0.507	0.571	0.475	0.536	0.566	0.692	0.629	0.629	0.757	0.788	0.663	0.695	0.791	0.951	1.015	0.762	1.299	0.76	0.949	1.107	1.458			
1	2011	1.3	2012-05-14	10:39:37	4	0.19	0.781	1.914	1.178	1.349	0.984	1.236	1.425	1.617	1.481	1.651	1.3	1.395	1.25	1.062	1.014	0.667	0.794	0.73	0.761	0.857	0.714	0.746	0.761	0.968	0.936	1.047	1.143	1.077	1.136	0.977	0.869	1.116	0.725	0.599	0.568	0.507	0.459	0.428	0.38	0.523	0.65	1.062	0.744	0.586	0.697	0.696	0.774	0.82	0.567	0.632	0.664	0.854	0.761	0.853	0.666	0.824	0.826	0.967	1.285	1.165	1.33	1.27	1.143	1	0.968	1.016	1.189			
1	2011	3	2012-05-14	11:00:09	1	0.032	1.713	1.364	2.047	2.617	2.093	2.122	2.111	1.631	1.254	1.286	1.269	1.395	1.078	1.016	0.603	0.524	1	0.699	0.762	0.794	0.73	0.825	0.92	0.952	0.794	0.984	1.048	0.889	0.793	1.079	1.333	1.302	0.984	0.952	0.984	0.825	1.174	1.206	1.952																															
1	2011	3	2012-05-14	11:00:09	2	0.096	1.724	1.603	1.667	2.492	2.393	2.218	2.09	1.936	1.108	1.397	1.079	1.33	1.327	1.241	0.947	0.68	0.95	0.743	0.66	0.758	0.711	0.854	0.805	0.867	0.745	1.107	0.95	1.17	1.14	1.17	1.346	1.506	1.253	1.302	1.254	1.237	1.425	1.254	2.222																															
1	2011	3	2012-05-14	11:00:09	3	0.022	1.486	1.524	2	2.556	2.238	2.33	2.127	1.587	1.522	1.333	1.333	1.425	1.094	1.315	0.856	0.73	1	0.841	0.651	0.793	0.651	0.825	0.825	0.825	0.825	0.921	0.92	1	0.95	1.317	1.397	1.394	1.186	1.189	1.333	0.984	1.173	1.205	2.522																															
1	2011	3	2012-05-14	11:00:09	4	0.048	2.016	1.317	1.901	2.349	2.19	2.094	2.092	1.758	1.174	0.921	1.079	1.381	1.159	1.032	0.698	0.508	0.857	0.667	0.54	0.714	0.619	0.762	0.952	0.857	0.889	1.016	1.016	0.952	0.857	1.206	1.333	1.332	1.014	0.951	0.951	1.078	1.237	1.397	2.204																															
2	2011	1.3	2012-05-14	11:16:51	1	0.081	0.647	0.605	1.172	1.825	1.743	1.73	1.032	0.904	1.015	0.984	0.809	1.284	0.984	1.014	1.301	0.979	1.358	1.265	1.458	1.27	1.619	2.111	2.745	2.768	2.235	2.095	2.127	1.649	1.142	1.744	1.111	1.047	1.142	0.889	0.953	1.143	0.921	0.921	0.794	1.016	0.982	0.887	1.015	1.046	1.141	0.92	0.793	0.857	0.762	1.079	1.143	0.889	1.206	1.302	1.238	1.396	1.3	1.618	1.078	1.523	2.19	3.118								
2	2011	1.3	2012-05-14	11:16:51	2	0.095	0.476	0.777	0.952	1.587	1.54	1.397	1.492	1.095	1.048	0.793	0.761	1.188	0.586	1.062	1.158	1.032	0.952	0.921	1.206	0.984	1.253	1.143	1.476	2.269	2.175	1.715	1.746	1.079	0.952	1.175	0.809	0.524	0.619	0.444	0.476	0.556	0.508	0.381	0.428	0.556	0.651	0.556	0.603	0.539	0.635	0.445	0.412	0.428	0.491	0.665	0.538	0.538	0.635	0.82	0.698	0.746	0.651	0.809	0.54	0.775	1.539	2.473								
2	2011	1.3	2012-05-14	11:16:51	3	0.047	0.616	0.609	1.06	1.798	1.787	1.618	1.249	0.963	0.856	0.899	0.55	0.74	0.466	0.866	0.908	0.93	1.1	1.099	1.386	1.119	1.619	1.428	1.852	2.074	1.852	1.777	1.714	1.302	1.143	1.237	0.888	0.8	0.685	0.576	0.628	0.678	0.689	0.604	0.772	0.861	0.896	0.787	0.797	0.62	0.675	0.603	0.595	0.519	0.556	0.612	0.819	1.018	1.516	1.306	1.16	0.985	1.136	0.79	0.784	0.835	1.65	2.182								
2	2011	1.3	2012-05-14	11:16:51	4	0.032	0.804	0.517	1.122	1.597	1.545	1.238	1.482	1.09	0.878	0.804	0.698	1.3	0.884	0.888	1.079	0.825	1.238	1.058	1.037	1.015	1.322	1.651	1.753	1.995	1.803	1.926	1.866	1.384	1.087	1.237	0.948	0.725	0.662	0.441	0.506	0.632	0.601	0.567	0.663	0.65	0.545	0.565	0.419	0.398	0.41	0.41	0.389	0.432	0.391	0.558	0.565	0.566	0.785	0.878	0.876	0.842	0.711	0.784	0.527	0.619	1.088	1.689								
