treatment	plot	Tnr1	Tnr2	d1	d2	scan_nr	scan_order	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
F	1	4	4	246	244	1	1	0.862	1.033	1.287	1.287	1.225	1.287	1.109	1.151	1.485	1.945	2.306	1.492	0.687	1.121	1.311	0.889	0.773	0.666	0.718	0.509	0.465	0.698	0.782	1.016
C	1	5	5	181	194	1	2	1.185	1.424	1.202	1.291	1.711	1.351	1.17	1.026	1.161	1.139	1.279	1.114	0.802	0.844	0.916	1.123	1.045	0.876	0.67	0.534	0.683	0.655	1.001	1.071
F	6	20	4	172	168	1	3	0.995	1.312	1.256	1.657	1.594	0.91	1.729	1.489	2.095	1.752	1.253	1.463	0.679	1.122	1.751	1.641	1.131	0.977	1.036	0.779	0.69	0.868	0.785	0.868
C	3	2	2	229	222	1	4	1.301	1.111	0.91	1.206	1.227	1.111	0.878	0.751	0.666	0.709	0.688	0.91	0.719	0.92	0.794	0.741	0.402	0.443	0.55	0.465	0.592	0.529	0.434	0.613
C	1	1	1	244	240	1	5	1.11	1.106	0.94	1.234	1.073	0.933	0.715	0.46	0.346	0.308	0.383	0.633	0.58	0.597	0.835	0.595	0.676	0.56	0.71	0.403	0.508	0.699	0.551	0.682
F	1	2	2	150	150	1	6	0.296	0.381	0.487	0.508	0.571	0.486	0.613	0.909	1.099	1.226	1.775	1.903	1.543	2.22	1.985	2.467	1.628	1.374	1.163	0.823	1.013	1.316	1.452	2.124
C	3	1	1	173	158	1	7	0.78	0.57	0.76	0.654	0.654	0.571	0.613	0.486	0.529	0.529	0.613	0.465	0.38	0.38	0.485	0.486	0.38	0.359	0.465	0.4	0.59	0.506	0.401	0.569
F	6	52	2	181	180	1	8	0.868	1.101	1.016	0.867	0.973	0.72	1.185	1.395	1.011	1.352	1.481	0.931	0.296	0.402	1.056	1.161	0.59	0.442	0.485	0.443	0.596	0.747	0.231	0.149
F	1	5	5	207	196	2	1	0.758	1.119	1.095	0.818	1.049	1.04	1.359	1.868	1.858	1.822	1.978	2.006	0.782	1.353	1.327	0.756	0.951	0.565	0.676	0.379	0.582	0.808	0.97	1.095
F	3	2	2	197	195	2	2	1.015	1.746	1.372	1.477	1.343	0.902	0.919	0.816	1.97	2.392	2.761	2.188	1.218	1.898	2.277	2.083	1.689	1.109	1.25	1.529	1.713	1.874	1.859	1.27
F	4	24	1	252	253	2	3	1.047	1.14	0.767	1.248	1.209	1.069	0.895	1.079	1.734	2.467	2.128	1.695	1.002	1.384	1.494	1.42	0.931	0.934	1.501	0.867	0.942	1.382	1.181	1.298
C	1	2	2	221	230	2	4	1.035	0.852	1.067	0.82	1.044	0.731	0.68	0.555	0.521	0.46	0.638	0.511	0.293	0.316	0.425	0.384	0.246	0.268	0.279	0.203	0.33	0.313	0.28	0.245
C	1	4	4	214	209	2	5	0.867	1.12	1.013	1.141	1.183	0.803	0.846	0.868	0.741	0.804	0.995	1.015	0.868	0.783	0.908	0.868	0.783	0.571	0.614	0.423	0.656	0.762	0.741	0.866
F	6	47	1	275	273	2	6	1.058	1.704	1.397	1.4	1.524	1.545	1.524	1.541	2.136	2.411	2.213	1.585	0.846	1.122	1.82	1.65	1.374	1.542	1.96	1.318	1.417	1.403	1.678	1.565
C	5	20	1	236	240	2	7	1.101	1.27	0.952	1.96	2.024	1.717	2.004	1.881	1.757	1.545	2.233	1.782	1.378	1.542	1.394	1.183	1.194	0.901	1.058	0.782	1.332	1.374	1.079	1.247
C	5	23	4	170	172	2	8	0.632	0.548	0.642	0.747	0.800	0.674	0.685	0.580	0.569	0.580	0.611	0.497	0.375	0.616	0.556	0.533	0.428	0.328	0.356	0.369	0.686	0.557	0.557	0.458
C	3	3	3	203	192	3	1	0.825	0.635	0.592	1.037	0.931	0.571	0.635	0.444	0.465	0.495	0.669	0.465	0.36	0.424	0.74	0.593	0.593	0.317	0.459	0.307	0.525	0.825	0.556	0.657
F	4	26	2	179	175	3	2	0.675	0.673	0.73	0.99	0.931	0.911	0.571	1.082	1.305	1.112	1.335	0.921	0.91	1.079	1.194	1.112	0.836	0.868	1.194	0.986	1.65	1.633	1.169	1.185
F	2	4	4	264	258	3	3	1.457	1.436	1.538	1.263	1.645	1.435	0.928	1.98	2.233	2.087	1.982	2.052	1.45	1.557	1.742	1.716	1.338	1.149	1.072	0.872	1.21	1.178	1.135	1.901
C	5	5	2	124	127	3	4	0.836	0.66	0.525	0.633	0.672	0.48	0.524	0.423	0.327	0.273	0.373	0.316	0.271	0.236	0.353	0.261	0.187	0.116	0.197	0.176	0.224	0.262	0.214	0.247
C	1	3	3	146	145	3	5	0.885	0.716	0.743	0.793	0.893	0.713	0.778	0.652	0.809	0.584	0.802	0.742	0.675	0.894	0.964	0.898	0.568	0.564	0.418	0.38	0.619	0.581	0.557	0.624
C	5	42	5	242	253	3	6	0.614	0.804	0.675	0.827	0.973	0.931	0.995	0.823	0.74	0.783	1.119	0.883	0.715	0.862	0.798	0.903	0.798	0.881	1.048	0.754	0.882	1.052	0.884	0.866
C	2	3	3	181	176	3	7	0.675	0.574	0.541	0.612	0.624	0.793	0.700	0.487	0.627	0.483	0.551	0.615	0.368	0.54	0.582	0.538	0.489	0.416	0.567	0.455	0.499	0.525	0.761	0.637
C	4	5	5	168	167	3	8	0.549	0.617	0.559	0.804	0.712	0.605	0.499	0.541	0.477	0.459	0.543	0.56	0.429	0.472	0.614	0.464	0.405	0.303	0.381	0.318	0.443	0.464	0.369	0.327
C	5	7	3	214	222	4	1	1.206	1.19	1.442	1.318	1.653	1.318	1.396	1.038	1.136	1.083	1.377	1.123	1.042	1.102	0.953	0.912	0.661	0.594	0.679	0.661	0.994	0.851	1.161	1.253
C	6	55	3	174	184	4	2	0.783	0.677	0.72	0.699	0.847	0.72	0.593	0.571	0.614	0.593	0.698	0.529	0.339	0.346	0.522	0.614	0.529	0.339	0.381	0.417	0.508	0.705	0.72	0.685
C	2	4	4	230	234	4	3	1.207	1.525	1.251	1.524	1.482	1.229	0.994	0.869	0.891	0.699	0.996	0.74	0.634	0.805	0.697	0.659	0.529	0.402	0.614	0.489	0.678	0.657	0.802	0.657
C	3	4	4	289	292	4	4	0.974	1.122	1.397	1.206	0.931	0.762	0.635	0.508	0.402	0.529	0.577	0.551	0.382	0.36	0.381	0.541	0.467	0.339	0.402	0.255	0.372	0.349	0.329	0.392
C	2	5	5	161	154	4	5	0.847	0.741	0.529	0.571	0.783	0.72	0.699	0.487	0.635	0.826	0.699	0.571	0.36	0.387	0.481	0.487	0.508	0.381	0.381	0.359	0.487	0.487	0.445	0.409
C	6	76	2	204	203	4	6	0.726	0.629	0.856	0.901	0.825	0.508	0.529	0.466	0.426	0.463	0.512	0.467	0.46	0.572	0.635	0.677	0.55	0.339	0.466	0.345	0.565	0.72	0.445	0.561
C	3	5	5	247	238	4	7	1.188	0.847	0.868	1.333	1.27	1.08	0.995	0.952	1.102	1.525	1.755	1.334	0.931	1.101	1.037	0.974	0.826	0.698	0.783	0.677	0.741	1.185	0.939	1.357
F	3	3	3	265	260	4	8	0.867	0.771	0.91	0.73	0.743	0.719	1.271	1.716	1.821	2.139	2.14	1.633	1.628	1.504	1.587	1.482	1.059	0.995	0.973	0.554	0.676	0.848	0.826	0.742
F	5	24	5	212	206	5	1	0.781	1.482	1.254	1.117	1.185	1.058	1.249	1.609	2.18	2.223	2.223	1.693	0.847	0.847	1.863	1.757	1.609	1.291	1.672	0.783	1.079	1.947	1.434	1.269
F	2	1	1	215	200	5	2	1.43	1.852	1.831	1.812	1.8	1.292	1.577	2.024	2.233	2.434	2.133	1.185	0.783	1.244	1.042	0.811	0.529	0.317	0.413	0.381	0.392	0.751	0.784	0.73
F	6	6	5	228	240	5	3	1.334	1.376	1.184	1.546	1.371	1.291	1.635	2.52	2.454	2.308	2.624	2.266	1.524	1.757	2.921	3.028	1.842	0.973	1.27	1.46	1.863	1.439	1.65	1.37
C	2	1	1	214	209	5	4	1.101	1.228	1.122	1.27	1.207	1.058	0.698	0.656	0.677	0.762	0.889	0.847	0.635	0.529	0.635	0.614	0.55	0.36	0.402	0.233	0.381	0.36	0.381	0.509
F	2	2	2	255	260	5	5	1.101	1.863	1.947	1.693	1.566	1.397	1.249	1.376	1.524	2.265	3.196	2.434	1.778	1.672	1.778	1.672	1.016	0.741	0.487	0.423	0.995	1.418	1.63	1.061
F	2	3	3	307	311	5	6	1.545	1.651	1.757	2.117	1.705	1.019	1.869	1.947	2.751	2.884	2.579	2.299	1.49	1.587	1.799	1.926	1.672	1.312	1.037	1.02	1.186	1.293	0.638	1.014
C	6	82	1	303	307	5	7	0.762	0.995	0.804	1.461	1.503	1.065	1.101	0.973	0.837	0.829	0.931	0.826	0.825	0.974	0.91	1.016	0.91	0.592	0.836	0.519	0.614	0.762	0.677	0.867
C	4	72	3	188	193	5	8	0.614	0.889	0.593	0.973	1.08	0.846	1.101	0.91	0.868	0.762	0.889	0.931	0.825	1.101	1.27	1.185	1.249	1.207	1.164	0.91	1.037	0.741	1.058	1.038
F	1	1	1	184	190	6	1	0.72	1.122	1.143	0.847	0.995	0.868	0.741	0.762	1.376	1.693	2.011	1.482	0.677	0.656	1.228	0.677	0.402	0.487	0.656	0.202	0.402	0.581	0.508	0.51
F	5	63	1	280	290	6	2	1.238	1.63	1.582	1.847	1.503	1.418	1.418	1.869	2.581	2.459	2.371	2.352	1.637	1.797	1.486	2.136	1.251	1.165	1.503	1.102	1.694	1.505	1.718	1.417
