Sample	Ring.fr.pith	Ring.fr.bark	Distance.fr.pith	Ring.width	EW.width	LW.width	Proportion.EW	Density	Min.density	Max.density	EW.density	LW.density
1D	1	74	1.45	2.9	0.61	2.29	0.210344828	0.584482779	0.502798921	0.685140578	0.549193577	0.59388296
1D	2	73	3.345	0.89	0.57	0.32	0.640449438	0.583252132	0.459009324	0.765353089	0.507636916	0.717941735
1D	3	72	4.095	0.6	0.4	0.2	0.666666667	0.557893604	0.473591739	0.670524331	0.521549621	0.630581568
1D	4	71	4.845	0.89	0.72	0.17	0.808988764	0.519724866	0.41523574	0.852858202	0.459302741	0.77563034
1D	5	70	5.5	0.42	0.29	0.13	0.69047619	0.626922679	0.568399168	0.736153287	0.599838389	0.687341481
1D	6	69	6.02	0.62	0.44	0.18	0.709677419	0.558748025	0.458989924	0.765320862	0.50706233	0.685090836
1D	7	68	6.59	0.52	0.32	0.2	0.615384615	0.528274648	0.437105007	0.692379161	0.473117719	0.616525733
1D	8	67	7	0.3	0.18	0.12	0.6	0.525353821	0.437102456	0.663200976	0.458577867	0.625517753
1D	9	66	7.485	0.67	0.43	0.24	0.641791045	0.556951149	0.429805919	0.743422371	0.484252844	0.687202278
1D	10	65	8.13	0.62	0.35	0.27	0.564516129	0.632486808	0.407921676	0.918457217	0.491066518	0.815809407
1D	11	64	8.85	0.82	0.52	0.3	0.634146341	0.594784888	0.407916594	0.911152613	0.480569853	0.792757614
1D	12	63	9.695	0.87	0.56	0.31	0.643678161	0.662250894	0.429791076	1.071589489	0.505979648	0.944547338
1D	13	62	10.665	1.07	0.84	0.23	0.785046729	0.621244678	0.473544017	1.00593404	0.551857552	0.874658529
1D	14	61	11.52	0.64	0.43	0.21	0.671875	0.61221699	0.422485965	0.991337878	0.486596317	0.869440273
1D	15	60	12.15	0.62	0.45	0.17	0.725806452	0.550577387	0.334965593	1.020499438	0.438039429	0.848471982
1D	16	59	12.735	0.55	0.37	0.18	0.672727273	0.529748102	0.342255481	0.896511709	0.425828012	0.743361621
1D	17	58	13.25	0.47	0.31	0.16	0.659574468	0.59452543	0.400594883	0.881919442	0.505753351	0.766521332
1D	18	57	13.79	0.6	0.45	0.15	0.75	0.528457449	0.349542482	1.049644179	0.422308021	0.846905734
1D	19	56	14.5	0.82	0.5	0.32	0.609756098	0.647025497	0.386003623	1.100681228	0.462138164	0.935911955
1D	20	55	15.23	0.64	0.45	0.19	0.703125	0.564323373	0.356827606	1.159009002	0.417760898	0.911445024
1D	21	54	15.91	0.72	0.52	0.2	0.722222222	0.508547248	0.320361073	1.027730947	0.384591013	0.830833461
1D	22	53	16.615	0.69	0.47	0.22	0.68115942	0.589330761	0.320357941	1.180860293	0.415158962	0.961425059
1D	23	52	17.305	0.69	0.48	0.21	0.695652174	0.582983222	0.342231628	1.093339087	0.426396859	0.940894911
1D	24	51	18.01	0.72	0.54	0.18	0.75	0.560690484	0.36410438	1.093326331	0.443103557	0.913451264
1D	25	50	18.69	0.64	0.5	0.14	0.78125	0.483964527	0.31305476	0.9985172	0.384809588	0.83808931
1D	26	49	19.245	0.47	0.34	0.13	0.723404255	0.564241758	0.356804595	1.158936454	0.423506078	0.932319692
1D	27	48	19.91	0.86	0.69	0.17	0.802325581	0.510017761	0.320340818	1.086000351	0.41027584	0.914852615
1D	28	47	20.835	0.99	0.79	0.2	0.797979798	0.496298861	0.291167585	1.166195477	0.357441684	1.04478471
1D	29	46	21.88	1.09	0.86	0.23	0.788990826	0.525782804	0.305747546	1.107841653	0.405543445	0.975373453
1D	30	45	23.075	1.29	0.95	0.34	0.736434109	0.564001023	0.320325919	1.158861356	0.394162944	1.038548597
1D	31	44	24.35	1.26	0.9	0.36	0.714285714	0.582522828	0.327609964	1.122380112	0.427180277	0.970879206
1D	32	43	25.5	1.04	0.78	0.26	0.75	0.568709878	0.349479219	1.136943213	0.438938268	0.958024707
1D	33	42	26.38	0.72	0.5	0.22	0.694444444	0.526286506	0.313016411	0.983813874	0.385492326	0.846273281
1D	34	41	27.16	0.84	0.65	0.19	0.773809524	0.521592679	0.320304406	1.064003334	0.403536027	0.925470699
1D	35	40	28.035	0.91	0.65	0.26	0.714285714	0.577170127	0.327591009	1.129608032	0.419459053	0.971447811
1D	36	39	28.87	0.76	0.52	0.24	0.684210526	0.617115754	0.342169529	1.107721845	0.438354178	1.004432503
1D	37	38	29.475	0.45	0.32	0.13	0.711111111	0.563809594	0.371328765	0.954602802	0.447200517	0.850847322
1D	38	37	29.91	0.42	0.27	0.15	0.642857143	0.628764258	0.371326541	0.998342003	0.479880079	0.896755782
1D	39	36	30.245	0.25	0.15	0.1	0.6	0.587425486	0.46610548	0.655667346	0.562831431	0.624316569
1D	40	35	30.47	0.2	0.09	0.11	0.45	0.571456406	0.444231589	0.728573943	0.497697785	0.631804369
1D	41	34	30.725	0.3	0.18	0.12	0.6	0.608328618	0.349449414	1.005621008	0.441799462	0.858122352
1D	42	33	31.19	0.62	0.29	0.33	0.467741935	0.801473049	0.487972418	1.093100893	0.579483801	0.99655451
1D	43	32	31.8	0.6	0.44	0.16	0.733333333	0.595260335	0.378606544	1.056636682	0.484818318	0.898975881
1D	44	31	32.375	0.55	0.36	0.19	0.654545455	0.594139134	0.364021556	1.063918297	0.44016798	0.885873953
1D	45	30	33.055	0.81	0.55	0.26	0.679012346	0.640067017	0.3640184	1.151391266	0.472713287	0.994084522
1D	46	29	33.945	0.97	0.58	0.39	0.597938144	0.746346159	0.458790447	1.129503865	0.581595614	0.991359789
1D	47	28	34.8	0.74	0.52	0.22	0.702702703	0.596607764	0.34213679	1.129488909	0.421068604	1.011518505
1D	48	27	35.565	0.79	0.47	0.32	0.594936709	0.690310357	0.422326998	1.012832623	0.533386046	0.920792939
1D	49	26	36.455	0.99	0.64	0.35	0.646464646	0.670993405	0.393160269	1.056557069	0.514927988	0.956370168
1D	50	25	37.52	1.14	0.78	0.36	0.684210526	0.65546391	0.385862526	1.136727623	0.484091436	1.026770939
1D	51	24	38.635	1.09	0.85	0.24	0.779816514	0.537470531	0.305667064	1.107547942	0.417673674	0.961751066
1D	52	23	39.665	0.96	0.79	0.17	0.822916667	0.503269176	0.312950546	1.085661425	0.403565981	0.966595787
1D	53	22	40.58	0.86	0.63	0.23	0.73255814	0.543078941	0.320237108	1.049198479	0.394174624	0.950947286
1D	54	21	41.57	1.12	0.87	0.25	0.776785714	0.536769057	0.334810637	1.071049354	0.414493035	0.962289614
1D	55	20	42.765	1.27	0.84	0.43	0.661417323	0.603248322	0.312937721	1.143921867	0.385136472	1.029327285
1D	56	19	43.92	1.04	0.69	0.35	0.663461538	0.590062738	0.444139939	0.808597211	0.516186213	0.735705028
1D	57	18	45.31	1.74	1.15	0.59	0.66091954	0.610728803	0.349370711	0.998093715	0.467898214	0.88912741
1D	58	17	47.385	2.4	1.47	0.93	0.6125	0.69342094	0.378516204	1.136542386	0.482246384	1.027212979
1D	59	16	49.635	2.09	1.28	0.81	0.612440191	0.663347018	0.356635171	1.11464331	0.452128687	0.997124135
1D	60	15	51.83	2.3	1.6	0.7	0.695652174	0.620458254	0.342046208	1.129176708	0.440302932	1.032241847
1D	61	14	53.69	1.42	1.01	0.41	0.711267606	0.618316032	0.356613084	1.18745395	0.425235993	1.093952224
1D	62	13	55.215	1.63	1.32	0.31	0.809815951	0.534731879	0.356605385	1.129117811	0.431194227	0.975601883
1D	63	12	56.7	1.33	0.98	0.35	0.736842105	0.567255985	0.31286898	1.150958731	0.401808895	1.030507839
1D	64	11	57.965	1.19	0.85	0.34	0.714285714	0.554394036	0.334723639	1.027045604	0.402799932	0.933379295
1D	65	10	59.225	1.33	1	0.33	0.751879699	0.491534568	0.261842257	1.056175825	0.344191189	0.938029654
1D	66	9	60.785	1.79	1.21	0.58	0.675977654	0.549174903	0.283699436	1.0780118	0.359523054	0.9448279
1D	67	8	63.055	2.75	1.82	0.93	0.661818182	0.546364409	0.269117279	0.997811591	0.37197543	0.887641766
1D	68	7	65.615	2.36	1.74	0.62	0.737288136	0.506619697	0.290965732	1.04149007	0.364417938	0.905702051
1D	69	6	67.93	2.26	1.26	1	0.557522124	0.665044958	0.305529331	1.099749145	0.390190073	1.011362113
1D	70	5	70.61	3.1	2.47	0.63	0.796774194	0.476078031	0.298231113	0.939395825	0.383921382	0.837390609
1D	71	4	73.24	2.16	1.91	0.25	0.884259259	0.443357263	0.298214481	1.085077191	0.377786796	0.944315627
1D	72	3	75.24	1.83	1.32	0.51	0.721311475	0.534959168	0.298205038	1.055907455	0.389386756	0.911734822
1D	73	2	77	1.68	1.12	0.56	0.666666667	0.585927654	0.31276957	1.070447538	0.402926069	0.951930824
1D	74	1	78.395	1.11	0.83	0.28	0.747747748	0.526133847	0.298190241	1.034000856	0.395093464	0.914574982
1U	1	74	1.415	2.83	2.47	0.36	0.872791519	0.631558003	0.539252439	0.772659241	0.618995417	0.7177513
1U	2	73	3.295	0.92	0.48	0.44	0.52173913	0.679298874	0.524657292	0.882059763	0.56386324	0.805228656
1U	3	72	4.155	0.79	0.61	0.18	0.772151899	0.605066634	0.517355964	0.809107232	0.567217767	0.733332238
1U	4	71	4.985	0.87	0.68	0.19	0.781609195	0.547362213	0.458998555	0.772627715	0.499007872	0.720419857
1U	5	70	5.555	0.27	0.11	0.16	0.407407407	0.655385071	0.612163506	0.699687453	0.632718795	0.670968136
1U	6	69	5.99	0.6	0.38	0.22	0.633333333	0.559279499	0.451698084	0.736149389	0.497764018	0.66553351
1U	7	68	6.525	0.47	0.29	0.18	0.617021277	0.527423527	0.415226336	0.677795008	0.460497387	0.635248974
1U	8	67	6.935	0.35	0.19	0.16	0.542857143	0.572556298	0.480866044	0.65591068	0.530385853	0.622633701
1U	9	66	7.43	0.64	0.33	0.31	0.515625	0.696020809	0.58297336	0.860122322	0.616125167	0.781071008
1U	10	65	8.16	0.82	0.43	0.39	0.524390244	0.625390833	0.400630284	0.889286443	0.474412614	0.791853998
1U	11	64	9.06	0.97	0.7	0.27	0.721649485	0.62498184	0.488143878	0.925738887	0.548158341	0.824153873
1U	12	63	10.01	0.92	0.6	0.32	0.652173913	0.703920625	0.553776556	1.013244814	0.60312783	0.892907115
1U	13	62	10.89	0.84	0.67	0.17	0.797619048	0.648318096	0.531890152	1.056989727	0.583159044	0.905121418
1U	14	61	11.595	0.57	0.43	0.14	0.754385965	0.573593836	0.444366506	0.998635902	0.489312243	0.832458731
1U	15	60	12.115	0.47	0.34	0.13	0.723404255	0.575015712	0.356847	1.064265498	0.449511007	0.903258787
1U	16	59	12.56	0.42	0.33	0.09	0.785714286	0.522671923	0.378723396	0.962157512	0.466017755	0.730403871
1U	17	58	13.005	0.47	0.35	0.12	0.744680851	0.571749608	0.393307589	0.976736704	0.510826721	0.749441364
1U	18	57	13.45	0.42	0.29	0.13	0.69047619	0.56051815	0.386011424	1.071537117	0.435803746	0.838727205
1U	19	56	13.995	0.67	0.48	0.19	0.71641791	0.574204784	0.356837819	1.09340516	0.459999569	0.862723221
1U	20	55	14.545	0.42	0.31	0.11	0.738095238	0.501703947	0.349541373	0.954835644	0.414234572	0.748208552
1U	21	54	14.995	0.47	0.32	0.15	0.680851064	0.535268647	0.320368215	1.049633822	0.400131616	0.823560979
1U	22	53	15.525	0.59	0.43	0.16	0.728813559	0.548784308	0.320365826	1.056917001	0.414321439	0.910153268
1U	23	52	16.13	0.62	0.44	0.18	0.709677419	0.541961314	0.334947913	0.94751898	0.431739788	0.811391713
1U	24	51	16.765	0.65	0.47	0.18	0.723076923	0.541601307	0.342237419	1.107944324	0.419816459	0.859595074
1U	25	50	17.375	0.57	0.41	0.16	0.719298246	0.483347605	0.342233928	0.947501528	0.389723223	0.723260084
1U	26	49	17.91	0.5	0.35	0.15	0.7	0.500766015	0.342231063	0.93290934	0.393485622	0.751086931
1U	27	48	18.515	0.71	0.55	0.16	0.774647887	0.492489051	0.298474246	1.056867932	0.390091499	0.844480636
1U	28	47	19.315	0.89	0.71	0.18	0.797752809	0.481101945	0.291178029	1.144359977	0.358656518	0.964081132
1U	29	46	20.275	1.02	0.82	0.2	0.803921569	0.475088839	0.298466523	1.020376933	0.380457569	0.863077046
1U	30	45	21.395	1.21	0.94	0.27	0.776859504	0.487870033	0.298461707	1.085986084	0.374638837	0.882082346
1U	31	44	22.555	1.11	0.8	0.31	0.720720721	0.536785773	0.320331643	1.064092332	0.392064856	0.910259105
1U	32	43	23.605	0.99	0.77	0.22	0.777777778	0.5465156	0.33491039	1.166159449	0.424777657	0.972598402
1U	33	42	24.47	0.74	0.55	0.19	0.743243243	0.51591385	0.327613292	0.998439219	0.389923677	0.880622246
1U	34	41	25.235	0.79	0.59	0.2	0.746835443	0.56749111	0.320318479	1.129674184	0.427961061	0.979104754
1U	35	40	26.09	0.91	0.65	0.26	0.714285714	0.587505586	0.320314286	1.158825253	0.422170077	1.000844357
1U	36	39	26.945	0.79	0.53	0.26	0.670886076	0.645466002	0.327601924	1.19526744	0.440410966	1.063462808
1U	37	38	27.635	0.59	0.42	0.17	0.711864407	0.62691002	0.378636877	1.144216986	0.469604168	1.015548007
1U	38	37	28.25	0.64	0.39	0.25	0.609375	0.654558842	0.34946881	1.151497379	0.448554239	0.975926024
1U	39	36	28.74	0.34	0.26	0.08	0.764705882	0.560050712	0.33488307	1.144199223	0.417890087	1.022072742
1U	40	35	29.055	0.29	0.24	0.05	0.827586207	0.531489982	0.342172832	1.122320491	0.432400142	1.007121215
1U	41	34	29.4	0.4	0.27	0.13	0.675	0.630532803	0.356753044	1.049403628	0.488532909	0.92545566
1U	42	33	29.995	0.79	0.46	0.33	0.582278481	0.661771898	0.349459608	1.034810619	0.472138973	0.926108701
1U	43	32	30.76	0.74	0.56	0.18	0.756756757	0.570053778	0.327582728	1.12228855	0.429655125	1.006849588
1U	44	31	31.415	0.57	0.48	0.09	0.842105263	0.475313958	0.32028767	0.998333614	0.40337317	0.858998158
1U	45	30	32.06	0.71	0.54	0.17	0.76056338	0.595171721	0.320285233	1.180592244	0.454354494	1.042473501
1U	46	29	33.025	1.21	0.7	0.51	0.578512397	0.752598068	0.385898222	1.158700747	0.563165673	1.012603314
1U	47	28	34.115	0.97	0.73	0.24	0.75257732	0.557554836	0.298403569	1.195134474	0.392980772	1.058134281
1U	48	27	35.07	0.94	0.67	0.27	0.712765957	0.576753338	0.342142734	1.027437688	0.438767531	0.919162561
1U	49	26	36.195	1.31	1.02	0.29	0.778625954	0.548823267	0.320266858	1.122190691	0.42397339	0.987950419
1U	50	25	37.45	1.19	0.93	0.26	0.781512605	0.554124053	0.298389492	1.202362232	0.414639349	1.053050112
1U	51	24	38.715	1.33	1.05	0.28	0.789473684	0.543556528	0.261932921	1.187758097	0.403359235	1.069296379
1U	52	23	39.94	1.12	0.92	0.2	0.821428571	0.528658485	0.312955935	1.195027904	0.399405427	1.123222549
1U	53	22	41.055	1.11	0.81	0.3	0.72972973	0.538867604	0.305662528	1.056504161	0.373789798	0.984577682
1U	54	21	42.265	1.31	1.07	0.24	0.816793893	0.488340848	0.291076257	1.107508527	0.371126469	1.01092162
1U	55	20	43.64	1.43	1.09	0.34	0.762237762	0.557254234	0.283782096	1.158509103	0.392053992	1.086866776
1U	56	19	45.165	1.61	1.23	0.38	0.763975155	0.536907412	0.334798893	1.034563735	0.418835214	0.919088476
1U	57	18	46.89	1.84	1.43	0.41	0.777173913	0.503825591	0.269189757	1.100137573	0.366547516	0.982624733
1U	58	17	48.93	2.23	1.56	0.67	0.69955157	0.609334977	0.312916604	1.172988196	0.426454153	1.035147044
1U	59	16	50.94	1.78	1.22	0.56	0.685393258	0.591632916	0.305616163	1.129226463	0.395829008	1.018205716
1U	60	15	52.995	2.33	1.77	0.56	0.759656652	0.560855979	0.305606584	1.143764908	0.408551357	1.042247373
1U	61	14	55.055	1.78	1.31	0.47	0.735955056	0.55142447	0.291021657	1.143732022	0.377867365	1.035168741
1U	62	13	56.705	1.51	1.27	0.24	0.841059603	0.519305785	0.327454651	1.194718485	0.42236988	1.032258281
1U	63	12	58.255	1.59	1.18	0.41	0.742138365	0.542917028	0.269143564	1.136390606	0.380252017	1.011074867
1U	64	11	59.755	1.41	1.09	0.32	0.773049645	0.519139107	0.298286816	1.08535039	0.379655466	0.994255262
1U	65	10	61.26	1.59	1.32	0.27	0.830188679	0.470978086	0.269129193	1.048885302	0.372094307	0.954409896
1U	66	9	63.025	1.93	1.45	0.48	0.751295337	0.480982506	0.269124158	1.056146424	0.360943798	0.843599436
1U	67	8	65.12	2.26	1.63	0.63	0.721238938	0.444808659	0.239967505	0.910366454	0.311764486	0.789034058
1U	68	7	67.285	2.06	1.7	0.36	0.825242718	0.417560829	0.254533172	0.968633545	0.323842646	0.860118916
1U	69	6	69.21	1.78	1.07	0.71	0.601123596	0.580497524	0.276386394	1.019612582	0.352997224	0.92335009
