TreeName	RingCount	PathLength	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938
01_01	73	114.9666	1.705	2.189	1.322	1.534	1.526	1.438	1.879	1.815	1.209	1.995	2.713	1.8	1.336	0.771	1.144	1.179	1.381	1.526	1.363	1.271	1.247	1.053	0.936	0.804	0.741	0.487	0.708	1.155	1.016	0.995	1.228	0.963	0.857	0.83	0.736	1.058	1.209	0.744	0.863	1.143	1.198	1.787	2.011	2.519	2.137	2.964	2.943	1.905	2.54	2.371	2.223	2.159	2.053	2.54	2.413	2.201	2.011	2.667	2.371	1.863	1.524	0.995	1.397	1.63	1.373	1.538	2.088	2.337	1.377	0.809	0.485	0.607	1.302												
01_02	71	125.9896	2.227	1.149	0.909	1.99	1.923	1.95	2.071	2.995	1.896	1.317	1.89	2.549	1.675	0.622	0.821	0.864	1.403	1.245	1.884	2.175	1.614	1.736	1.675	1.563	1.312	1.037	0.902	0.799	0.841	1.32	1.13	1.273	1.445	1.151	1.169	1.068	1.075	1.304	1.14	0.976	1.016	1.297	1.248	1.568	2.859	2.252	2.195	3.076	3.065	2.391	2.849	2.77	2.531	2.097	1.856	2.106	2.296	2.191	2.055	2.781	3.138	2.725	2.349	1.503	2.406	2.419	1.903	1.445	1.62	1.648	1.323														
01_03	68	112.4371	1.926	1.16	1.041	1.492	1.534	1.439	1.445	1.966	2.262	1.398	2.192	2.428	1.856	1.524	0.889	1.143	1.185	1.63	1.672	1.355	1.228	1.138	1.114	0.796	0.804	0.698	0.614	0.699	0.91	1.123	0.996	1.349	1.019	0.931	0.91	0.932	1.041	1.143	0.8	0.974	1.21	1.245	1.609	2.048	2.165	1.82	2.58	3.262	2.54	2.54	2.413	2.582	2.011	1.969	2.582	2.582	2.773	1.908	2.75	3.217	2.032	1.841	1.27	1.206	0.995	1.436	1.416	3.287																	
01_04	70	112.8146	1.268	0.763	0.634	1.057	1.11	1.15	1.544	2.06	1.892	0.952	1.706	2.591	1.926	1.397	0.804	1.185	1.164	1.503	1.778	1.185	1.037	1.27	1.228	0.868	0.91	0.714	0.746	0.55	1.079	0.974	1.058	1.27	0.804	1.058	0.868	0.699	1.061	0.971	0.656	0.857	1.256	1.612	1.947	2.117	2.434	2.561	3.006	3.26	2.9	2.477	3.111	2.709	2.265	2.667	2.794	2.455	2.095	2.053	2.701	2.389	1.684	1.228	0.635	1.321	1.726	2.02	2.225	2.013	2.201	1.151															
02_01	66	86.5370	2.022	1.523	1.058	1.228	1.417	1.969	2.222	1.846	2.091	1.905	1.949	2.502	2.132	1.566	1.101	1.122	1.439	1.778	2.159	1.651	1.799	1.249	0.974	1.376	0.91	0.827	0.697	0.931	1.122	1.037	0.698	0.995	0.72	0.656	0.91	0.614	0.635	0.526	0.49	0.656	0.72	0.762	1.206	1.778	0.953	0.625	0.956	1.425	1.27	2.055	1.776	2.102	1.363	1.403	1.619	1.26	1.199	1.129	1.376	2.223	1.397	1.249	0.91	0.614	0.91	0.931																			
02_02	66	84.3869	1.091	0.874	0.408	0.601	0.792	1.299	1.719	1.429	1.598	1.578	2.965	3.019	3.232	2.847	1.747	1.608	1.672	1.884	1.566	1.418	1.672	1.122	1.439	1.461	0.952	0.826	0.698	0.72	0.953	0.54	0.857	0.748	0.776	0.722	0.717	0.698	0.783	0.807	0.801	0.741	0.903	0.812	1.056	1.061	0.825	0.847	1.206	1.799	1.693	1.778	1.693	1.49	1.397	1.24	1.254	1.138	1.016	1.058	1.428	1.886	1.194	1.15	0.954	0.646	0.974	1.526																			
02_03	65	90.5482	1.371	0.994	0.487	0.82	0.54	1.077	1.897	1.602	2.28	2.434	3.455	3.712	2.95	2.172	0.995	1.228	1.455	1.529	1.228	1.164	1.715	1.249	1.122	1.287	1.038	0.888	0.935	1.161	1.07	0.881	1.016	1.134	0.829	1.064	0.83	1.04	0.994	0.967	0.72	0.712	0.854	0.889	1.088	1.527	1.008	0.95	1.016	1.44	1.058	1.588	1.496	1.735	1.346	1.068	1.324	1.265	1.235	1.295	2.427	1.504	1.035	1.047	1.058	0.877	1.101																				
02_04	60	91.5403	1.766	1.426	0.74	0.783	0.603	1.738	2.486	3.041	2.829	2.342	2.809	3.477	3.487	1.829	1.353	0.698	0.762	1.247	1.424	1.562	1.596	2.666	1.708	2.391	1.651	0.995	0.863	0.936	0.868	1.206	1.153	1.217	1.461	1.122	0.91	0.847	0.952	0.876	1.029	0.91	0.571	0.826	0.952	1.143	1.439	0.974	1.101	1.249	1.482	1.291	1.609	1.587	1.863	1.609	1.355	1.685	1.469	1.498	1.349	2.784																									
03_01	70	68.3668	1.379	1.249	0.91	1.08	1.175	1.394	1.368	1.009	1.129	1.114	1.279	1.592	1.582	0.953	0.677	0.699	0.847	0.995	1.079	0.931	0.762	0.826	0.762	0.825	0.699	0.529	0.55	0.465	0.763	0.762	0.635	0.487	0.466	0.381	0.381	0.466	0.487	0.381	0.55	0.72	0.72	0.825	0.91	0.741	0.698	1.08	1.27	1.397	1.461	1.503	1.058	1.397	1.249	1.142	1.186	1.192	0.94	1.043	0.847	0.783	0.931	0.699	1.252	1.153	1.108	1.482	1.029	1.254	1.763	1.69															
03_02	72	76.8710	1.647	0.953	0.487	0.656	0.572	0.847	1.058	0.995	1.418	1.74	1.721	2.847	2.604	1.715	0.952	1.143	1.143	1.334	1.439	1.439	1.312	0.995	0.889	0.868	0.868	0.72	0.571	0.635	0.571	0.445	0.487	0.72	0.529	0.572	0.487	0.466	0.423	0.36	0.381	0.529	0.466	0.72	0.72	0.847	0.91	0.868	1.334	1.397	1.312	1.524	1.503	1.27	1.122	1.291	1.291	1.164	1.016	1.08	1.291	1.101	0.952	1.08	0.783	1.291	1.228	1.164	1.312	1.238	1.137	1.317	1.69	1.348													
03_03	69	66.2239	2.116	1.366	0.593	0.571	0.423	0.656	0.699	0.847	1.101	1.143	1.947	2.411	2.288	1.566	0.783	0.91	1.058	1.228	1.101	0.944	1.193	0.974	0.868	0.773	0.857	0.741	0.529	0.614	0.635	0.402	0.571	0.529	0.402	0.445	0.382	0.444	0.381	0.445	0.402	0.487	0.572	0.572	0.72	0.762	0.762	0.867	1.068	1.515	1.185	1.123	1.371	1.162	1.304	1.227	1.221	1.122	1.017	0.722	1.17	1.023	0.961	1.041	0.72	1.01	1.122	1.041	1.406	1.035	1.47																
03_04	71	68.4408	1.308	1.27	0.741	0.825	0.826	1.081	1.269	1.465	1.731	1.439	1.656	2.243	1.986	1.207	0.677	0.889	0.741	0.995	0.974	1.164	1.037	0.804	0.754	0.812	0.656	0.543	0.527	0.475	0.508	0.317	0.402	0.55	0.36	0.317	0.423	0.333	0.472	0.272	0.384	0.402	0.529	0.55	0.593	0.781	0.806	0.804	0.995	1.207	1.333	1.482	1.249	1.312	0.995	1.27	1.355	1.164	1.397	1.122	1.376	1.27	0.974	0.974	0.635	1.069	1.185	1.345	1.409	1.147	1.282	1.115	0.233														
04_01	67	42.2848	0.312	0.179	0.208	0.347	0.151	0.178	0.579	1.058	0.91	0.677	0.444	0.677	0.699	0.843	0.681	0.593	0.529	0.466	0.656	0.677	0.487	0.402	0.317	0.233	0.36	0.318	0.423	0.677	0.635	0.466	0.487	0.635	0.55	0.487	0.339	0.466	0.529	0.466	0.529	0.783	0.635	0.72	0.953	1.016	0.952	0.868	0.826	0.783	0.423	0.487	0.698	0.55	0.445	0.402	0.508	0.423	0.445	0.466	0.36	0.868	0.656	1.081	1.395	1.406	1.394	1.314	0.903																		
