year	trt	Snr	d	h	lc	Vst	Vsw	Bst	Bsw	Bbr	Bf	Bcn	Bdb	Bcr	Br.trnv
2006	LF	1	199	15.86	9.96	0.220583277	0.178357713	90613.02626	78875.5089	18168.89797	9635.574875	37.88072542	2005.862069		2873.62403
2006	LF	2	238.5	16.6	11.59	0.337723123	0.283238719	143135.7886	127582.0052	24464.71776	14420.37567	573.9025869	4175.26087		1363.204354
2006	LF	3	162.5	14.5	8.28	0.156168833	0.131633687	63251.78817	57383.95708	11177.2336	7942.634986	25.95696078	845.25		1718.925831
2006	LF	4	186	14.8	7.75	0.199680815	0.166975016	75432.87436	67032.69032	9119.923221	6889.203956	133.2517647	1440.9375		988.6209347
2006	LF	5	122	12.98	5.43	0.080896022	0.063429356	33620.27233	29086.28322	2622.172469	2403.679841		1101.222222		545.4278947
2006	F	6	235.5	15.99	7.82	0.328623617	0.269665879	132289.885	114972.9087	24956.31091	13239.82137	659.8772878	2369.791667		2921.970573
2006	F	7	172.5	14.71	7.79	0.16740011	0.139657442	70363.24179	61667.2464	8988.312322	5035.987562	177.7865486	999.81		868.6925345
2006	F	8	214.5	15.87	7.46	0.290249902	0.252576229	123084.7115	111742.1377	15606.12326	7860.502836	470.9296137	1253.724138		3149.498449
2006	F	9	156	14.52	6.33	0.148945347	0.125384094	62708.90274	56023.27153	7353.943181	6438.130787	24.02739706	609.1808511		1504.325083
2006	F	10	133.5	12.78	6.52	0.097855707	0.081464014	44737.4448	40026.68703	5368.880335	3779.891478	61.18638037	480.3571429		659.9242153
2006	C	11	241.5	16.66	9.85	0.364029413	0.314164403	155975.4739	140672.272	21355.9306	14630.06434	253.1550086	3215.347826		2114.385006
2006	C	12	167.5	15.17	7.32	0.17067371	0.151978466	76312.58017	69539.37392	8498.403454	7145.75863	16.31735821	2259.25641		1518.809359
2006	C	13	214	15.87	9.19	0.272562644	0.243479078	122098.4832	112190.988	19576.42726	8543.530987	159.1101057	3297.676056		1095.254979
2006	C	14	179	14.2	7.78	0.196474977	0.157291255	78123.94276	67494.11024	12966.29493	5795.983613	0	4548.25		2398.071314
2006	C	15	122	13.13	4.55	0.083822841	0.0713047	35850.31356	31873.63059	2737.277871	2194.458433	0	2238.333333		814.6010514
2011	F	1	133.5	16.18	7.93	0.129642566	0.113210469	52250.21627	47521.90784	4703.304564	4417.565733	153.9712919	683.9466667	13910.58394	939.7175662
2011	F	2	143.5	15.01	7.05	0.134205031	0.112655673	53489.81504	47289.02341	6255.106079	6017.74665		1333.743945	15226.77143	1191.123226
2011	F	3	181	16.63	7.88	0.217832554	0.186610235	87316.80543	78332.63522	12119.59741	5809.144511	50.42431762	2108.091743	18903.54694	1667.133373
2011	F	4	184.5	16.03	11.34	0.217963941	0.185259968	87176.35268	77765.83921	17109.50183	11971.84943	13.45193717	234.0701439	17040.74651	1620.291701
2011	F	5	239.5	17.36	11.98	0.334966221	0.287167488	134297.1584	120543.1528	33529.75686	11841.63684	562.9389423	494.9439462	36643.83482	3964.524207
2011	F	6	234	15.76	7.31	0.345945938	0.30326152	139581.2505	127298.8806	25706.47981	11057.55449	1023.531603	5398.381471	28432.61842	4114.347004
2011	C	7	140.5	13.93	6.75	0.111508059	0.09252872	49662.90758	43540.73194	6293.546876	3479.449541		1515.051122	12383.2768	1305.975191
2011	C	8	140.5	17.01	6.96	0.142647961	0.126583234	64747.58519	59565.57751	3903.617008	3063.663088	32.66825397	1069.340125	12854.65241	304.8371647
2011	C	9	180	15.48	7	0.183860225	0.157932862	82681.00342	74317.60011	9844.072313	4739.266373	51.84357693	5653.237828	18320.2844	1355.235016
2011	C	10	179	14.69	11.24	0.181712362	0.162389804	82647.76667	76414.87871	22097.62758	8563.657203	252.3746141	3219.26817	26658.78488	1924.841185
2011	C	11	239.5	15.61	8.51	0.343022343	0.296549362	154536.4202	139545.6055	32569.96067	8381.660811	91.14130958	9767.625835	33280	4983.34594
2011	C	12	241	18.09	9.19	0.3973447	0.354316081	180608.3383	166728.5736	25273.28332	9822.346312	228.134228	7394.167989	38098.62452	1947.174788
