Snr	h	d	d.underbark	h2011	h2010	h2009	h2008	h2007	h2006	h2005	h2004	h2003	h2002
1	16.18	0.1335	0.1235	0.47	0.38	0.35	0.33	0.29	0.31	0.3	0.23	0.33	0.25
2	15.01	0.1435	0.1325	0.49	0.33	0.26	0.23	0.23	0.25	0.32	0.32	0.34	0.23
3	16.63	0.181	0.163	0.38	0.37	0.3	0.23	0.23	0.36	0.32	0.24	0.26	0.29
4	16.03	0.1845	0.165	0.48	0.45	0.4	0.36	0.32	0.32	0.31	0.3	0.35	0.3
5	17.36	0.2395	0.219	0.34	0.28	0.34	0.33	0.23	0.24	0.27	0.29	0.36	0.31
6	15.76	0.234	0.209	0.4	0.36	0.33	0.26	0.2	0.22	0.28	0.24	0.29	0.25
7	13.93	0.1405	0.13	0.21	0.29	0.27	0.25	0.23	0.26	0.3	0.21	0.22	0.18
8	17.01	0.1405	0.131	0.17	0.16	0.27	0.22	0.35	0.35	0.37	0.39	0.35	0.32
9	15.48	0.18	0.1535	0.23	0.24	0.28	0.31	0.24	0.29	0.27	0.23	0.3	0.16
10	14.69	0.179	0.1665	0.32	0.31	0.28	0.27	0.24	0.31	0.26	0.32	0.35	0.23
11	15.61	0.2395	0.2155	0.16	0.1	0.11	0.15	0.16	0.17	0.19	0.21	0.27	0.22
12	18.09	0.241	0.2195	0.24	0.25	0.23	0.23	0.19	0.28	0.23	0.27	0.34	0.37
