Snr	strata	age	plot	area.mm2	rn	dw.g
1	1	0	2	646.2277	20	0.1235
1	1	1	2	628.4406	20	0.1393
1	1	2	2	479.314	20	0.1101
1	1	3	2	506.4893	20	0.1207
1	1	4	2	427.8151	20	0.0956
1	2	0	2	913.4885	21	0.1908
1	2	1	2	802.7074	20	0.2014
1	2	2	2	618.8633	20	0.1429
1	2	3	2	654.7593	20	0.1771
1	2	4	2	596.8245	20	0.1610
1	3	0	2	978.3739	20	0.2458
1	3	1	2	993.5987	20	0.2942
1	3	2	2	762.1092	20	0.2225
1	3	3	2	722.9954	20	0.2259
1	3	4	2	754.5511	20	0.2164
1	4	0	2	1017.9906	20	0.2772
1	4	1	2	1086.7013	20	0.3491
1	4	2	2	911.2721	20	0.2835
1	4	3	2	858.6591	20	0.2792
1	4	4	2	837.4127	20	0.2721
1	5	0	2	1189.0153	20	0.3601
1	5	1	2	1221.2468	20	0.4441
1	5	2	2	1149.9939	20	0.4030
2	1	0	2	934.8796	20	0.1997
2	1	1	2	1106.93	20	0.3106
2	1	2	2	794.9401	20	0.2024
2	1	3	2	752.2704	20	0.2102
2	2	0	2	1018.968	20	0.2342
2	2	1	2	1073.9946	20	0.3130
2	2	2	2	909.8482	20	0.2620
2	2	3	2	898.867	20	0.2509
2	2	4	2	957.747	20	0.3028
2	3	0	2	1244.7377	20	0.3593
2	3	1	2	1259.5321	20	0.3855
2	3	2	2	1063.7455	20	0.3276
2	3	3	2	957.8435	20	0.2928
2	3	4	2	1088.3666	20	0.3784
2	4	0	2	1269.2663	20	0.3598
2	4	1	2	1221.6973	20	0.3674
2	4	2	2	1318.8022	20	0.4414
2	4	3	2	981.62	20	0.3101
2	4	4	2	986.7888	20	0.3367
2	5	0	2	1210.0726	20	0.3800
2	5	1	2	1294.7563	20	0.4082
2	5	2	2	1359.4486	20	0.4759
2	5	3	2	1505.9205	20	0.5794
3	1	0	2	627.5477	20	0.1282
3	1	1	2	678.3507	20	0.1556
3	1	2	2	726.3621	20	0.1739
3	1	3	2	630.0174	20	0.1515
3	1	4	2	365.0052	12	0.0876
3	2	0	2	838.3861	20	0.1928
3	2	1	2	937.6229	20	0.2368
3	2	2	2	925.7649	20	0.2647
3	2	3	2	587.6172	20	0.1515
3	3	0	2	840.5904	20	0.1809
3	3	1	2	760.5807	20	0.1890
3	3	2	2	926.3763	20	0.2439
3	3	3	2	589.8457	20	0.1531
3	4	0	2	1136.9653	20	0.2778
3	4	1	2	1165.629	20	0.3575
3	4	2	2	1348.033	20	0.4264
3	5	0	2	1313.9271	20	0.3712
3	5	1	2	1587.3944	20	0.5122
4	1	0	2	689.4525	20	0.1493
4	1	1	2	643.6494	20	0.1529
4	1	2	2	604.1855	20	0.1339
4	1	3	2	669.795	20	0.1850
4	2	0	2	693.0485	20	0.1580
4	2	1	2	658.9828	20	0.1575
4	2	2	2	641.5859	20	0.1536
4	2	3	2	648.1746	20	0.1731
4	2	4	2	594.1134	20	0.1587
4	3	0	2	873.4655	20	0.2227
4	3	1	2	813.3748	20	0.2251
4	3	2	2	730.9436	20	0.1951
4	3	3	2	723.643	20	0.2183
4	3	4	2	694.4483	20	0.1786
4	4	0	2	1030.3112	20	0.2897
4	4	1	2	972.8753	20	0.2933
4	4	2	2	995.4691	20	0.3105
4	4	3	2	935.7243	20	0.3067
4	5	0	2	1072.0155	20	0.3015
4	5	1	2	1223.5356	20	0.4030
4	5	2	2	1212.1079	20	0.4316
5	1	0	2	742.1018	20	0.1604
5	1	1	2	668.4555	20	0.1630
5	1	2	2	678.3828	20	0.1699
5	1	3	2	571.8534	20	0.1337
5	2	0	2	869.5276	20	0.2266
5	2	1	2	933.6568	20	0.2640
5	2	2	2	608.5861	20	0.1570
5	2	3	2	593.8238	20	0.1571
5	3	0	2	842.5252	20	0.2095
5	3	1	2	861.334	20	0.2409
5	3	2	2	608.8274	20	0.1579
5	3	3	2	569.9267	20	0.1459
