Snr	year	d	h	dd	dh	ba	bai	plot
13	2002	0.103329	13.19	0.001664	0.25	0.00838560370289223	0.000267907180082873	2
14	2002	0.111172	12.24	0.002071	0.23	0.00970690364991039	0.000358287161976964	2
15	2002	0.13762	13.94	0.0024715	0.29	0.0148748634758587	0.000529474088782109	2
16	2002	0.13782	12.74	0.003799	0.3	0.0149181294898839	0.000811099500695139	2
17	2002	0.1861535	14.68	0.0040045	0.31	0.0272165011725723	0.00115835811678059	2
18	2002	0.172341	13.18	0.004148	0.25	0.0233274409389931	0.00110940241986736	2
19	2002	0.112373833333333	11.69	0.002055	0.18	0.00991791251712529	0.000359424455431275	3
20	2002	0.112486	14.38	0.0020435	0.32	0.00993772165522229	0.000357791581037296	3
21	2002	0.1383665	13.09	0.0019285	0.16	0.0150366742860098	0.000416229986290784	3
22	2002	0.1454795	12.03	0.003156	0.23	0.0166223905059847	0.000713382074689586	3
23	2002	0.195092	14.09	0.0033215	0.22	0.0298929518969007	0.00100920820364347	3
24	2002	0.198085	15.83	0.003077	0.37	0.0308171917745152	0.000949976118791995	3
13	2003	0.105494	13.52	0.002165	0.33	0.00874068362235392	0.00035507991946169	2
14	2003	0.113325	12.58	0.002153	0.34	0.0100865196012046	0.000379615951294173	2
15	2003	0.1399565	14.2	0.0023365	0.26	0.0153842393391295	0.000509375863270801	2
16	2003	0.141157	13.09	0.003337	0.35	0.0156492929640703	0.000731163474186346	2
17	2003	0.189829	15.04	0.0036755	0.36	0.028301861491818	0.0010853603192457	2
18	2003	0.1759755	13.47	0.0036345	0.29	0.0243217207070735	0.000994279768080347	2
19	2003	0.114146833333333	11.91	0.001773	0.22	0.0102333450244337	0.000315432507308385	3
20	2003	0.114863	14.73	0.002377	0.35	0.0103621575559407	0.000424435900718436	3
21	2003	0.139886	13.39	0.0015195	0.3	0.0153687443002489	0.00033207001423911	3
22	2003	0.147821	12.38	0.0023415	0.35	0.0171617729997108	0.000539382493726152	3
23	2003	0.1978805	14.36	0.0027885	0.27	0.0307535942016274	0.000860642304726662	3
24	2003	0.200866	16.17	0.002781	0.34	0.0316885774737638	0.000871385699248581	3
13	2004	0.107854	13.75	0.00236	0.23	0.00913613260293419	0.000395448980580264	2
14	2004	0.115311	12.9	0.001986	0.32	0.0104431462060548	0.000356626604850268	2
15	2004	0.1426525	14.44	0.002696	0.24	0.0159826450885821	0.000598405749452656	2
16	2004	0.1446195	13.39	0.0034625	0.3	0.0164264453352337	0.000777152371163447	2
17	2004	0.1932425	15.33	0.0034135	0.29	0.0293288595697971	0.00102699807797911	2
18	2004	0.179549	13.71	0.0035735	0.24	0.0253195429990399	0.000997822291966481	2
19	2004	0.116170833333333	12.12	0.002024	0.21	0.0105994685549672	0.000366123530533521	3
20	2004	0.1169705	15.12	0.0021075	0.39	0.0107458945387185	0.000383736982777759	3
21	2004	0.14194	13.62	0.002054	0.23	0.0158233882094752	0.000454643909226371	3
22	2004	0.1504005	12.7	0.0025795	0.32	0.0177659502438366	0.000604177244125738	3
23	2004	0.201	14.57	0.0031195	0.21	0.0317308711994203	0.00097727699779292	3
24	2004	0.2037915	16.44	0.0029255	0.27	0.0326183518600096	0.000929774386245787	3
13	2005	0.1102015	14.05	0.0023475	0.3	0.00953816636662511	0.000402033763690928	2
14	2005	0.1172955	13.22	0.0019845	0.32	0.0108056919667161	0.000362545760661255	2
15	2005	0.1449305	14.76	0.002278	0.32	0.0164971704791175	0.000514525390535418	2
16	2005	0.147198	13.7	0.0025785	0.31	0.0170174193014927	0.00059097396625905	2
17	2005	0.196202	15.6	0.0029595	0.27	0.0302340788606335	0.000905219290836378	2
18	2005	0.1827505	13.99	0.0032015	0.28	0.0262305277811622	0.000910984782122256	2
19	2005	0.118312333333333	12.42	0.0021415	0.3	0.0109938528666178	0.000394384311650574	3
20	2005	0.1197295	15.49	0.002759	0.37	0.0112588029719355	0.000512908433216969	3
21	2005	0.1441815	13.89	0.0022415	0.27	0.0163270965217892	0.000503708312314007	3
22	2005	0.1531565	12.96	0.002756	0.26	0.018423016775786	0.00065706653194943	3
23	2005	0.2042515	14.76	0.0032515	0.19	0.0327657709224917	0.00103489972307141	3
24	2005	0.20648	16.67	0.0026885	0.23	0.0334846577584644	0.000866305898454829	3
13	2006	0.112328	14.36	0.0021265	0.31	0.00990982383179474	0.000371657465169628	2
14	2006	0.1191945	13.47	0.001899	0.25	0.011158409970062	0.000352718003345876	2
15	2006	0.1470345	15.12	0.002104	0.36	0.016979636141247	0.000482465662129412	2
16	2006	0.149233	14.02	0.002035	0.32	0.017491200600145	0.000473781298652231	2
17	2006	0.1989185	15.84	0.0027165	0.24	0.0310770819252872	0.000843003064653687	2
18	2006	0.185561	14.21	0.0028105	0.22	0.0270435244203495	0.000812996639187255	2
19	2006	0.120183833333333	12.68	0.0018715	0.26	0.0113444118621833	0.000350558995565527	3
20	2006	0.121775	15.84	0.0020455	0.35	0.0116467876656191	0.000387984693683665	3
21	2006	0.146058	14.18	0.0018765	0.29	0.0167548513963547	0.000427754874565481	3
22	2006	0.1555655	13.27	0.002409	0.31	0.0190071262633331	0.000584109487547134	3
23	2006	0.2067175	14.93	0.002466	0.17	0.0335617323408993	0.000795961418407563	3
24	2006	0.208664	16.95	0.002184	0.28	0.0341967582424221	0.000712100483957701	3
13	2007	0.1148815	14.65	0.0025535	0.29	0.0103654957127452	0.000455671880950475	2
14	2007	0.121195	13.7	0.0020005	0.23	0.0115361073143979	0.000377697344335962	2
15	2007	0.149165	15.35	0.0021305	0.23	0.017475264035746	0.000495627894499036	2
16	2007	0.151285	14.34	0.002052	0.32	0.0179755265375147	0.000484325937369676	2
17	2007	0.2019535	16.07	0.003035	0.23	0.0320326338675991	0.000955551942311905	2
18	2007	0.188692	14.41	0.003131	0.2	0.0279638431049562	0.000920318684606777	2
19	2007	0.122172333333333	12.91	0.0019885	0.23	0.0117229150585452	0.000378503196361929	3
20	2007	0.123584	16.19	0.001809	0.35	0.0119953901205423	0.000348602454923221	3
21	2007	0.147556	14.42	0.001498	0.24	0.0171002960330837	0.000345444636728972	3
22	2007	0.15754	13.51	0.0019745	0.24	0.0194926804642738	0.000485554200940708	3
23	2007	0.208487	15.09	0.0017695	0.16	0.0341387677980432	0.000577035457143944	3
24	2007	0.2108585	17.14	0.0021945	0.19	0.0349198288775252	0.000723070635103067	3
13	2008	0.116586	14.98	0.0017045	0.33	0.010675363840374	0.000309868127628777	2
14	2008	0.1226595	13.93	0.0014645	0.23	0.0118165925669387	0.000280485252540819	2
15	2008	0.152118	15.58	0.002953	0.23	0.0181740239059361	0.000698759870190069	2
16	2008	0.15338	14.7	0.002095	0.36	0.0184768251169055	0.000501298579390866	2
17	2008	0.2057595	16.4	0.003806	0.33	0.0332513799271418	0.00121874605954276	2
18	2008	0.193528	14.67	0.004836	0.26	0.0294155855737188	0.00145174246876261	2
19	2008	0.123796833333333	13.16	0.0016245	0.25	0.012036742030777	0.000313826972231776	3
20	2008	0.1256025	16.41	0.0020185	0.22	0.0123904320058889	0.000395041885346581	3
21	2008	0.148975	14.73	0.001419	0.31	0.0174307739001433	0.00033047786705959	3
22	2008	0.1595065	13.78	0.0019665	0.27	0.0199823541826468	0.000489673718372996	3
23	2008	0.2104455	15.24	0.0019585	0.15	0.0347831707343506	0.000644402936307374	3
24	2008	0.212771	17.37	0.0019125	0.23	0.0355561517298118	0.000636322852286625	3
13	2009	0.11844	15.33	0.001854	0.35	0.0110175918255177	0.000342227985143701	2
14	2009	0.1245355	14.19	0.001876	0.26	0.0121808113990647	0.000364218832125937	2
15	2009	0.1556845	15.88	0.0035665	0.3	0.0190362164295576	0.000862192523621578	2
16	2009	0.156395	15.1	0.003015	0.4	0.0192103647158458	0.000733539598940326	2
17	2009	0.2105265	16.74	0.004767	0.34	0.0348099518158376	0.00155857188869575	2
18	2009	0.198694	15	0.005166	0.33	0.0310069741387209	0.00159138856500209	2
19	2009	0.1256595	13.43	0.00186266666666667	0.27	0.0124016804265488	0.000364938395771817	3
20	2009	0.1274545	16.68	0.001852	0.27	0.0127585179375095	0.000368085931620575	3
21	2009	0.150362	15.01	0.001387	0.28	0.0177568558387045	0.000326081938561183	3
22	2009	0.16144	14.06	0.0019335	0.28	0.0204697330582998	0.000487378875653029	3
23	2009	0.212207	15.35	0.0017615	0.11	0.0353679015352659	0.000584730800915277	3
24	2009	0.214775	17.6	0.002004	0.23	0.0362290825915204	0.000672930861708526	3
13	2010	0.120364	15.71	0.001924	0.38	0.0113784499985927	0.000360858173075016	2
14	2010	0.127769	14.52	0.0032335	0.33	0.0128215601129445	0.000640748713879834	2
15	2010	0.159144	16.25	0.0034595	0.37	0.0198916322075655	0.000855415778007858	2
16	2010	0.1599335	15.55	0.0035385	0.45	0.0200894831832846	0.000879118467438759	2
17	2010	0.2149285	17.02	0.004402	0.28	0.0362808870516651	0.00147093523582756	2
18	2010	0.2038395	15.36	0.0051455	0.36	0.0326337191866693	0.0016267450479484	2
19	2010	0.1279335	13.72	0.002274	0.29	0.0128545963639971	0.000452915937448322	3
20	2010	0.1290905	16.84	0.001636	0.16	0.0130881555314214	0.000329637593911912	3
21	2010	0.151823	15.25	0.001461	0.24	0.0181036030684976	0.000346747229793141	3
22	2010	0.163849	14.37	0.002409	0.31	0.0210851877103646	0.000615454652064702	3
23	2010	0.213921	15.45	0.001714	0.1	0.0359415433099187	0.000573641774652793	3
24	2010	0.2170135	17.85	0.0022385	0.25	0.0369882159072006	0.000759133315680241	3
13	2011	0.1235	16.18	0.003136	0.47	0.0119790891376787	0.000600639139086019	2
14	2011	0.1325	15.01	0.004731	0.49	0.0137886465061465	0.000967086393201935	2
15	2011	0.163	16.63	0.003856	0.38	0.0208672438033068	0.000975611595741301	2
16	2011	0.165	16.03	0.0050665	0.48	0.0213824649984955	0.00129298181521093	2
17	2011	0.219	17.36	0.0040715	0.34	0.037668481314705	0.00138759426303987	2
18	2011	0.209	15.76	0.0051605	0.4	0.0343069771753639	0.00167325798869461	2
19	2011	0.13	13.93	0.0020665	0.21	0.0132732289614169	0.000418632597419734	3
20	2011	0.131	17.01	0.0019095	0.17	0.0134782178820636	0.000390062350642203	3
21	2011	0.1535	15.48	0.001677	0.23	0.0185057478755115	0.000402144807013914	3
22	2011	0.1665	14.69	0.002651	0.32	0.0217730042352449	0.000687816524880362	3
23	2011	0.2155	15.61	0.001579	0.16	0.0364740870577183	0.000532543747799666	3
24	2011	0.2195	18.09	0.0024865	0.24	0.0378406798620299	0.000852463954829304	3
1	2002	0.09849	11.58	0.00463	0.24	0.00761858217498082	0.000699460289057582	2
1	2003	0.10236	11.81	0.00387	0.23	0.00822906392070894	0.000610481745728121	2
1	2004	0.10699	12.17	0.00463	0.36	0.00899034289920753	0.000761278978498594	2
1	2005	0.11019	12.51	0.0032	0.34	0.00953617577321284	0.000545832874005304	2
1	2006	0.11333	12.8	0.00314	0.29	0.0100874096733082	0.000551233900095358	2
1	2007	0.11625	13.15	0.00292	0.35	0.0106139198675383	0.000526510194230135	2
1	2008	0.11885	13.61	0.0026	0.46	0.0110940023488967	0.000480082481358324	2
1	2009	0.12177	13.98	0.00292	0.37	0.0116458312666406	0.000551828917743946	2
1	2010	0.12549	14.38	0.00372	0.4	0.0123682461522004	0.00072241488555975	2
1	2011	0.1305	14.81	0.00501	0.43	0.0133755270721994	0.00100728091999904	2
1	2012	0.13492	15.23	0.00442	0.42	0.0142969219541374	0.00092139488193796	2
1	2013	0.13896	15.53	0.00404	0.3	0.0151659455440622	0.000869023589924822	2
1	2014	0.14474	15.7	0.00578	0.17	0.016453830456827	0.00128788491276485	2
1	2015	0.14936	16.05	0.00462	0.35	0.017520983928158	0.00106715347133098	2
1	2016	0.15397	16.36	0.00461	0.31	0.0186192464709624	0.00109826254280443	2
1	2017	0.15788	16.75	0.00391	0.39	0.0195769087624314	0.000957662291468983	2
