plot1	plot2	rep	lay	dep	Bfr_g
3	1	1	O	9	0.099
3	1	1	M5	5	0.139
3	1	1	M10	5	0.065
3	1	1	M20	10	0.122
3	1	1	M30	10	0.041
3	1	1.5	O	9	0.191
3	1	1.5	M5	5	0.253
3	1	1.5	M10	5	0.100
3	1	1.5	M20	10	0.105
3	1	1.5	M30	10	0.016
3	1	2	O	8	0.074
3	1	2	M5	5	0.230
3	1	2	M10	5	0.119
3	1	2	M20	10	0.164
3	1	2	M30	10	0.036
3	1	2.5	O	12	0.172
3	1	2.5	M5	5	0.256
3	1	2.5	M10	5	0.104
3	1	2.5	M20	10	0.018
3	1	2.5	M30	10	0.019
3	1	3	O	12	0.087
3	1	3	M5	5	0.203
3	1	3	M10	5	0.087
3	1	3	M20	10	0.116
3	1	3	M30	8	0.000
3	1	3.5	O	8	0.232
3	1	3.5	M5	5	0.132
3	1	3.5	M10	5	0.163
3	1	3.5	M20	10	0.078
3	1	3.5	M30	10	0.046
3	1	4	O	9	0.015
3	1	4	M5	5	0.147
3	1	4	M10	5	0.126
3	1	4	M20	10	0.172
3	1	4	M30	10	0.006
3	2	1	O	9	0.236
3	2	1	M5	5	0.091
3	2	1	M10	5	0.028
3	2	1	M20	10	0.079
3	2	1	M30	9	0.043
3	2	1.5	O	8	0.014
3	2	1.5	M5	5	0.114
3	2	1.5	M10	5	0.067
3	2	1.5	M20	10	0.056
3	2	1.5	M30	10	0.063
3	2	2	O	9	0.105
3	2	2	M5	5	0.239
3	2	2	M10	5	0.046
3	2	2	M20	10	0.227
3	2	2	M30	10	0.035
3	2	2.5	O	10	0.109
3	2	2.5	M5	5	0.084
3	2	2.5	M10	5	0.104
3	2	2.5	M20	10	0.231
3	2	2.5	M30	10	0.121
3	2	3	O	10	0.226
3	2	3	M5	5	0.322
3	2	3	M10	5	0.220
3	2	3	M20	10	0.085
3	2	3	M30	10	0.090
3	2	3.5	O	11	0.185
3	2	3.5	M5	5	0.182
3	2	3.5	M10	5	0.136
3	2	3.5	M20	10	0.075
3	2	3.5	M30	10	0.059
3	2	4	O	9	0.027
3	2	4	M5	5	0.218
3	2	4	M10	5	0.226
3	2	4	M20	10	0.239
3	2	4	M30	10	0.024
3	3	1	O	9	0.077
3	3	1	M5	5	0.073
3	3	1	M10	5	0.004
3	3	1	M20	10	0.027
3	3	1	M30	8	0.000
3	3	1.5	O	15	0.061
3	3	1.5	M5	5	0.152
3	3	1.5	M10	5	0.137
3	3	1.5	M20	10	0.202
3	3	1.5	M30	7.5	0.022
3	3	2	O	9	0.266
3	3	2	M5	5	0.162
3	3	2	M10	5	0.080
3	3	2	M20	10	0.096
3	3	2	M30	10	0.081
3	3	2.5	O	12	0.153
3	3	2.5	M5	5	0.160
3	3	2.5	M10	5	0.143
3	3	2.5	M20	10	0.069
3	3	2.5	M30	10	0.019
3	3	3	O	9	0.098
3	3	3	M5	5	0.126
3	3	3	M10	5	0.064
3	3	3	M20	10	0.127
3	3	3	M30	10	0.000
3	3	3.5	O	11	0.131
3	3	3.5	M5	5	0.155
3	3	3.5	M10	5	0.058
3	3	3.5	M20	10	0.061
3	3	3.5	M30	10	0.023
3	3	4	O	8	0.043
3	3	4	M5	5	0.048
3	3	4	M10	5	0.062
3	3	4	M20	10	0.102
3	3	4	M30	10	0.055
2	4	1	O	9	0.021
2	4	1	M5	5	0.008
2	4	1	M10	5	0.015
2	4	1	M20	10	0.085
2	4	1	M30	10	0.038
2	4	1.5	O	12	0.046
2	4	1.5	M5	5	0.093
2	4	1.5	M10	5	0.024
2	4	1.5	M20	10	0.057
2	4	1.5	M30	10	0.022
2	4	2	O	10	0.026
2	4	2	M5	5	0.013
2	4	2	M10	5	0.007
2	4	2	M20	10	0.046
2	4	2	M30	9.5	0.097
2	4	2.5	O	15	0.008
2	4	2.5	M5	5	0.015
2	4	2.5	M10	5	0.016
2	4	2.5	M20	10	0.029
2	4	2.5	M30	10	0.027
2	4	3	O	9	0.036
2	4	3	M5	5	0.029
2	4	3	M10	5	0.072
2	4	3	M20	10	0.206
2	4	3	M30	10	0.084
2	4	3.5	O	12	0.048
2	4	3.5	M5	5	0.012
2	4	3.5	M10	5	0.029
2	4	3.5	M20	10	0.070
2	4	3.5	M30	10	0.108
2	4	4	O	9	0.007
2	4	4	M5	5	0.018
2	4	4	M10	5	0.024
2	4	4	M20	10	0.042
2	4	4	M30	10	0.020
2	5	1	O	10	0.035
2	5	1	M5	5	0.010
2	5	1	M10	5	0.008
2	5	1	M20	10	0.036
2	5	1	M30	10	0.003
2	5	1.5	O	13	0.041
2	5	1.5	M5	5	0.031
2	5	1.5	M10	5	0.011
2	5	1.5	M20	10	0.020
2	5	1.5	M30	10	0.000
2	5	2	O	8	0.036
2	5	2	M5	5	0.018
2	5	2	M10	5	0.019
2	5	2	M20	10	0.076
2	5	2	M30	10	0.017
2	5	2.5	O	11	0.038
2	5	2.5	M5	5	0.000
2	5	2.5	M10	5	0.006
2	5	2.5	M20	10	0.013
2	5	2.5	M30	10	0.000
2	5	3	O	8	0.034
2	5	3	M5	5	0.024
2	5	3	M10	5	0.022
2	5	3	M20	10	0.128
2	5	3	M30	10	0.021
2	5	3.5	O	12	0.019
2	5	3.5	M5	5	0.071
2	5	3.5	M10	5	0.059
2	5	3.5	M20	10	0.071
2	5	3.5	M30	10	0.034
2	5	4	O	10	0.056
2	5	4	M5	5	0.054
2	5	4	M10	5	0.064
2	5	4	M20	10	0.105
2	5	4	M30	10	0.063
2	6	1	O	12	0.053
2	6	1	M5	5	0.013
2	6	1	M10	5	0.007
2	6	1	M20	10	0.069
2	6	1	M30	6	0.056
2	6	1.5	O	9	0.149
2	6	1.5	M5	5	0.020
2	6	1.5	M10	5	0.020
2	6	1.5	M20	10	0.060
2	6	1.5	M30	10	0.049
2	6	2	O	8	0.016
2	6	2	M5	5	0.062
2	6	2	M10	5	0.028
2	6	2	M20	10	0.030
2	6	2	M30	5	0.028
2	6	2.5	O	10	0.028
2	6	2.5	M5	5	0.046
2	6	2.5	M10	5	0.023
2	6	2.5	M20	10	0.122
2	6	2.5	M30	8	0.079
2	6	3	O	13	0.014
2	6	3	M5	5	0.036
2	6	3	M10	5	0.068
2	6	3	M20	10	0.141
2	6	3	M30	10	0.101
2	6	3.5	O	11	0.109
2	6	3.5	M5	5	0.032
2	6	3.5	M10	5	0.054
2	6	3.5	M20	10	0.103
2	6	3.5	M30	7.5	0.169
2	6	4	O	10	0.054
2	6	4	M5	5	0.010
2	6	4	M10	5	0.026
2	6	4	M20	10	0.013
2	6	4	M30	8	0.034
