plot	repID	d.cm	RingCount	PathLength	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
C	1	14.0	55	40.692	0.603	0.531	0.411	0.859	1.279	1.408	1.631	1.301	0.996	0.8	0.571	0.343	0.487	0.423	0.715	0.723	0.825	0.569	0.434	0.436	0.495	0.582	0.592	0.595	0.705	0.88	0.952	0.783	0.656	0.778	0.721
C	1	20.7	51	54.9881	0.94	1.341	1.138	1.552	1.403	1.569	1.596	1.62	1	1.004	0.94	0.958	1.255	1.061	1.355	1.805	1.208	0.92	0.988	1.009	0.905	1.405	1.324	0.841	1.384	1.173	0.919	0.998	0.758	0.662	0.586
C	1	27.2	55	83.3176	1.967	2.008	1.456	2.393	2.868	2.269	2.021	1.878	1.122	1.427	1.15	1.604	1.667	1.401	1.697	1.79	1.356	1.161	1.248	1.203	1.3	1.58	1.205	1.15	1.518	1.625	1.545	1.566	1.623	1.347	0.793
C	2	10.6	54	38.1425	1.079	0.72	0.635	0.697	1.153	1.238	1.463	1.259	0.951	0.995	0.76	0.592	0.804	0.762	0.762	0.804	0.72	0.629	0.677	0.698	0.593	0.593	0.55	0.434	0.561	0.656	0.705	0.497	0.381	0.465	0.466
C	2	14.7	56	51.6265	0.889	0.773	0.518	0.698	1.609	1.693	1.566	1.482	1.079	1.185	0.91	0.847	0.974	0.614	1.164	1.058	0.825	0.741	0.549	0.591	0.498	0.559	0.561	0.327	0.403	0.401	0.423	0.317	0.212	0.255	0.232
C	2	25.7	58	65.2647	0.825	0.825	0.677	1.675	2.416	2.28	1.626	1.877	1.557	1.417	1.227	1.312	1.396	1.584	1.308	1.202	1.013	0.803	0.718	0.912	0.839	0.987	0.608	0.566	0.819	0.944	0.864	0.765	0.693	0.73	0.543
C	3	14.0	58	44.6249	0.697	0.759	0.818	0.964	1.272	1.195	1.099	1.228	0.804	0.868	0.995	0.931	0.698	0.571	0.55	1.036	0.867	0.782	0.55	0.519	0.513	0.539	0.667	0.36	0.361	0.612	0.402	0.277	0.202	0.219	0.227
C	3	23.5	49	66.7462	1.625	1.436	1.224	1.785	2.286	1.83	1.541	1.736	1.379	1.324	1.239	1.064	0.924	0.994	1.016	1.206	0.931	0.868	1.016	1.085	0.818	1.185	0.804	0.656	0.889	0.72	0.762	0.656	0.487	0.55	0.506
C	3	25.5	55	67.2356	1.471	0.969	0.906	1.228	1.607	1.316	1.353	1.164	0.931	0.931	0.846	0.684	0.829	0.613	0.667	0.815	0.909	0.885	0.627	0.517	0.656	0.847	0.614	0.466	0.741	0.593	0.719	0.655	0.444	0.444	0.41
C	57	18.1	55	42.9563	0.635	0.677	0.593	0.466	0.423	0.36	0.381	0.55	0.487	0.677	0.846	1.058	1.524	0.995	1.524	1.375	1.015	0.973	0.847	0.847	0.91	1.109	1.333	1.037	1.122	0.804	0.825	0.593	0.423	0.381	0.241
E	54	17.2	58	63.5423	0.994	0.883	0.759	0.78	0.725	0.557	0.575	0.613	0.517	0.688	0.84	0.968	1.059	1.146	1.176	1.077	1.181	0.739	0.613	0.613	0.529	0.834	0.75	0.444	0.254	0.381	0.425	0.433	0.299	0.242	0.233
E	56	17.8	60	56.3447	0.524	0.513	0.466	0.367	0.22	0.404	0.36	0.483	0.427	0.472	0.549	0.466	0.465	0.703	0.637	0.865	0.985	0.921	0.752	0.676	0.739	0.773	0.76	0.46	0.654	0.862	0.636	0.57	0.325	0.478	0.514
E	80	25.5	37	60.8427	2.336	2.255	1.385	1.305	1.266	0.907	0.909	0.867	1.036	1.523	1.29	1.586	2.031	2.199	2.646	2.549	2.352	1.605	1.699	1.52	1.8	2.385	2.043	1.575	1.985	1.684	1.696	1.457	1.503	1.312	0.974
E	82	26.1	47	65.3303	2.132	2.009	0.889	1.101	1.164	0.72	0.55	0.801	0.907	1.375	1.524	1.672	1.904	2.325	2.048	1.713	1.883	1.543	1.5	1.374	1.819	2.283	1.529	1.171	1.081	1.206	0.934	1.022	0.914	0.988	0.59
E	88	28.0	49	60.0893	1.952	1.262	1.016	1.298	0.923	0.751	0.668	0.804	0.72	0.973	1.248	1.247	1.651	1.417	1.895	1.595	1.193	1.296	1.298	1.256	1.157	1.419	1.103	0.865	1.151	1.099	0.842	0.671	0.504	0.652	0.57
F	1	12.3	64	45.7905	0.402	0.529	0.452	0.329	0.34	0.254	0.182	0.263	0.317	0.381	0.508	0.531	0.506	0.762	0.762	0.974	1.185	1.249	1.46	1.736	1.692	1.863	0.844	0.381	0.593	0.529	0.508	0.296	0.233	0.4	0.22
F	1	18.2	50	65.5565	1.08	0.945	0.698	0.466	0.973	0.65	0.555	0.655	0.55	0.783	0.825	0.867	1.332	1.354	1.46	1.672	1.269	2.051	2.213	2.891	3.85	3.929	2.41	1.486	2.368	2.035	1.736	0.974	1.482	2.022	1.286
F	1	30.3	34	79.375	2.368	1.736	1.228	1.354	1.375	0.994	0.952	1.1	1.269	1.46	1.65	1.312	1.99	1.608	1.883	1.63	1.609	2.091	3.131	3.259	4.039	4.847	3.955	3.985	4.052	3.339	2.623	3.109	3.958	4.417	2.815
F	2	16.0	55	47.6059	0.671	0.669	0.542	0.419	0.516	0.302	0.208	0.603	0.521	0.686	0.567	0.585	0.815	0.795	0.879	1.046	1.002	1.065	1.399	2.131	2.084	2.128	1.19	0.397	0.693	0.901	1.067	0.61	0.358	0.624	0.621
F	2	18.5	58	53.1488	0.898	0.82	0.683	0.381	0.529	0.339	0.36	0.571	0.691	0.786	0.953	0.804	1.101	0.91	1.27	1.297	0.777	0.947	1.219	1.749	1.723	1.326	0.79	0.2	0.269	0.612	0.571	0.36	0.199	0.246	0.275
F	2	28.0	49	61.2615	1.37	1.079	0.953	0.819	0.713	0.551	0.378	0.723	0.804	0.766	0.741	0.913	0.873	1.105	0.911	0.996	0.77	1.257	1.014	1.472	2.014	2.088	1.695	1.244	1.795	1.716	1.885	2.008	2.522	2.042	1.038
F	3	16.7	68	69.5974	0.257	0.413	0.388	0.395	0.556	0.656	0.783	0.677	0.889	0.995	0.995	1.312	1.736	1.696	1.641	1.255	1.185	0.995	0.952	1.724	1.804	2.118	1.375	0.631	1.25	1.48	1.16	0.882	0.847	1.079	0.805
F	3	20.2	50	64.7459	1.238	1.213	0.726	1.042	0.834	0.444	0.557	0.764	1.001	1.068	1.279	1.505	1.771	1.729	1.755	1.51	1.17	0.984	0.766	1.045	1.778	2.313	1.959	0.244	0.309	0.695	0.888	0.721	0.692	0.653	0.457
F	3	25.5	51	78.7512	0.751	1.691	1.211	1.579	1.5	0.856	0.743	0.802	1.044	1.164	1.035	1.433	1.646	1.906	1.938	1.797	1.269	1.417	1.039	1.711	2.262	2.518	2.138	1.395	2.177	2.106	1.55	1.416	1.194	1.422	0.907
N	3	19.0	49	55.0077	1.86	1.5	1.162	0.951	1.118	0.776	1.048	1.286	1.182	1.33	1.435	1.453	1.688	1.65	1.184	1.438	1.475	0.994	0.845	0.85	0.835	0.649	0.74	0.798	1.008	0.846	0.691	0.488	0.378	0.445	0.509
N	35	11.1	57	46.5744	0.772	1.441	1.213	0.985	0.798	0.78	0.474	0.473	0.404	0.439	0.334	0.313	0.258	0.294	0.309	0.533	0.581	0.694	0.581	0.497	0.528	0.426	0.584	0.395	0.225	0.118	0.083	0.124	0.115	0.144	0.152
