Snr	plot	strata	age	Df
1	2	1	0	121.9955303
1	2	1	1	152.1987858
1	2	1	2	111.7682804
1	2	1	3	67.33532408
1	2	1	4	12.23780541
1	2	2	0	334.6926485
1	2	2	1	459.1599471
1	2	2	2	295.1556375
1	2	2	3	242.5995828
1	2	2	4	63.38973452
1	2	3	0	534.214127
1	2	3	1	421.3577188
1	2	3	2	283.2059565
1	2	3	3	217.5777543
1	2	3	4	43.50448427
1	2	4	0	282.328856
1	2	4	1	204.8226693
1	2	4	2	123.3503202
1	2	4	3	79.67196087
1	2	4	4	9.036911673
1	2	5	0	200.350781
1	2	5	1	108.0193297
1	2	5	2	49.59158692
2	2	1	0	188.8330652
2	2	1	1	194.2673495
2	2	1	2	153.2249621
2	2	1	3	68.66798203
2	2	2	0	525.181309
2	2	2	1	749.4639409
2	2	2	2	513.1785379
2	2	2	3	174.4857944
2	2	2	4	7.799748755
2	2	3	0	721.7557671
2	2	3	1	573.3932539
2	2	3	2	273.184325
2	2	3	3	135.8985289
2	2	3	4	11.80738993
2	2	4	0	599.0469075
2	2	4	1	473.6702486
2	2	4	2	160.7159158
2	2	4	3	69.94970844
2	2	4	4	22.33746688
2	2	5	0	218.927101
2	2	5	1	111.5130738
2	2	5	2	65.72118676
2	2	5	3	4.723086467
3	2	1	0	103.6191447
3	2	1	1	137.2877874
3	2	1	2	82.27448103
3	2	1	3	18.73182334
3	2	1	4	0.414330211
3	2	2	0	415.1000329
3	2	2	1	593.3406507
3	2	2	2	323.9964243
3	2	2	3	16.02626522
3	2	3	0	790.8464599
3	2	3	1	1017.649388
3	2	3	2	475.5582566
3	2	3	3	22.72947525
3	2	4	0	619.494643
3	2	4	1	587.1844897
3	2	4	2	79.80152506
3	2	5	0	308.4932097
3	2	5	1	216.5961236
4	2	1	0	330.0510152
4	2	1	1	351.2816533
4	2	1	2	276.907605
4	2	1	3	29.58830569
4	2	2	0	581.114387
4	2	2	1	1081.265884
4	2	2	2	1104.748599
4	2	2	3	167.0230733
4	2	2	4	4.926330553
4	2	3	0	932.8853851
4	2	3	1	1334.10605
4	2	3	2	903.4932986
4	2	3	3	95.56236283
4	2	3	4	2.536798421
4	2	4	0	1528.272483
4	2	4	1	1444.166433
4	2	4	2	830.0399421
4	2	4	3	80.89485713
4	2	5	0	459.8965554
4	2	5	1	325.648038
4	2	5	2	107.4403697
5	2	1	0	1028.349046
5	2	1	1	1328.507576
5	2	1	2	404.1970953
5	2	1	3	13.11939317
5	2	2	0	1573.508759
5	2	2	1	1839.080251
5	2	2	2	252.576408
5	2	2	3	12.73020475
5	2	3	0	1169.551898
5	2	3	1	1354.192385
5	2	3	2	148.2024322
5	2	3	3	11.27940185
5	2	4	0	1019.169566
5	2	4	1	766.6051676
5	2	4	2	36.02038339
5	2	5	0	511.526442
5	2	5	1	370.4408894
5	2	5	2	2.579543757
6	2	1	0	382.7175818
6	2	1	1	508.702359
6	2	1	2	215.1146535
6	2	1	3	206.8506793
6	2	1	4	5.771593157
6	2	2	0	986.2644022
6	2	2	1	2015.475079
6	2	2	2	669.3504301
6	2	2	3	89.08901376
