Snr	strata	Df1	Df01	Df11	Df21	Df31	Df2	Df02	Df12	Df22	Df32	Bf	f0	f1	f2	f3	rf0	rf1	rf2	rf3
1	1	27.306	13.929	9.999	2.793	0	6.679	3.456	2.409	0	0	325.499	17.385	12.408	2.793	1.399	0.0534103023357983	0.0381199327801314	0.00858067152280038	0.0042980162765477
1	2	43.207	26.91	13.43	1.18	0	24.192	14.016	7.255	2.443	0	325.499	40.926	20.685	3.623	2.16499999999999	0.12573310517083	0.0635485823305141	0.0111306025517744	0.00665132611774535
1	3	22.385	14.635	5.569	1.874	0	36.585	19.997	10.454	5.756	0	325.499	34.632	16.023	7.63	0.684999999999995	0.106396640235454	0.0492259576834337	0.0234409322302065	0.00210446115041827
1	4	66.323	44.27	19.872	1.21	0	33.234	22.014	9.02	1.53	0	325.499	66.284	28.892	2.74	1.64099999999999	0.203638106415074	0.0887621774567664	0.00841784460167313	0.00504149014282683
1	5	22.992	10.743	11.491	0.47	0	42.596	19.903	21.94	0	0	325.499	30.646	33.431	0.47	1.04100000000001	0.0941508268842608	0.102706920758589	0.00144393684773225	0.00319816650742402
10	1	47.365	15.133	13.537	11.491	2.52	188.908	74.653	58.21	38.132	13.193	888.77	89.786	71.747	49.623	25.117	0.10102276179439	0.0807261721255218	0.0558333427095874	0.0282604048291459
10	2	92.159	41.621	25.896	19.567	3.82	91.078	38.679	28.395	19.019	3.663	888.77	80.3	54.291	38.586	10.0599999999999	0.0903495842568944	0.0610855451916694	0.0434150567638422	0.0113190139181115
10	3	132.188	63.497	42.891	21.752	2.485	142.176	63.379	42.589	28.964	6.148	888.77	126.876	85.48	50.716	11.292	0.142754593426871	0.0961778637892818	0.0570631321939309	0.0127051993204091
10	4	57.165	26.684	18.277	8.793	1.86	82.291	35.036	28.607	14.435	1.465	888.77	61.72	46.884	23.228	7.62400000000002	0.0694442881735432	0.0527515555205509	0.0261349955556556	0.00857814732720504
10	5	32.369	16.456	9.913	5.316	0	23.071	12.402	7.795	1.937	0	888.77	28.858	17.708	7.253	1.621	0.0324695928080381	0.0199241648570496	0.00816071649583132	0.00182386894247106
11	1	67.748	30.73	19.57	14.646	1.308	22.794	11.229	6.668	3.151	1.626	501.943	41.959	26.238	17.797	4.548	0.0835931569919294	0.0522728676363651	0.0354562171401932	0.00906078977095009
11	2	65.375	29.024	20.133	11.871	3.705	44.708	19.229	14.353	8.003	2.704	501.943	48.253	34.486	19.874	7.47	0.0961324293794315	0.0687050123221162	0.0395941371829072	0.0148821678955579
