yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	11	1	2005	8	19	3	1	1	1	153	62	22	16	172.493478137581	0	0	0	0	0	0
1471	11	1	2005	8	19	9	1	1	1	141	70	18	18	157.480157480236	0	0	0	0	0	0
1471	11	1	2005	8	19	15	1	1	1	133	76	14	16	143.968746608422	0	0	0	0	0	0
1471	11	1	2005	8	19	21	1	1	1	173	87	18	18	169.481562419043	0	0	0	0	0	0
1471	11	1	2005	8	19	27	1	1	1	121	66	16	16	119.323090808108	0	0	0	0	0	0
1471	11	1	2005	8	19	33	1	1	1	150	65	16	22	182.482875908947	0	0	0	0	0	0
1471	11	1	2005	8	19	39	1	1	1	109	61	10	10	95.9791644056146	0	0	0	0	0	0
1471	11	1	2005	8	19	45	1	1	1	152	87	20	22	197.83831782544	0	0	0	0	0	0
1471	11	1	2005	8	19	51	1	1	1	162	83	16	16	192.989637027484	0	0	0	0	0	0
1471	11	1	2005	8	19	56	1	1	3	169	66	22	18	227.49505489131	0	0	0	0	0	0
1471	11	1	2005	8	19	58	1	1	1	133	60	16	16	152.459830775191	0	0	0	0	0	0
1471	11	1	2005	8	19	63	1	1	3	143	57	18	18	227	0	0	0	0	0	0
1471	11	1	2005	8	19	66	1	1	1	136	65	20	20	161.996913550845	0	0	0	0	0	0
1471	11	1	2005	8	19	68	1	1	3	183	79	26	22	246.276267634541	0	0	0	0	0	0
1471	11	1	2005	8	19	71	1	1	3	176	83	20	18	248.499496981382	0	0	0	0	0	0
1471	11	1	2005	8	19	72	1	1	3	186	107	20	18	218.37124352808	0	0	0	0	0	0
1471	11	1	2005	8	19	75	1	1	1	154	99	16	16	153.987012439361	0	0	0	0	0	0
1471	11	2	2008	5	9	1	1	1	1	191	87	27	28	207.470479827854	0	0	0	0	0	0
1471	11	2	2008	5	9	3	1	1	1	157	65	15	17	175.499287747842	0	0	0	0	0	0
1471	11	2	2008	5	9	4	1	1	3	174	92	26	25	223.499440715184	0	0	0	0	0	0
1471	11	2	2008	5	9	9	1	1	1	143	87	22	18	159.499216299015	0	0	0	0	0	0
1471	11	2	2008	5	9	15	1	1	1	139	76	15	16	148	0	0	0	0	0	0
1471	11	2	2008	5	9	21	1	1	1	177	87	16	18	172.953751043451	0	0	0	0	0	0
1471	11	2	2008	5	9	33	1	1	1	152	65	22	22	187.483332592527	0	0	0	0	0	0
1471	11	2	2008	5	9	39	1	1	1	112	65	8	7	97.9795897113271	0	0	0	0	0	0
