year	plot	needle.m	needle.sd	cone.m	cone.sd	twig.m	twig.sd	bark.m	bark.sd	mis.m	mis.sd	sum.m	sum.sd
2006	2	104.2181818	23.03622444	17.81818182	18.5302897	10.50909091	13.84033631	14.25454545	4.600079051	7.490909091	1.868397466	154.2909091	36.04712068
2006	3	112.04	33.09377921	13.56	15.20052631	13.96	13.49165998	13.64	4.527250821	10.16	2.101428086	163.36	42.26107218
2007	2	66.48	14.21585969	16.44	19.65158744	12.72	27.7505075	11.48	3.341589775	7.96	1.604992212	115.08	43.39054685
2007	3	93.63636364	21.72957766	9.709090909	16.54771613	7.163636364	9.495185383	11.01818182	3.161587633	8.654545455	1.680692498	130.1818182	34.45547324
2008	2	98.76363636	19.1887088	37.96363636	30.18580039	3.745454545	4.617437306	18.21818182	4.561977243	18.58181818	4.372143223	177.2727273	42.39313838
2008	3	92.36363636	26.21111492	14.18181818	16.1565973	5.818181818	5.044961483	21.09090909	6.55094719	14.61818182	4.537360065	148.0727273	42.59420362
2009	2	107.5636364	23.68219892	24.69090909	21.0432628	3.381818182	3.614918583	10.58181818	6.817304186	13.34545455	4.207698572	159.5636364	44.19102336
2009	3	102.7272727	29.42478856	17.27272727	18.05575204	11.45454545	14.02429062	9.818181818	5.237903814	8.218181818	2.200826291	149.4909091	48.29313522
2010	2	169.2363636	42.39979417	10.76363636	11.74455386	4.872727273	11.22400026	12.54545455	5.441390197	20.83636364	4.357814298	218.2545455	54.61260594
2010	3	93.38181818	36.08095947	8.654545455	8.834971832	1.890909091	2.016657901	12.07272727	4.698316913	9.636363636	1.930426236	125.6363636	43.15162274
2011	2	178.24	49.72464625	8.96	10.15296344	15.4	18.98420396	15.52	3.434724637	27.64	5.479497138	245.76	62.5869564
2011	3	79.32	19.91542116	8.12	11.74401029	10.92	16.03335412	15.2	5.523284047	11.2	2.444040371	124.76	42.05454659
2012	2	208.2	54.59190009	15.28	17.05186858	6.96	10.66699999	11.48	5.122672913	19.44	5.581556931	261.36	64.96719172
2012	3	110.2181818	24.83826959	9.636363636	13.13980766	4.981818182	7.479815263	9.745454545	4.512286258	9.418181818	2.258237446	144	41.94663276
2013	2	272.52	33.6882703	54.24	43.52805481	10.52	11.75157673	20.12	4.588100551	21.6	4.414118762	379	74.38428747
2013	3	123.6	28.27861383	30.18181818	37.23497867	20.07272727	17.83283998	21.41818182	7.954598441	12.14545455	1.937195724	207.4181818	78.6431665
2014	2	194.872	29.2678469	68.98	44.90679434	19.084	17.47671416	15.556	3.678040541	23.54	3.886352189	322.032	65.46261712
2014	3	147.2109091	37.56763326	20.50181818	16.16697239	13.17818182	12.31644577	23.62909091	7.236421014	16.87272727	4.021455187	221.3927273	55.81886081
2015	2	182.9309091	22.66574572	43.14181818	17.56555141	18.28	20.58348853	16.13454545	4.450160365	26.16363636	4.747022799	286.6509091	50.64611366
2015	3	98.96727273	19.58473543	10.48363636	12.10037295	11.89818182	8.909022189	16.60363636	4.835616347	16.30909091	3.898680429	154.2618182	40.07035957
2016	2	158.0256	16.34132945	74.81512727	40.56126797	13.37021818	10.57534127	19.02567273	4.647067317	13.92596364	1.822028184	279.1625818	49.60073493
2016	3	105.5346182	22.84341358	22.03356364	18.54250094	9.811054545	9.844221093	20.52545455	4.137033412	7.921418182	1.826087922	165.8261091	41.43148791
2017	2	140.3555556	31.42702305	77.41662222	46.4026269	35.70817778	78.94552222	15.07497778	7.494240298	20.36595556	5.740479846	288.9212889	126.7166383
2017	3	123.6	15.51515388	44.21524444	65.06771402	15.48333333	29.01214139	16.50364444	4.748312169	13.13777778	3.439951058	212.94	72.74840629
2018	2	201.56	26.73406217	50.24	37.55397609	30.90909091	28.04903187	23.92	8.251739211	24.76	5.161705145	331.3890909	88.0891877
2018	3	117.3563636	24.47863038	15.12363636	16.17328617	18.26181818	16.19006474	21.85818182	11.00365559	14.88363636	3.367346946	187.4836364	58.11312128
2019	2	109.0470182	20.60489933	41.09981818	29.83160557	14.69621818	20.94373498	16.17014545	8.235791231	24.06105455	3.006965196	205.0742545	46.14934571
2019	3	83.71429091	16.58036174	9.645636364	12.00328402	16.514	28.11059629	11.52527273	4.067051649	10.47814545	1.967821718	131.8773455	37.21485404
