age	trt	strata	Snr	area.cm	dw.g	sla
0	F	1	2018-R2-B1-3	13.2275	0.33	40.08333
0	F	1	2018-R2-B1-4	29.0175	0.6	48.36250
0	F	1	2018-R2-B1-5	25.75625	0.46	55.99185
0	F	3	2018-R2-M1-3	56.825	1.13	50.28761
0	F	3	2018-R2-M1-4	56.22875	1.43	39.32080
0	F	3	2018-R2-M1-5	27.2125	0.51	53.35784
0	F	5	2018-R2-T1-3	44.615	1.17	38.13248
0	F	5	2018-R2-T1-4	47.97375	1.58	30.36313
0	F	5	2018-R2-T1-5	43.93125	1.23	35.71646
1	F	1	2017-R2-B1-3	22.85	0.57	40.08772
1	F	1	2017-R2-B1-4	23.3775	0.6	38.96250
1	F	1	2017-R2-B1-5	33.99125	0.43	79.04942
1	F	3	2017-R2-M1-3	60.74875	1.84	33.01563
1	F	3	2017-R2-M1-4	81.08875	2.24	36.20033
1	F	3	2017-R2-M1-5	29.56875	0.62	47.69153
1	F	5	2017-R2-T1-3	81.435	1.82	44.74451
1	F	5	2017-R2-T1-4	55.33875	1.93	28.67293
1	F	5	2017-R2-T1-5	51.00375	1.58	32.28085
2	F	1	2016-R2-B1-4	26.00125	0.54	48.15046
2	F	1	2016-R2-B1-5	44.375	0.71	62.50000
2	F	3	2016-R2-M1-3	22.47625	0.7	32.10893
2	F	3	2016-R2-M1-4	48.68	1.46	33.34247
2	F	3	2016-R2-M1-5	88.41875	1.69	52.31879
2	F	5	2016-R2-T1-3	60.81	2.11	28.81991
2	F	5	2016-R2-T1-4	35.815	1.33	26.92857
2	F	5	2016-R2-T1-5	47.23625	1.35	34.98981
2	F	1	2016-R2-B1-3	15.55625	0.38	40.93750
0	C	1	2018-R3-B1-1	7.84375	0.2	39.21875
0	C	1	2018-R3-B1-3	18.54625	0.49	37.84949
0	C	1	2018-R3-B1-5	12.94	0.24	53.91667
0	C	3	2018-R3-M1-1	32.85125	1.17	28.07799
0	C	3	2018-R3-M1-5	56.5775	1.12	50.51563
0	C	5	2018-R3-T1-1	69.79625	1.96	35.61033
0	C	5	2018-R3-T1-3	35.75875	1.09	32.80619
0	C	5	2018-R3-T1-5	62.22375	2.15	28.94128
0	C	5	2018-R3-T1-5	72.24	2.15	33.60000
0	C	5	2018-R3-T2-5	67.0425	2.19	30.61301
1	C	1	2017-R3-B1-1	10.135	0.35	28.95714
1	C	1	2017-R3-B1-3	7.175	0.45	15.94444
1	C	3	2017-R3-M1-1	22.89375	0.73	31.36130
1	C	3	2017-R3-M1-5	38.86375	0.94	41.34441
1	C	5	2017-R3-T1-3	19.70875	1.03	19.13471
1	C	5	2017-R3-T1-5	22.73375	0.98	23.19770
1	C	5	2017-R3-T2-5	45.60875	1.16	39.31789
2	C	1	2016-R3-B1-1	31.36875	0.77	40.73864
2	C	1	2016-R3-B1-3	6.6675	0.35	19.05000
2	C	1	2016-R3-B1-5	30.76875	0.6	51.28125
2	C	3	2016-R3-M1-1	33.8975	1.05	32.28333
2	C	3	2016-R3-M1-5	56.13875	1.51	37.17798
2	C	5	2016-R3-T1-1	68.02875	2.05	33.18476
2	C	5	2016-R3-T1-3	41.07125	1.5	27.38083
2	C	5	2016-R3-T1-5	30.3975	1.29	23.56395
