lab_id	old_id	sample	type	label	layer	dw.g	N.cont	C.cont
60	5	C-B2	litter	CB2-S1-L	M	0.120	0.0054	0.4362
131	4	C-B2	mineral	CB2-S1-M	M	171.016	0.0010	0.0239
61	7	C-B2	litter	CB2-S2-L	M	0.030	0.0025	0.3189
132	6	C-B2	mineral	CB2-S2-M	M	233.236	0.0003	0.0058
28	2	C-B2	humus	CB2-B-H	O	26.520	0.0088	0.4287
59	3	C-B2	litter	CB2-B-L	O	14.520	0.0064	0.4648
4	1	C-B2	vegetation	CB2-G	O	2.070	0.0073	0.4795
63	12	C-B3	litter	CB3-S1-L	M	0.260	0.0041	0.4596
133	11	C-B3	mineral	CB3-S1-M	M	187.215	0.0007	0.0214
64	14	C-B3	litter	CB3-S2-L	M	0.940	0.0042	0.4431
134	13	C-B3	mineral	CB3-S2-M	M	241.285	0.0003	0.0057
29	9	C-B3	humus	CB3-B-H	O	27.120	0.0102	0.4740
62	10	C-B3	litter	CB3-B-L	O	14.080	0.0080	0.4856
66	19	C-B4	litter	CB4-S1-L	M	0.290	0.0038	0.5278
135	18	C-B4	mineral	CB4-S1-M	M	180.495	0.0005	0.0161
67	21	C-B4	litter	CB4-S2-L	M	0.170	0.0022	0.3090
136	20	C-B4	mineral	CB4-S2-M	M	247.245	0.0002	0.0041
30	16	C-B4	humus	CB4-B-H	O	31.980	0.0088	0.4621
65	17	C-B4	litter	CB4-B-L	O	28.110	0.0072	0.4664
5	15	C-B4	vegetation	CB4-G	O	4.320	0.0076	0.4799
84	61	C-C4.1	litter	CC4-S1-L	M	0.410	0.0037	0.4327
147	60	C-C4.1	mineral	CC4-S1-M	M	197.136	0.0007	0.0228
85	63	C-C4.1	litter	CC4-S2-L	M	0.770	0.0020	0.2381
148	62	C-C4.1	mineral	CC4-S2-M	M	243.686	0.0003	0.0052
69	26	C-C2	litter	CC2-S1-L	M	0.400	0.0034	0.4135
137	25	C-C2	mineral	CC2-S1-M	M	169.296	0.0009	0.0272
70	28	C-C2	litter	CC2-S2-L	M	0.140	0.0032	0.3314
138	27	C-C2	mineral	CC2-S2-M	M	258.106	0.0003	0.0047
31	23	C-C2	humus	CC2-B-H	O	28.650	0.0097	0.4764
68	24	C-C2	litter	CC2-B-L	O	13.230	0.0072	0.4950
6	22	C-C2	vegetation	CC2-G	O	1.120	0.0066	0.4801
72	33	C-C3	litter	CC3-S1-L	M	0.320	0.0049	0.4788
139	32	C-C3	mineral	CC3-S1-M	M	194.896	0.0007	0.0200
73	35	C-C3	litter	CC3-S2-L	M	0.980	0.0031	0.4192
140	34	C-C3	mineral	CC3-S2-M	M	238.006	0.0003	0.0106
32	30	C-C3	humus	CC3-B-H	O	19.140	0.0110	0.5060
71	31	C-C3	litter	CC3-B-L	O	14.080	0.0084	0.4779
7	29	C-C3	vegetation	CC3-G	O	2.340	0.0073	0.4847
75	40	C-C4	litter	CC4-S1-L	M	0.600	0.0033	0.4092
141	39	C-C4	mineral	CC4-S1-M	M	180.226	0.0005	0.0227
76	42	C-C4	litter	CC4-S2-L	M	0.300	0.0029	0.3260
142	41	C-C4	mineral	CC4-S2-M	M	251.336	0.0003	0.0056
33	37	C-C4	humus	CC4-B-H	O	21.500	0.0112	0.5042
74	38	C-C4	litter	CC4-B-L	O	17.180	0.0077	0.5097
8	36	C-C4	vegetation	CC4-G	O	2.570	0.0065	0.4659
78	47	C-D2	litter	CD2-S1-L	M	0.270	0.0051	0.4776
143	46	C-D2	mineral	CD2-S1-M	M	220.095	0.0005	0.0140
79	49	C-D2	litter	CD2-S2-L	M	0.001	0.0030	0.4122
144	48	C-D2	mineral	CD2-S2-M	M	269.245	0.0002	0.0032
34	44	C-D2	humus	CD2-B-H	O	25.950	0.0092	0.3869
77	45	C-D2	litter	CD2-B-L	O	10.430	0.0082	0.5078
9	43	C-D2	vegetation	CD2-G	O	1.410	0.0080	0.5103
81	54	C-D3	litter	CD3-S1-L	M	0.730	0.0051	0.4857
145	53	C-D3	mineral	CD3-S1-M	M	192.855	0.0006	0.0200
82	56	C-D3	litter	CD3-S2-L	M	0.170	0.0054	0.3794
146	55	C-D3	mineral	CD3-S2-M	M	222.865	0.0003	0.0055
35	51	C-D3	humus	CD3-B-H	O	14.950	0.0084	0.4192
80	52	C-D3	litter	CD3-B-L	O	7.340	0.0060	0.4775
10	50	C-D3	vegetation	CD3-G	O	0.650	0.0065	0.4789
36	58	C-D4	humus	CD4-B-H	O	36.910	0.0083	0.4558
83	59	C-D4	litter	CD4-B-L	O	15.180	0.0058	0.4612
11	57	C-D4	vegetation	CD4-G	O	0.500	0.0098	0.5075
25	65	C-S1	humus	CS1-B-H	O	12.130	0.0107	0.3886
50	66	C-S1	litter	CS1-B-L	O	6.710	0.0067	0.4643
1	64	C-S1	vegetation	CS1-G	O	0.060	0.0074	0.4552
51	68	C-S1	litter	CS1-S1-L	M	0.340	0.0041	0.3760
125	67	C-S1	mineral	CS1-S1-M	M	205.306	0.0006	0.0137
52	70	C-S2.1	litter	CS2-S2-L	M	0.340	0.0032	0.3084
126	69	C-S2.1	mineral	CS2-S2-M	M	259.096	0.0002	0.0036
26	72	C-S2	humus	CS2-B-H	O	29.870	0.0112	0.4878
53	73	C-S2	litter	CS2-B-L	O	14.200	0.0070	0.5030
2	71	C-S2	vegetation	CS2-G	O	3.150	0.0087	0.4901
54	75	C-S2	litter	CS2-S1-L	M	0.640	0.0039	0.3824
127	74	C-S2	mineral	CS2-S1-M	M	202.056	0.0006	0.0172
55	77	C-S2	litter	CS2-S2-L	M	0.240	0.0038	0.3840
128	76	C-S2	mineral	CS2-S2-M	M	238.596	0.0003	0.0067
57	82	C-S3	litter	CS3-S1-L	M	0.720	0.0035	0.3933
129	81	C-S3	mineral	CS3-S1-M	M	214.946	0.0006	0.0159
58	84	C-S3	litter	CS3-S2-L	M	0.360	0.0018	0.1756
130	83	C-S3	mineral	CS3-S2-M	M	271.666	0.0002	0.0039
27	79	C-S3	humus	CS3-B-H	O	24.930	0.0111	0.4178
56	80	C-S3	litter	CS3-B-L	O	7.290	0.0084	0.4609
3	78	C-S3	vegetation	CS3-G	O	0.720	0.0068	0.4501
99	89	F-B2	litter	FB2-S1-L	M	1.040	0.0051	0.3588
157	88	F-B2	mineral	FB2-S1-M	M	219.586	0.0006	0.0290
100	91	F-B2	litter	FB2-S2-L	M	0.280	0.0050	0.2816
158	90	F-B2	mineral	FB2-S2-M	M	262.036	0.0003	0.0072
41	86	F-B2	humus	FB2-B-H	O	35.720	0.0139	0.4994
98	87	F-B2	litter	FB2-B-L	O	12.930	0.0121	0.4992
16	85	F-B2	vegetation	FB2-G	O	0.410	0.0193	0.4764
102	96	F-B3	litter	FB3-S1-L	M	0.710	0.0059	0.4354
159	95	F-B3	mineral	FB3-S1-M	M	210.456	0.0007	0.0269
103	98	F-B3	litter	FB3-S2-L	M	0.770	0.0050	0.3799
160	97	F-B3	mineral	FB3-S2-M	M	215.796	0.0006	0.0189
42	93	F-B3	humus	FB3-B-H	O	28.660	0.0151	0.5176
101	94	F-B3	litter	FB3-B-L	O	13.720	0.0125	0.5073
17	92	F-B3	vegetation	FB3-G	O	1.890	0.0135	0.4855
105	103	F-B4	litter	FB4-S1-L	M	0.870	0.0060	0.3243
161	102	F-B4	mineral	FB4-S1-M	M	149.766	0.0010	0.0248
106	105	F-B4	litter	FB4-S2-L	M	0.120	0.0050	0.3334
162	104	F-B4	mineral	FB4-S2-M	M	225.766	0.0005	0.0087
43	100	F-B4	humus	FB4-B-H	O	19.690	0.0142	0.4918
104	101	F-B4	litter	FB4-B-L	O	16.630	0.0091	0.5058
18	99	F-B4	vegetation	FB4-G	O	1.070	0.0136	0.5094
108	110	F-C2	litter	FC2-S1-L	M	0.450	0.0083	0.4004
163	109	F-C2	mineral	FC2-S1-M	M	179.946	0.0009	0.0242
109	112	F-C2	litter	FC2-S2-L	M	1.060	0.0070	0.4093
164	111	F-C2	mineral	FC2-S2-M	M	231.436	0.0004	0.0074
44	107	F-C2	humus	FC2-B-H	O	34.470	0.0123	0.5146
107	108	F-C2	litter	FC2-B-L	O	10.260	0.0116	0.4984
19	106	F-C2	vegetation	FC2-G	O	3.100	0.0138	0.4921
111	117	F-C3	litter	FC3-S1-L	M	0.001	0.0059	0.4052
165	116	F-C3	mineral	FC3-S1-M	M	201.476	0.0009	0.0226
112	119	F-C3	litter	FC3-S2-L	M	0.350	0.0042	0.4020
166	118	F-C3	mineral	FC3-S2-M	M	236.506	0.0003	0.0048
45	114	F-C3	humus	FC3-B-H	O	29.910	0.0135	0.4789
110	115	F-C3	litter	FC3-B-L	O	21.930	0.0112	0.5133
20	113	F-C3	vegetation	FC3-G	O	3.020	0.0131	0.4980
114	124	F-C4	litter	FC4-S1-L	M	1.000	0.0049	0.3937
167	123	F-C4	mineral	FC4-S1-M	M	164.976	0.0008	0.0198
115	126	F-C4	litter	FC4-S2-L	M	0.780	0.0043	0.3097
168	125	F-C4	mineral	FC4-S2-M	M	235.286	0.0004	0.0065
46	121	F-C4	humus	FC4-B-H	O	34.710	0.0149	0.5065
113	122	F-C4	litter	FC4-B-L	O	18.940	0.0123	0.5154
21	120	F-C4	vegetation	FC4-G	O	0.240	0.0148	0.5178
117	131	F-D2	litter	FD2-S1-L	M	0.650	0.0071	0.4761
169	130	F-D2	mineral	FD2-S1-M	M	167.646	0.0011	0.0260
118	133	F-D2	litter	FD2-S2-L	M	0.001	0.0057	0.3423
170	132	F-D2	mineral	FD2-S2-M	M	218.216	0.0004	0.0100
47	128	F-D2	humus	FD2-B-H	O	48.720	0.0151	0.5273
116	129	F-D2	litter	FD2-B-L	O	54.630	0.0101	0.5121
22	127	F-D2	vegetation	FD2-G	O	2.870	0.0131	0.5003
120	138	F-D3	litter	FD3-S1-L	M	0.001	0.0084	0.4472
171	137	F-D3	mineral	FD3-S1-M	M	178.516	0.0010	0.0230
121	140	F-D3	litter	FD3-S2-L	M	0.540	0.0048	0.3354
172	139	F-D3	mineral	FD3-S2-M	M	224.136	0.0004	0.0073
48	135	F-D3	humus	FD3-B-H	O	24.940	0.0155	0.5053
119	136	F-D3	litter	FD3-B-L	O	13.090	0.0124	0.5082
23	134	F-D3	vegetation	FD3-G	O	2.400	0.0141	0.5063
123	145	F-D4	litter	FD4-S1-L	M	1.310	0.0058	0.4225
173	144	F-D4	mineral	FD4-S1-M	M	168.096	0.0008	0.0232
124	147	F-D4	litter	FD4-S2-L	M	0.110	0.0041	0.3045
174	146	F-D4	mineral	FD4-S2-M	M	228.816	0.0004	0.0066
49	142	F-D4	humus	FD4-B-H	O	39.570	0.0136	0.5150
122	143	F-D4	litter	FD4-B-L	O	20.550	0.0103	0.5051
24	141	F-D4	vegetation	FD4-G	O	0.440	0.0169	0.4927
87	152	F-S1	litter	FS1-S1-L	M	0.570	0.0072	0.3852
149	151	F-S1	mineral	FS1-S1-M	M	216.646	0.0007	0.0202
88	154	F-S1	litter	FS1-S2-L	M	0.970	0.0056	0.3163
150	153	F-S1	mineral	FS1-S2-M	M	244.166	0.0003	0.0060
37	149	F-S1	humus	FS1-B-H	O	28.220	0.0165	0.5033
86	150	F-S1	litter	FS1-B-L	O	11.550	0.0130	0.5042
12	148	F-S1	vegetation	FS1-G	O	0.670	0.0154	0.4939
