year	start	stop	growing_season	heat_sum	>20﻿°C_hours	<0﻿°C_hours	precipitation	Global_radiation
2002	21-Apr	17-Sep	150	1228	532	39	216	2490
2003	10-May	25-Sep	139	1062	414	25	392	2106
2004	30-Apr	06-Oct	160	914	196	120	394	2135
2005	20-May	14-Oct	148	992	208	60	323	1971
2006	24-Apr	08-Oct	168	1206	467	81	307	2546
2007	17-May	07-Oct	144	922	252	92	312	2001
2008	27-Apr	13-Oct	170	844	155	171	341	2308
2009	30-Apr	27-Sep	151	988	231	74	382	2204
2010	12-May	09-Oct	151	1015	298	90	372	2083
2011	21-Apr	06-Oct	169	1145	328	101	420	2269
2012	15-May	07-Oct	146	833	127	40	415	1852
2013	12-May	13-Oct	155	1192	336	28	365	2128
2014	15-May	06-Oct	145	1114	460	81	290	2103
2015	05-May	04-Oct	153	898	120	31	383	1967
2016	30-Apr	08-Oct	162	1009	236	118	348	2203
2017	17-May	06-Oct	143	895	119	15	390	1871
2018	05-May	29-Sep	145	1241	573	17	254	2317
2019	22-Apr	18-Sep	150	996	242	105	253	2387
