year	stand	trt	No	D	H	LC	Vsw	Vb	Msw	Mb	Mbr	Mf	Mc	Mdb	Mcr
2006	1	0	1	0.199	15.86	9.96	0.178358	0.042226	78.88	11.74	18.17	9.64	0.04	2.01	NA
2006	1	0	2	0.2385	16.6	11.59	0.283239	0.054484	127.58	15.55	24.46	14.42	0.57	4.18	NA
2006	1	0	3	0.1625	14.5	8.28	0.131634	0.024535	57.38	5.87	11.18	7.94	0.03	0.85	NA
2006	1	0	4	0.186	14.8	7.75	0.166975	0.032706	67.03	8.4	9.12	6.89	0.13	1.44	NA
2006	1	0	5	0.122	12.98	5.43	0.063429	0.017467	29.09	4.53	2.62	2.4	NA	1.1	NA
2006	2	0	6	0.2355	15.99	7.82	0.269666	0.058958	114.97	17.32	24.96	13.24	0.66	2.37	NA
2006	2	0	7	0.1725	14.71	7.79	0.139657	0.027743	61.67	8.7	8.99	5.04	0.18	1	NA
2006	2	0	8	0.2145	15.87	7.46	0.252576	0.037674	111.74	11.34	15.61	7.86	0.47	1.25	NA
2006	2	0	9	0.156	14.52	6.33	0.125384	0.023561	56.02	6.69	7.35	6.44	0.02	0.61	NA
2006	2	0	10	0.1335	12.78	6.52	0.081464	0.016392	40.03	4.71	5.37	3.78	0.06	0.48	NA
2006	3	0	11	0.2415	16.66	9.85	0.314164	0.049865	140.67	15.3	21.36	14.63	0.25	3.22	NA
2006	3	0	12	0.1675	15.17	7.32	0.151978	0.018695	69.54	6.77	8.5	7.15	0.02	2.26	NA
2006	3	0	13	0.214	15.87	9.19	0.243479	0.029084	112.19	9.91	19.58	8.54	0.16	3.3	NA
2006	3	0	14	0.179	14.2	7.78	0.157291	0.039184	67.49	10.63	12.97	5.8	0	4.55	NA
2006	3	0	15	0.122	13.13	4.55	0.071305	0.012518	31.87	3.98	2.74	2.19	0	2.24	NA
2011	2	1	1	0.1335	16.18	7.93	0.11321	0.016432	47.52	4.73	4.7	4.42	0.15	0.68	13.91
2011	2	1	2	0.1435	15.01	7.05	0.112656	0.021549	47.29	6.2	6.26	6.02	NA	1.33	15.23
2011	2	1	3	0.181	16.63	7.88	0.18661	0.031222	78.33	8.98	12.12	5.81	0.05	2.11	18.9
2011	2	1	4	0.1845	16.03	11.34	0.18526	0.032704	77.77	9.41	17.11	11.97	0.01	0.23	17.04
2011	2	1	5	0.2395	17.36	11.98	0.287167	0.047799	120.54	13.75	33.53	11.84	0.56	0.49	36.64
2011	2	1	6	0.234	15.76	7.31	0.303262	0.042684	127.3	12.28	25.71	11.06	1.02	5.4	28.43
2011	3	1	7	0.1405	13.93	6.75	0.092529	0.018979	43.54	6.12	6.29	3.48	NA	1.52	12.38
2011	3	1	8	0.1405	17.01	6.96	0.126583	0.016065	59.57	5.18	3.9	3.06	0.03	1.07	12.85
2011	3	1	9	0.18	15.48	7	0.157933	0.025927	74.32	8.36	9.84	4.74	0.05	5.65	18.32
2011	3	1	10	0.179	14.69	11.24	0.16239	0.019323	76.41	6.23	22.1	8.56	0.25	3.22	26.66
2011	3	1	11	0.2395	15.61	8.51	0.296549	0.046473	139.55	14.99	32.57	8.38	0.09	9.77	33.28
2011	3	1	12	0.241	18.09	9.19	0.354316	0.043029	166.73	13.88	25.27	9.82	0.23	7.39	38.1
