trt	plot	rep	depth	diameter	drymass
F	1	1	OM	0	0.012
F	1	1	5	0	0.073
F	1	1	15	0	0.044
F	1	1	25	0	
F	1	2	OM	0	0.080
F	1	2	5	0	0.009
F	1	2	15	0	0.005
F	1	2	25	0	
F	1	3	OM	0	0.025
F	1	3	5	0	0.011
F	1	3	15	0	
F	1	3	25	0	
F	1	4	OM	0	
F	1	4	5	0	
F	1	4	15	0	
F	1	4	25	0	
F	1	5	OM	0	0.079
F	1	5	5	0	0.059
F	1	5	15	0	
F	1	5	25	0	
F	2	1	OM	0	0.029
F	2	1	5	0	
F	2	1	15	0	0.025
F	2	1	25	0	0.000
F	2	2	OM	0	0.019
F	2	2	5	0	0.069
F	2	2	15	0	0.017
F	2	2	25	0	0.016
F	2	3	OM	0	0.020
F	2	3	5	0	0.018
F	2	3	15	0	0.018
F	2	3	25	0	0.028
F	2	4	OM	0	0.106
F	2	4	5	0	0.003
F	2	4	15	0	0.037
F	2	4	25	0	
F	2	5	OM	0	0.281
F	2	5	5	0	0.057
F	2	5	15	0	0.009
F	2	5	25	0	0.044
F	3	1	OM	0	0.060
F	3	1	5	0	0.038
F	3	1	15	0	0.005
F	3	1	25	0	
F	3	2	OM	0	0.021
F	3	2	5	0	0.050
F	3	2	15	0	
F	3	2	25	0	0.035
F	3	3	OM	0	0.004
F	3	3	5	0	0.011
F	3	3	15	0	0.027
F	3	3	25	0	
F	3	4	OM	0	0.137
F	3	4	5	0	0.008
F	3	4	15	0	0.004
F	3	4	25	0	0.021
F	3	5	OM	0	0.013
F	3	5	5	0	0.029
F	3	5	15	0	0.040
F	3	5	25	0	0.021
F	1	1	OM	1	
F	1	1	5	1	0.063
F	1	1	15	1	0.050
F	1	1	25	1	0.047
F	1	2	OM	1	0.034
F	1	2	5	1	0.084
F	1	2	15	1	0.095
F	1	2	25	1	
F	1	3	OM	1	0.044
F	1	3	5	1	0.009
F	1	3	15	1	0.019
F	1	3	25	1	
F	1	4	OM	1	
F	1	4	5	1	0.011
F	1	4	15	1	0.017
F	1	4	25	1	
F	1	5	OM	1	
F	1	5	5	1	0.068
F	1	5	15	1	0.053
F	1	5	25	1	
F	2	1	OM	1	0.015
F	2	1	5	1	0.131
F	2	1	15	1	0.005
F	2	1	25	1	0.015
F	2	2	OM	1	0.059
F	2	2	5	1	
F	2	2	15	1	
F	2	2	25	1	0.069
F	2	3	OM	1	0.057
F	2	3	5	1	
F	2	3	15	1	0.017
F	2	3	25	1	0.116
F	2	4	OM	1	0.040
F	2	4	5	1	0.036
F	2	4	15	1	0.027
F	2	4	25	1	0.013
F	2	5	OM	1	0.107
F	2	5	5	1	0.030
F	2	5	15	1	0.087
F	2	5	25	1	0.041
F	3	1	OM	1	
F	3	1	5	1	0.010
F	3	1	15	1	
F	3	1	25	1	
F	3	2	OM	1	
F	3	2	5	1	0.246
F	3	2	15	1	
F	3	2	25	1	0.028
F	3	3	OM	1	
F	3	3	5	1	0.016
F	3	3	15	1	0.060
F	3	3	25	1	
F	3	4	OM	1	0.074
F	3	4	5	1	0.078
F	3	4	15	1	0.034
F	3	4	25	1	
F	3	5	OM	1	0.016
F	3	5	5	1	0.043
F	3	5	15	1	0.014
F	3	5	25	1	0.026
F	1	1	OM	2	
F	1	1	5	2	
F	1	1	15	2	0.164
F	1	1	25	2	3.948
F	1	2	OM	2	
F	1	2	5	2	
F	1	2	15	2	0.060
F	1	2	25	2	
F	1	3	OM	2	
F	1	3	5	2	
F	1	3	15	2	
F	1	3	25	2	
F	1	4	OM	2	
F	1	4	5	2	
F	1	4	15	2	0.137
F	1	4	25	2	
F	1	5	OM	2	
F	1	5	5	2	
F	1	5	15	2	0.209
F	1	5	25	2	
F	2	1	OM	2	
F	2	1	5	2	0.085
F	2	1	15	2	0.251
F	2	1	25	2	0.049
F	2	2	OM	2	0.134
F	2	2	5	2	
F	2	2	15	2	0.090
F	2	2	25	2	
F	2	3	OM	2	0.196
F	2	3	5	2	
F	2	3	15	2	0.281
F	2	3	25	2	
F	2	4	OM	2	
F	2	4	5	2	0.494
F	2	4	15	2	
F	2	4	25	2	
F	2	5	OM	2	
F	2	5	5	2	0.398
F	2	5	15	2	
F	2	5	25	2	
F	3	1	OM	2	
F	3	1	5	2	0.972
F	3	1	15	2	
F	3	1	25	2	
F	3	2	OM	2	
F	3	2	5	2	0.099
F	3	2	15	2	
F	3	2	25	2	0.040
F	3	3	OM	2	
F	3	3	5	2	0.075
F	3	3	15	2	0.103
F	3	3	25	2	0.065
F	3	4	OM	2	
F	3	4	5	2	
F	3	4	15	2	0.054
F	3	4	25	2	
F	3	5	OM	2	
F	3	5	5	2	
F	3	5	15	2	0.187
F	3	5	25	2	
C	1	1	OM	0	0.083
C	1	1	5	0	0.019
C	1	1	15	0	0.053
C	1	1	25	0	0.013
C	1	2	OM	0	0.021
C	1	2	5	0	
C	1	2	15	0	
C	1	2	25	0	0.012
C	1	3	OM	0	0.088
C	1	3	5	0	0.049
C	1	3	15	0	
C	1	3	25	0	
C	1	4	OM	0	0.036
C	1	4	5	0	0.033
C	1	4	15	0	0.035
C	1	4	25	0	
C	1	5	OM	0	0.081
C	1	5	5	0	0.047
C	1	5	15	0	0.035
C	1	5	25	0	
C	2	1	OM	0	0.111
C	2	1	5	0	0.023
C	2	1	15	0	0.026
C	2	1	25	0	0.026
C	2	2	OM	0	0.105
C	2	2	5	0	
C	2	2	15	0	
C	2	2	25	0	
C	2	3	OM	0	0.257
C	2	3	5	0	0.053
C	2	3	15	0	0.041
C	2	3	25	0	
C	2	4	OM	0	0.011
C	2	4	5	0	0.000
C	2	4	15	0	
C	2	4	25	0	
C	2	5	OM	0	0.084
C	2	5	5	0	0.025
C	2	5	15	0	0.044
C	2	5	25	0	0.007
C	3	1	OM	0	0.067
C	3	1	5	0	0.013
C	3	1	15	0	
C	3	1	25	0	0.019
C	3	2	OM	0	0.064
C	3	2	5	0	0.028
C	3	2	15	0	
C	3	2	25	0	
C	3	3	OM	0	0.029
C	3	3	5	0	0.045
C	3	3	15	0	0.157
C	3	3	25	0	
C	3	4	OM	0	0.091
