plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
2	1	1	2005	0.1195	13.0465213359199	5.88823755897466	7.15828377694525	NA	NA	NA	NA
2	1	2	2005	0.216	15.5807902784122	7.87614197180069	7.7046483066115	NA	NA	NA	NA
2	1	3	2005	0.1485	14.0638184896428	6.5763464012591	7.48747208838375	NA	NA	NA	NA
2	1	4	2005	0.131	13.4881900635693	6.17465859740478	7.3135314661645	NA	NA	NA	NA
2	1	5	2005	0.1395	13.7808420976568	6.37439285379601	7.40644924386083	NA	NA	NA	NA
2	1	6	2005	0.105	12.3988166026543	5.49497756384507	6.90383903880919	NA	NA	NA	NA
2	1	7	2005	0.085	11.2865110486205	4.87529004029446	6.411221008326	NA	NA	NA	NA
2	1	8	2005	0.0835	11.1903301754224	4.82432028875211	6.36600988667031	NA	NA	NA	NA
2	1	9	2005	0.189	15.0761193543437	7.39249980555243	7.68361954879127	NA	NA	NA	NA
2	1	10	2005	0.1455	13.9723452886956	6.51003974988747	7.46230553880811	NA	NA	NA	NA
2	1	11	2005	0.144	13.9255631652325	6.47651571993598	7.4490474452965	NA	NA	NA	NA
2	1	12	2005	0.1515	14.1526045525039	6.64170013078391	7.51090442172004	NA	NA	NA	NA
2	1	13	2005	0.171	14.671597086245	7.04587938700855	7.62571769923643	NA	NA	NA	NA
2	1	14	2005	0.1565	14.2949197863089	6.74861482609687	7.546304960212	NA	NA	NA	NA
2	1	15	2005	0.1285	13.3969133809023	6.11407045279728	7.28284292810497	NA	NA	NA	NA
2	1	16	2005	0.2185	15.6224047344999	7.9191050813011	7.70329965319883	NA	NA	NA	NA
2	1	17	2005	0.107	12.4950482829104	5.55165602615801	6.94339225675236	NA	NA	NA	NA
2	1	18	2005	0.177	14.8135127040886	7.16393255691998	7.64958014716863	NA	NA	NA	NA
2	1	19	2005	0.106	12.4472306055917	5.52342209063528	6.92380851495641	NA	NA	NA	NA
2	1	20	2005	0.164	14.4960618437997	6.90461169687627	7.5914501469234	NA	NA	NA	NA
2	1	21	2005	0.1515	14.1526045525039	6.64170013078391	7.51090442172004	NA	NA	NA	NA
2	1	22	2005	0.1625	14.456957304405	6.87381117678235	7.58314612762269	NA	NA	NA	NA
2	1	23	2005	0.145	13.9568300435241	6.49889300917337	7.45793703435074	NA	NA	NA	NA
2	1	24	2005	0.124	13.2261461167531	6.00272139537474	7.22342472137835	NA	NA	NA	NA
2	1	25	2005	0.1745	14.7552955675873	7.11506845798487	7.64022710960242	NA	NA	NA	NA
2	1	26	2005	0.152	14.1671491620001	6.65250266248668	7.51464649951338	NA	NA	NA	NA
