trt	year	Bf Tnr
F	0	1473.581943	1
F	0	2253.74415	2
F	0	2237.55349	3
F	0	3832.219826	4
F	0	5302.105711	5
F	0	4058.393025	6
C	0	994.7511872	7
C	0	919.7583391	8
C	0	1341.164214	9
C	0	1706.787677	10
C	0	3187.814565	11
C	0	2580.894824	12
F	1	1345.558451	1
F	1	2102.307867	2
F	1	2552.058439	3
F	1	4536.468058	4
F	1	5658.826269	5
F	1	5055.514089	6
C	1	1167.799134	7
C	1	1083.479565	8
C	1	1592.703272	9
C	1	1722.100486	10
C	1	3412.125476	11
C	1	3596.077753	12
F	2	863.0717816	1
F	2	1166.024928	2
F	2	961.630687	3
F	2	3222.629814	4
F	2	843.5758627	5
F	2	1613.682743	6
C	2	779.4445747	7
C	2	791.3440217	8
C	2	1130.083355	9
C	2	2667.602306	10
C	2	1185.215802	11
C	2	2617.35828	12
F	3	607.184622	1
F	3	453.7251002	2
F	3	57.4875638	3
F	3	373.0685989	4
F	3	37.12899977	5
F	3	324.1930376	6
C	3	504.0794481	7
C	3	268.4889976	8
C	3	593.178525	9
C	3	1978.50061	10
C	3	506.205286	11
C	3	942.0568821	12
F	4	128.1689359	1
F	4	41.94460557	2
F	4	0.414330211	3
F	4	7.463128975	4
F	4	0	5
F	4	5.771593157	6
C	4	33.37519707	7
C	4	0.592164097	8
C	4	82.13700625	9
C	4	488.6661231	10
C	4	90.29968193	11
C	4	85.95857318	12
F	5	0	1
F	5	0	2
F	5	0	3
F	5	0	4
F	5	0	5
F	5	0	6
C	5	0	7
C	5	0	8
C	5	0	9
C	5	0	10
C	5	0	11
C	5	0	12
