g.dw.trap	year	season	plot	loc	needle	cone	twig	bark	mis	note
20062	2006	1	2	50E	4.3	1.5	0.8	0.6	0.8	
20062	2006	1	2	50N	4.7	4.7	0.6	0.3	0.8	
20062	2006	1	2	50S	15.8	0	0	0.4	0.8	
20062	2006	1	2	50W	5.4	0	0	0.4	0.7	
20062	2006	1	2	75E	7	10.5	1.3	1.1	0.7	
20062	2006	1	2	75N	9.4	0.1	0	0	0.9	
20062	2006	1	2	75S	20.5	0	0	1.3	1.2	
20062	2006	1	2	75W	12.8	0	0	1.1	1.1	
20062	2006	1	2	C1	10.6	2.3	0	1.2	0.9	
20062	2006	1	2	C2	3.6	7.4	1.5	0.6	0.9	
20062	2006	1	2	C3	14.9	0	0.1	1	1.1	
20063	2006	1	3	50E	23.5	5.1	0.2	0.2	1.1	
20063	2006	1	3	50N	14.6	3.4	0	0.7	1	
20063	2006	1	3	50S	5.1	0	0	0.6	1.2	
20063	2006	1	3	50W	10.9	0	0	0.2	1	
20063	2006	1	3	75E	13.2	0	0	0.4	2	
20063	2006	1	3	75N	23.4	5.7	2.6	1.4	1.3	
20063	2006	1	3	75S	19	0	0	0.8	1.1	
20063	2006	1	3	75W	7.6	2.5	0	0	1.1	
20063	2006	1	3	C1						broken_trap
20063	2006	1	3	C2	12.5	0	0.2	0.9	1.2	
20063	2006	1	3	C3	6.3	0	1.8	0.5	0.8	
20062	2006	2	2	50E	20	0	0	0.4	0.2	
20062	2006	2	2	50N	13.6	3.6	0.1	1.2	0.2	
20062	2006	2	2	50S	10.6	3.7	1	1.3	0.3	
20062	2006	2	2	50W	13.3	0	0	0.3	0	
20062	2006	2	2	75E	18.6	0	1.3	1.1	0.4	
20062	2006	2	2	75N	10	0	0	0.7	0.3	
20062	2006	2	2	75S	18.5	0.1	0.3	0.5	0.3	
20062	2006	2	2	75W	13.9	0	0	0.8	0.3	
20062	2006	2	2	C1	14	1.2	0.5	0.5	0.2	
20062	2006	2	2	C2	18.2	0	0	0.7	0.3	
20062	2006	2	2	C3	10.3	0.9	0.1	0.3	0.2	
20063	2006	2	3	50E	12	0	0.3	0.8	0.7	
20063	2006	2	3	50N	14.6	4.7	0	1	0.3	
20063	2006	2	3	50S	4.8	0	0	0	0	
20063	2006	2	3	50W	15.1	1	0	0.3	0.5	
20063	2006	2	3	75E	10.3	0	0.1	0.5	0.8	
20063	2006	2	3	75N	14.2	0	0.3	1.2	0.7	
20063	2006	2	3	75S	11.8	0	0	0.7	0.5	
20063	2006	2	3	75W	14.7	0	0	0.3	0.4	
20063	2006	2	3	C1	17.9	0	0	1.7	0.7	
20063	2006	2	3	C2	17.3	0	0	0.3	0.5	
20063	2006	2	3	C3	13.9	4.1	4.1	0.5	0.6	
20062	2006	3	2	50E	1.2	0	0	0.4	0.3	
20062	2006	3	2	50N	0.6	0	0	0.5	0.2	
20062	2006	3	2	50S	1.6	6.5	0.9	1.4	0.7	
20062	2006	3	2	50W	1.6	0	0.6	2.4	0.7	
