year	Snr	trt	ba_under_bark	sapwood_area
2018	1	F	0.02112	0.01853
2018	2	F	0.01431	0.01079
2018	3	F	0.05027	0.04296
2018	4	F	0.02971	0.02558
2018	5	F	0.03801	0.02992
2018	6	F	0.00916	0.00720
2018	7	C	0.02190	0.01649
2018	8	C	0.04600	0.03168
2018	9	C	0.00882	0.00723
2018	10	C	0.03614	0.02748
2018	11	C	0.01561	0.01332
2018	12	C	0.02138	0.01753
2011	1	F	0.01198	0.01061
2011	2	F	0.01379	0.01495
2011	3	F	0.02087	0.02246
2011	4	F	0.02138	0.02125
2011	5	F	0.03767	0.03967
2011	6	F	0.03431	0.03457
2011	7	C	0.01327	0.01230
2011	8	C	0.01348	0.01360
2011	9	C	0.01851	0.02063
2011	10	C	0.02177	0.02210
2011	11	C	0.03647	0.03826
2011	12	C	0.03784	0.03573
