loc	trt	rep	hums	lich	moss_d	moss_l	unders
plot1	F	1	61.162	0	0	1.075	0
plot2	F	2	34.061	0	0	0.327	0
plot3	F	3	58.851	0	1.708	0.925	0
plot4	F	4	51.261	0	0	0.503	2.052
plot5	F	5	97.67	0	0	2.005	0
plot1	C	1	20.086	0	7.602	3.577	0.441
plot2	C	2	36.786	0	4.775	1.856	1.476
plot3	C	3	13.933	0.694	3.273	2.855	0
plot4	C	4	34.664	0	7.578	2.865	3.807
plot5	C	5	26.407	0	6.987	3.378	0.473
A	F	2	52.709	0	0	0	0
A	F	4	57.724	0	0	0.143	0
A	F	6	94.627	0.342	0	1.926	0.231
A	F	8	63.433	0	0	0	7.472
A	F	9	43.473	0	0	0	0
A	F	10	36.307	0	0	0	3.591
A	F	12	62.313	0	0	0	0
A	F	13	43.326	0	0	0	0
A	F	14	54.514	1.08	0	0	0
A	F	16	37.387	0	1.902	0	0.484
B	F	2	69.784	0	6.924	2.601	0
B	F	4	21.043	0	0	0	0
B	F	6	74.243	0	0	0.08	0
B	F	8	141.27	0	0	0.063	0
B	F	9	72.698	0	0	0	0
B	F	10	58.697	0	0	0	0.2
B	F	12	84.084	0	0	1.188	0
B	F	13	74.863	0	0	0.325	0
B	F	14	73.864	0	0	0.089	0
B	F	16	27.093	0	8.668	5.862	0
C	F	0	34.254	0	0	1.182	0.248
C	F	4	42.838	0	1.275	4.118	0
C	F	6	32.308	0	0	0.162	0
C	F	8	34.178	0	0	1.129	0.942
C	F	9	58.738	0	0	1.836	0
C	F	10	66.067	0	0	1.07	0
C	F	12	35.213	0	2.643	1.025	0
C	F	14	36.525	0	0	0.671	0
C	F	15	47.451	0	0	2.784	0
C	F	16	33.498	0	1.004	2.628	0
D	C	1	17.965	0	3.399	4.083	0
D	C	2	39.83	0.564	0	0.228	0
D	C	3	31.469	0	5.023	3.568	0
D	C	5	38.753	0	1.471	2.906	0
D	C	8	19.448	0	2.855	3.462	0.182
D	C	10	58.668	0	5.509	0.474	0.246
D	C	12	0.0315	0.263	7.734	0	0.162
D	C	14	10.226	0.754	0	0	0
D	C	16	35.878	0.295	11.247	1.16	0
E	C	2	31.625	0	2.58	0	0
E	C	4	18.149	0	7.761	1.305	0.183
E	C	6	17.225	0	7.313	3.677	0.061
E	C	76	46.989	0	2.247	0.433	0.479
E	C	7	26.545	0	2.394	2.357	0.187
E	C	8	73.715	0	1.746	1.061	0.613
E	C	10	25.89	0	3.524	1.329	0
E	C	12	43.497	0	0	0.532	1.129
E	C	13	41.917	0	4.836	0	0.768
E	C	14	45.427	0	0	0	0.656
E	C	16	40.438	0	0	0	0
