yta	avd	rev	year	month	dag	age	d	meanH	domH	std	ba	v	dead.d	dead.std	dead.ba	dead.v	t.ba	t.v	dd	dba	dv
1471	21	1	2005	8	19	69	15.9	14.6	15.6	970	19.4	140.8	0	0	0	0	19.4	140.8	0	0	0
1471	21	2	2008	5	13	71	16.5	14.9	15.9	970	20.6	152.1	0	0	0	0	20.6	152.1	2.6	0.63	5.6
1471	21	3	2009	4	22	72	16.6	15.3	16.4	970	21	158.8	0	0	0	0	21	158.8	1.7	0.43	6.7
1471	21	4	2010	5	6	73	17	15.5	16.3	970	22	166.9	0	0	0	0	22	166.9	3.6	0.93	8.1
1471	21	5	2011	5	6	74	17.6	16	16.7	970	23.5	181.8	0	0	0	0	23.5	181.8	5.8	1.53	14.9
1471	21	6	2012	5	8	75	18.1	16	16.7	950	24.6	190.6	11.6	20	0.2	1.5	24.8	192.2	4.7	1.27	10.4
1471	21	7	2013	5	24	76	18.3	16.4	17.2	950	25.1	200.2	0	0	0	0	25.3	201.8	1.8	0.49	9.6
1471	21	8	2014	6	3	77	18.6	16.9	17.5	950	25.8	210.6	0	0	0	0	26	212.2	2.6	0.71	10.4
1471	21	9	2015	5	8	78	19	17.3	18	930	26.4	221.6	13.6	20	0.3	2.5	26.9	225.6	3.3	0.92	13.5
1471	21	10	2016	5	4	79	19.4	17.8	18.5	930	27.4	233.8	0	0	0	0	27.9	237.8	3.7	1.03	12.2
1471	21	11	2016	11	7	80	19.6	18	18.8	930	28.2	244.1	0	0	0	0	28.7	248.1	2.6	0.73	10.3
1471	21	12	2019	4	12	82	20.5	18.6	19.3	880	28.9	248.2	12.1	50	0.6	4.8	30	257	2.3	0.66	4.4
1471	21	13	2020	4	27	83	20.6	18.5	18.9	870	28.9	259.7	20.1	10	0.3	2.9	30.3	271.3	1.2	0.33	14.3
1471	22	1	2005	8	22	69	16.9	15	16.2	830	18.5	137.6	0	0	0	0	18.5	137.6	0	0	0
1471	22	2	2008	5	13	71	17.5	15.1	16.4	830	19.9	149.8	0	0	0	0	19.9	149.8	3.2	0.71	6.1
1471	22	3	2009	4	22	72	17.7	15.7	16.9	830	20.4	158.2	0	0	0	0	20.4	158.2	2.2	0.5	8.4
1471	22	4	2010	5	6	73	18.2	15.9	17.1	830	21.5	167.9	0	0	0	0	21.5	167.9	4.7	1.11	9.8
1471	22	5	2011	5	11	74	18.7	16.4	17.3	830	22.8	181.8	0	0	0	0	22.8	181.8	5.3	1.28	13.8
1471	22	6	2012	5	8	75	19.2	16.3	17.3	830	24	192.7	0	0	0	0	24	192.7	4.8	1.17	10.9
1471	22	7	2013	5	24	76	19.4	17.1	18.1	830	24.6	204.1	0	0	0	0	24.6	204.1	2.6	0.65	11.4
1471	22	8	2014	6	3	77	19.8	17.4	18.4	830	25.4	214.4	0	0	0	0	25.4	214.4	3.1	0.79	10.3
1471	22	9	2015	5	8	78	20.1	17.6	18.7	830	26.4	225.2	0	0	0	0	26.4	225.2	3.6	0.92	10.8
1471	22	10	2016	5	4	79	20.5	18.2	19.5	830	27.4	238.3	0	0	0	0	27.4	238.3	4	1.05	13.1
1471	22	11	2016	11	7	80	20.8	18.4	19.6	830	28.2	250.5	0	0	0	0	28.2	250.5	3	0.82	12.2
1471	22	12	2019	4	11	82	21.3	18.7	19.8	800	28.6	255	17.4	30	0.7	6.1	29.3	261.1	2	0.56	5.3
1471	22	13	2020	4	27	83	21.5	18.8	19.8	800	28.9	263.6	0	0	0	0	29.7	269.7	1.2	0.31	8.6
1471	23	1	2005	8	22	69	16.4	14.2	15.8	800	16.9	119.4	0	0	0	0	16.9	119.4	0	0	0
1471	23	2	2008	5	13	71	17	14.6	16.1	800	18.2	131.8	0	0	0	0	18.2	131.8	3	0.62	6.2
1471	23	3	2009	4	22	72	17.2	15.2	16.6	800	18.5	137.9	0	0	0	0	18.5	137.9	1.7	0.36	6.2
1471	23	4	2010	5	6	73	17.6	15.1	16.5	800	19.5	145	0	0	0	0	19.5	145	4.4	0.97	7
1471	23	5	2011	5	11	74	18.1	15.7	17.3	800	20.6	157.9	0	0	0	0	20.6	157.9	5.1	1.14	12.9
1471	23	6	2012	5	8	75	18.6	15.8	17.3	790	21.6	164.6	14.5	10	0.2	1.1	21.7	165.7	4.9	1.12	7.8
1471	23	7	2013	5	31	76	19	16.1	17.5	790	22.4	176.3	0	0	0	0	22.5	177.4	3.3	0.77	11.7
1471	23	8	2014	5	23	77	19.2	16.6	18.2	790	22.8	185	0	0	0	0	22.9	186.2	1.8	0.43	8.7
1471	23	9	2015	5	8	78	19.6	17	18.6	790	23.8	197.3	0	0	0	0	24	198.4	4.2	1.02	12.2
1471	23	10	2016	5	4	79	20.1	17.4	18.9	780	24.8	206.4	9.5	10	0.1	0.5	25	208	4.2	1.03	9.6
1471	23	11	2016	11	7	80	20.4	17.8	19.2	780	25.5	218.9	0	0	0	0	25.8	220.5	3.2	0.78	12.5
1471	23	12	2019	4	11	82	21.3	18	19.7	760	27.1	228.1	7.9	20	0.1	0.8	27.4	230.5	3.2	0.81	5
1471	23	13	2020	4	27	83	21.4	18.2	20	760	27.3	240.4	0	0	0	0	27.7	242.8	1.1	0.28	12.3
1471	24	1	2016	10	24	80	19.4	17.8	18.9	880	26	225.9	0	0	0	0	26	225.9	0	0	0
1471	24	2	2019	4	12	82	20	18.4	19.6	860	27	238.9	16	20	0.4	3.3	27.4	242.2	2.6	0.7	8.2
1471	24	3	2020	4	27	83	20.3	18.4	19.6	840	27.1	243.9	13.6	20	0.3	2.4	27.8	249.7	1.4	0.39	7.5
1471	25	1	2016	10	25	80	19.6	17.2	18.9	790	23.9	198.3	0	0	0	0	23.9	198.3	0	0	0
1471	25	2	2019	4	11	82	20.3	17.5	19.4	760	24.7	204.3	14.3	30	0.5	3.9	25.2	208.2	2.6	0.64	4.9
1471	25	3	2020	4	27	83	20.6	17.8	19.5	750	24.9	215	16.5	10	0.2	1.9	25.6	220.8	1.6	0.4	12.6
1471	26	1	2016	10	24	80	21.2	18.4	19.6	740	26	231.9	0	0	0	0	26	231.9	0	0	0
1471	26	2	2019	4	17	82	21.7	19.1	20.3	730	26.9	238	15	10	0.2	1.5	27.1	239.5	2.2	0.55	3.8
1471	26	3	2020	4	27	83	21.9	19.3	20.4	730	27.6	255.7	0	0	0	0	27.8	257.2	2.5	0.64	17.7
1471	31	1	2005	8	22	73	17.3	16.1	17.9	890	20.8	163.4	0	0	0	0	20.8	163.4	0	0	0
1471	31	2	2008	5	13	75	17.7	16.4	18	890	21.8	174.1	0	0	0	0	21.8	174.1	2	0.49	5.4
1471	31	3	2009	4	22	76	17.7	16.8	18.1	890	22	180.4	0	0	0	0	22	180.4	0.9	0.22	6.2
1471	31	4	2010	4	27	77	17.9	17.1	18.2	880	22.2	182.9	17.9	10	0.3	2.1	22.5	185	1.9	0.47	4.6
1471	31	5	2011	5	5	78	18.2	17.4	18.5	880	22.8	191.8	0	0	0	0	23.1	194	2.5	0.62	9
1471	31	6	2012	5	8	79	18.4	17.5	18.2	870	23.2	196.4	9.5	10	0.1	0.6	23.6	199	1.9	0.47	5.1
1471	31	7	2013	5	20	80	18.5	18	18.7	870	23.4	204.8	0	0	0	0	23.7	207.5	0.5	0.12	8.5
1471	31	8	2014	6	3	81	18.6	18.1	18.9	870	23.6	203.2	0	0	0	0	24	205.9	1.1	0.28	-1.6
1471	31	9	2015	5	13	82	18.8	18.4	19.2	870	24.2	213.4	0	0	0	0	24.5	216.1	2.2	0.56	10.2
1471	31	10	2016	5	6	83	19.1	18.6	19.5	870	24.9	220.6	0	0	0	0	25.2	223.3	2.6	0.68	7.2
1471	31	11	2016	11	6	84	19.3	18.8	19.7	860	25	226.1	7.9	10	0	0.4	25.4	229.2	0.8	0.22	5.9
1471	31	12	2019	4	18	86	19.5	19.1	19.8	860	25.7	226.9	0	0	0	0	26	230	1.2	0.31	0.4
1471	31	13	2020	4	29	87	19.6	19.3	20	860	26	243	0	0	0	0	26.4	246.1	1.4	0.37	16.1
1471	32	1	2005	8	22	73	17.2	16.6	17.9	1130	26.4	217.2	0	0	0	0	26.4	217.2	0	0	0
1471	32	2	2008	5	13	75	17.6	16.8	18	1130	27.4	223	0	0	0	0	27.4	223	1.7	0.51	2.9
1471	32	3	2009	4	22	76	17.7	17.2	18.4	1130	27.7	230.6	0	0	0	0	27.7	230.6	0.9	0.28	7.6
1471	32	4	2010	4	27	77	17.8	17.2	18.5	1130	28.2	234	0	0	0	0	28.2	234	1.7	0.55	3.4
1471	32	5	2011	5	5	78	18.1	17.4	18.6	1120	28.7	241.5	14.4	10	0.2	1.1	28.9	242.5	2	0.65	8.5
1471	32	6	2012	5	9	79	18.3	17.7	18.6	1120	29.3	247.6	0	0	0	0	29.5	248.7	1.9	0.62	6.2
1471	32	7	2013	5	20	80	18.3	18	18.8	1110	29.3	255.7	14.8	10	0.2	1.5	29.6	258.2	0.3	0.1	9.5
1471	32	8	2014	6	10	81	18.5	18.2	18.9	1110	30	262.7	0	0	0	0	30.3	265.2	2.2	0.71	7
1471	32	9	2015	5	13	82	18.6	18.5	19.6	1110	30.3	268.1	0	0	0	0	30.6	270.6	0.9	0.3	5.4
1471	32	10	2016	5	6	83	18.8	18.7	19.4	1110	30.9	274.2	0	0	0	0	31.2	276.7	1.8	0.59	6.1
1471	32	11	2016	11	6	84	18.9	18.8	19.4	1110	31.1	279.3	0	0	0	0	31.4	281.8	0.7	0.24	5.1
1471	32	12	2019	4	24	86	19.2	19.2	19.9	1110	32	287.2	0	0	0	0	32.3	289.8	1.3	0.44	4
1471	32	13	2020	5	6	87	19.2	19.4	20.5	1110	32.1	300	0	0	0	0	32.5	302.5	0.5	0.16	12.7
1471	33	1	2005	8	23	73	17.5	16.3	18	1050	25.4	206.9	0	0	0	0	25.4	206.9	0	0	0
