Snr	disk.position	D1	depth1.1	depth1.2	D2	depth2.1	depth2.2	Bsw	Bsb
1	base	19.5	5.4	5.5	17.0	5.4	5.7	806.50	112.50
1	BH								
1	D.3	15.3	5.5	5.3	14.1	5.4	5.3	389.50	15.54
1	D.55								
1	st1	14.0	5.5	5.4	14.0	5.3	5.4	375.00	15.29
1	st2	12.6	4.9	4.8	13.1	4.7	4.8	261.50	14.30
1	st3	10.9	5.1	5.1	11.3	5.2	5.6	184.56	10.24
1	st4	8.7	5.1	5.0	8.6	5.0	5.3	106.56	8.18
1	st5	5.7	5.1	5.0	5.0	5.1	4.9	34.42	5.33
2	base	17.2	5.4	5.7	15.3	5.7	5.3	598.50	98.53
2	BH								
2	D.3	12.4	5.3	5.4	12.3	5.1	5.3	311.50	13.75
2	D.55	10.4	4.9	5.3	10.3	4.7	5.3	173.22	9.89
2	st1	10.0	4.7	4.9	10.2	4.8	4.9	180.05	11.48
2	st2	9.1	5.3	5.2	8.8	5.4	5.4	140.67	8.70
2	st3	7.6	4.7	4.6	7.3	4.7	5.0	84.62	6.69
2	st4	5.5	5.1	5.0	5.2	5.0	5.0	42.72	4.17
2	st5	2.7	5.0	5.1	2.8	5.3	5.1	12.00	2.95
3	base	30.0	6.8	7.0	28.7	6.7	7.5	2114.50	338.00
3	BH								
3	D.3	21.7	5.5	6.0	21.2	5.8	5.9	857.00	34.01
3	D.55								
3	st1	19.5	4.9	5.7	19.5	5.2	5.5	623.50	24.56
3	st2	17.8	5.4	5.8	18.5	5.5	5.7	631.50	28.62
3	st3	15.0	5.6	5.5	15.0	5.6	5.6	366.00	22.21
3	st4	11.2	4.4	4.7	11.2	4.6	4.8	168.50	12.84
3	st5	6.0	5.0	5.3	6.3	5.2	5.3	50.97	7.55
4	base	22.9	7.0	6.9	21.6	7.0	7.0	1424.00	179.50
4	BH								
4	D.3	18.0	5.6	5.6	16.8	5.6	5.4	548.50	20.52
4	D.55	14.5	5.4	5.3	13.7	5.2	5.9	338.50	15.11
