year	avd	C	N	P	K	Ca	Mg	Mn	S	Fe	Zn	B	Cu	d13C	d15N
2007	2-1		15.600	1.4932	5.0963	1.7411	0.4824	0.8225	0.8590	0.0418	0.0324	0.0309	0.0022078		
2007	2-2		16.430	1.3475	4.5508	2.0182	0.4813	0.5849	0.7592	0.0533	0.0331	0.0206	0.0021047		
2007	2-3		15.320	1.4486	4.6797	1.9507	0.4047	0.6433	0.7780	0.0424	0.0277	0.0164	0.0022751		
2007	3-1		10.330	1.2796	4.4516	1.7465	0.6439	0.5393	0.6629	0.0364	0.0367	0.0115	0.0019507		
2007	3-2		11.070	1.3332	5.0062	2.3242	0.7468	0.7527	0.7439	0.0356	0.0406	0.0184	0.0020155		
2007	3-3		10.970	1.2970	4.5609	1.7841	0.6831	0.4782	0.6877	0.0364	0.0294	0.0145	0.0019775		
2008	2-1		19.907	1.5529	4.6354	1.7793	0.4914	0.7662	1.0509	0.0700	0.0555	0.0553	0.0056294		
2008	2-2		18.122	1.5153	4.7031	2.3549	0.5637	0.5046	0.9901	0.0597	0.0385	0.0334	0.0025543		
2008	2-3		19.765	1.6425	4.7453	2.1335	0.5318	0.6998	1.0463	0.0492	0.0394	0.0344	0.0030148		
2008	3-1		10.803	1.2545	4.3854	1.9340	0.7246	0.5502	0.7532	0.0447	0.0427	0.0180	0.0022047		
2008	3-2		11.737	1.2940	4.8215	2.3761	0.7740	0.6680	0.8564	0.0474	0.0384	0.0232	0.0026437		
2008	3-3		11.004	1.3181	4.7179	2.3705	0.7543	0.5570	0.8117	0.0456	0.0379	0.0204	0.0026205		
2009	2-1		20.738	1.5330	4.7026	1.9847	0.5291	0.7918	1.0645	0.0386	0.0336	0.0660	0.0024006		
2009	2-2		19.455	1.4633	4.4610	2.8403	0.6510	0.5958	0.9803	0.0343	0.0454	0.0469	0.0030430		
2009	2-3		24.963	1.7063	4.2085	2.1048	0.4995	0.6829	1.1238	0.0404	0.0366	0.0638	0.0028005		
2009	3-1		11.830	1.3594	4.7865	2.0293	0.6991	0.6369	0.8274	0.0462	0.0486	0.0229	0.0024310		
2009	3-2		11.735	1.2267	5.3109	2.2277	0.7078	0.6817	0.8595	0.0352	0.0364	0.0267	0.0027663		
2009	3-3		11.688	1.2857	5.0781	2.3904	0.7205	0.5806	0.8040	0.0362	0.0358	0.0235	0.0026326		
2010	2-1		20.759	1.6504	4.5509	1.5835	0.5394	0.5663	1.0589	0.0440	0.0284	0.0632	0.0022288		
2010	2-2		18.638	1.5214	4.5493	2.4432	0.7173	0.3748	0.9534	0.0410	0.0356	0.0458	0.0021605		
2010	2-3		26.479	1.7766	4.2101	2.1037	0.5250	0.6887	1.0703	0.0436	0.0331	0.0684	0.0027738		
