Snr	disk	path	wd	year	rwd
9	3	1	0.156	1982	0.00293056807935077
9	3	2	0	1982	0
9	3	3	0.126	1982	0.00246146633065698
9	3	4	0.032	1982	0.0005914097730465
8	4	1	0.82	1983	0.017649970942121
8	4	2	0.939	1983	0.0213739415460257
8	4	3	0.571	1983	0.0119796911715341
8	4	4	0.491	1983	0.011708038247848
9	3	1	1.423	1983	0.0267320408776676
9	3	2	1.895	1983	0.0337735479156641
9	3	3	1.519	1983	0.0296743440973647
9	3	4	1.745	1983	0.0322503141864419
8	4	1	1.442	1984	0.031038119632364
8	4	2	1.237	1984	0.0281571519621233
8	4	3	1.363	1984	0.0285960053709298
8	4	4	1.882	1984	0.044876839068126
9	3	1	2.094	1984	0.0393372407574391
9	3	2	2.032	1984	0.0362152239391185
9	3	3	2.23	1984	0.0435640469632148
9	3	4	2.189	1984	0.0404561247874621
8	4	1	1.538	1985	0.0331044576938806
8	4	2	0.951	1985	0.0216470909587544
8	4	3	1.711	1985	0.0358971131252098
8	4	4	1.043	1985	0.0248706392922717
9	3	1	2.088	1985	0.039224526600541
9	3	2	1.451	1985	0.025860378905345
9	3	3	1.523	1985	0.0297524858856395
9	3	4	1.841	1985	0.0340245435055814
8	4	1	1.903	1986	0.0409608471986052
8	4	2	1.397	1986	0.0317991441318401
8	4	3	1.693	1986	0.0355194696206781
8	4	4	1.691	1986	0.0403223883444214
9	3	1	1.74	1986	0.0326871055004509
9	3	2	2.15	1986	0.0383182733607799
9	3	3	2.033	1986	0.0397155638906796
9	3	4	2.38	1986	0.0439861018703334
2	3	1	2.157	1982	0.0493107468623551
2	3	2	1.619	1982	0.0414479916028775
2	3	3	1.412	1982	0.0380224041361482
2	3	4	1.807	1982	0.0469082602149421
8	4	1	1.706	1987	0.0367205493015347
8	4	2	1.443	1987	0.0328462168806337
8	4	3	1.428	1987	0.0299597180261833
8	4	4	1.277	1987	0.0304504375611036
9	3	1	1.428	1987	0.0268259693417493
9	3	2	1.832	1987	0.0326507333939297
9	3	3	1.523	1987	0.0297524858856395
9	3	4	1.742	1987	0.0321948695202188
2	3	1	1.682	1983	0.0384518665843678
2	3	2	1.651	1983	0.0422672230613656
2	3	3	1.412	1983	0.0380224041361482
2	3	4	1.523	1983	0.0395358496443591
7	3	1	1.586	1983	0.040970266849216
7	3	2	1.315	1983	0.0362538597265108
7	3	3	1.394	1983	0.0357986646122239
7	3	4	1.396	1983	0.0370872187242634
8	4	1	1.571	1988	0.033814761402527
8	4	2	1.459	1988	0.0332104160976054
8	4	3	1.539	1988	0.0322885196374622
8	4	4	1.439	1988	0.034313374824141
9	3	1	1.555	1988	0.0292117523294259
9	3	2	1.519	1988	0.0270723056907092
9	3	3	1.26	1988	0.0246146633065698
9	3	4	1.459	1988	0.0269645893398388
2	3	1	2.063	1984	0.0471618316073429
2	3	2	1.794	1984	0.0459281636414838
2	3	3	1.46	1984	0.0393149504523912
2	3	4	1.618	1984	0.0420019728986034
7	3	1	1.825	1984	0.0471442225723954
7	3	2	1.506	1984	0.041519629466255
7	3	3	1.332	1984	0.0342064714946071
7	3	4	1.682	1984	0.0446853165431312
8	4	1	2.237	1989	0.0481499817042984
8	4	2	2.142	1989	0.0487571701720841
8	4	3	1.793	1989	0.0376174890902988
8	4	4	2.407	1989	0.0573956172353769
9	3	1	1.363	1989	0.0256048993086865
9	3	2	2.154	1989	0.0383895631716837
9	3	3	1.651	1989	0.0322530231104339
9	3	4	2.28	1989	0.0421379463295631
2	3	1	1.904	1985	0.0435269643142903
2	3	2	1.539	1985	0.0393999129566575
2	3	3	1.619	1985	0.0435965101249461
2	3	4	1.572	1985	0.0408078500597061
3	3	1	2.211	1982	0.0446774975751697
3	3	2	2.222	1982	0.0450171194716262
3	3	3	2.122	1982	0.0445125020976674
3	3	4	2.398	1982	0.0463363734734889
6	3	1	3.314	1983	0.0517755870451669
6	3	2	1.793	1983	0.0298172384547586
6	3	3	2.186	1983	0.0362418555299501
6	3	4	3.262	1983	0.0521602865457802
7	3	1	1.412	1985	0.0364754204231355
7	3	2	1.651	1985	0.0455172033524482
7	3	3	1.475	1985	0.0378787878787879
7	3	4	1.461	1985	0.0388140591376425
8	4	1	1.569	1990	0.033771712692912
8	4	2	1.791	1990	0.0407675498497678
8	4	3	1.666	1990	0.0349530043638805
8	4	4	1.598	1990	0.038104776211937
9	3	1	1.49	1990	0.0279906822963631
9	3	2	1.715	1990	0.0305655064249942
9	3	3	1.578	1990	0.0308269354744183
9	3	4	1.616	1990	0.0298661935388482
2	3	1	1.333	1986	0.0304734471801202
2	3	2	1.175	1986	0.0300811551163565
2	3	3	1.397	1986	0.0376184834123223
2	3	4	1.352	1986	0.0350968277867193
3	3	1	1.741	1983	0.0351802457161332
3	3	2	1.677	1983	0.0339755667659393
3	3	3	1.56	1983	0.0327236113441853
3	3	4	1.769	1983	0.0341822538259391
6	3	1	3.506	1984	0.0547752589560517
6	3	2	2.693	1984	0.0447840619959091
6	3	3	2.633	1984	0.0436527015600909
6	3	4	2.815	1984	0.0450126323195497
7	3	1	1.635	1986	0.0422360569347214
7	3	2	1.644	1986	0.0453242170269078
7	3	3	1.427	1986	0.0366461222393426
7	3	4	1.677	1986	0.0445524826651789
8	4	1	1.238	1991	0.0266471512516412
8	4	2	1.618	1991	0.0368296458162615
8	4	3	1.805	1991	0.0378692514266532
8	4	4	1.106	1991	0.0263728926723419
9	3	1	1.11	1991	0.0208521190261497
9	3	2	1.143	1991	0.0203710634657542
9	3	3	1.333	1991	0.0260407509425853
9	3	4	1.103	1991	0.0203851556146965
12	3	1	2.388	1983	0.0359232794283565
12	3	2	2.962	1983	0.0473813865694085
12	3	3	3.151	1983	0.0514751527428366
12	3	4	2.381	1983	0.038245309689026
1	3	1	1.286	1982	0.0426505704430883
1	3	2	1.397	1982	0.0417888124439127
1	3	3	1.333	1982	0.0406241428702039
1	3	4	0.921	1982	0.0305179098048312
2	3	1	0.952	1987	0.0217634821571451
2	3	2	0.825	1987	0.0211208110391439
2	3	3	0.889	1987	0.0239390348987505
2	3	4	0.853	1987	0.0221431909038991
3	3	1	2.538	1984	0.0512851600387973
3	3	2	1.876	1984	0.0380072529832452
3	3	3	2.368	1984	0.0496727638865581
3	3	4	2.339	1984	0.0451963209151337
6	3	1	2.831	1985	0.0442295373943475
6	3	2	2.316	1985	0.0385146259125605
6	3	3	2.416	1985	0.0400550425253245
6	3	4	1.999	1985	0.0319645655441492
7	3	1	1.254	1987	0.0323938932086487
7	3	2	0.934	1987	0.0257498897220997
7	3	3	1.157	1987	0.0297123780174628
7	3	4	1.016	1987	0.0269918439998937
8	4	1	1.681	1992	0.0361824404313481
8	4	2	1.805	1992	0.041086224164618
8	4	3	1.524	1992	0.0319738167170191
8	4	4	1.742	1992	0.0415384982235258
9	3	1	1.325	1992	0.0248910429816652
9	3	2	1.714	1992	0.0305476839722683
9	3	3	1.488	1992	0.0290687452382348
9	3	4	1.548	1992	0.0286094477711244
12	3	1	2.708	1984	0.040737119217751
12	3	2	3.127	1984	0.0500207953418434
12	3	3	3.119	1984	0.0509523965106022
12	3	4	2.792	1984	0.0448470830120792
1	3	1	1.269	1983	0.0420867604139029
1	3	2	1.079	1983	0.0322763984445109
1	3	3	1.333	1983	0.0406241428702039
1	3	4	1.079	1983	0.035753338414129
2	3	1	1.015	1988	0.023203712594015
2	3	2	0.888	1988	0.0227336729730422
2	3	3	0.792	1988	0.0213270142180095
2	3	4	0.882	1988	0.0228960074762473
3	3	1	2.011	1985	0.040636113805367
3	3	2	1.84	1985	0.0372779027127778
3	3	3	2.088	1985	0.0437992951837557
3	3	4	2.119	1985	0.0409452774771989
6	3	1	2.509	1986	0.0391988376271345
6	3	2	2.285	1986	0.0379991019905875
6	3	3	2.23	1986	0.0369713347812391
6	3	4	2.222	1986	0.0355303975183089
7	3	1	1.27	1988	0.0328072124202423
7	3	2	0.995	1988	0.0274316277018086
7	3	3	1.111	1988	0.0285310734463277
7	3	4	1.047	1988	0.0278154140431976
8	4	1	2.489	1993	0.0535741191157795
8	4	2	3.206	1993	0.0729764181007011
8	4	3	3.048	1993	0.0639476334340383
8	4	4	2.328	1993	0.0555118391873525
9	3	1	2.603	1993	0.0488991584009618
9	3	2	3.111	1993	0.0554456504304122
9	3	3	2.79	1993	0.0545038973216902
9	3	4	3.093	1993	0.0571634508760257
12	3	1	2.251	1985	0.033862354268522
12	3	2	2.349	1985	0.0375755830693925
12	3	3	2.247	1985	0.0367072891822132
12	3	4	2.254	1985	0.0362053456694937
1	3	1	1.395	1984	0.0462655876890422
1	3	2	1.33	1984	0.0397846245886928
1	3	3	1.425	1984	0.0434279096699479
1	3	4	1.381	1984	0.045760296895192
2	3	1	1.205	1989	0.02754726470521
2	3	2	1.206	1989	0.0308747855917667
2	3	3	0.95	1989	0.0255816458423093
2	3	4	1.269	1989	0.0329422148382742
3	3	1	1.974	1986	0.0398884578079534
3	3	2	1.681	1986	0.0340566056848802
3	3	3	1.778	1986	0.0372965262627958
3	3	4	1.835	1986	0.0354575668573195
4	3	1	1.726	1982	0.0357246346814588
4	3	2	2.143	1982	0.0434985588438274
4	3	3	2.061	1982	0.0441384332034094
4	3	4	1.841	1982	0.0393704155172045
6	3	1	2.086	1987	0.0325901854484666
6	3	2	1.961	1987	0.0326110455157734
6	3	3	1.882	1987	0.0312018170664987
6	3	4	1.73	1987	0.0276631807860821
7	3	1	1.459	1989	0.0376895456071918
7	3	2	1.139	1989	0.0314016321129246
7	3	3	1.206	1989	0.0309707241910632
7	3	4	1.333	1989	0.0354135118620653
8	4	1	2.714	1994	0.058417098947459
8	4	2	3.044	1994	0.0692889010288628
8	4	3	2.984	1994	0.062604900973481
8	4	4	2.534	1994	0.0604239692872642
9	3	1	3.683	1994	0.069187706642621
9	3	2	3.695	1994	0.0658539628223636
9	3	3	3.502	1994	0.068413135634609
9	3	4	3.588	1994	0.0663118208028388
12	3	1	2.698	1986	0.0405866867243325
12	3	2	2.372	1986	0.0379435006558531
12	3	3	2.42	1986	0.0395334400627307
12	3	4	2.349	1986	0.0377313030069391
1	3	1	1.078	1985	0.0357521889095251
1	3	2	1.327	1985	0.0396948848339815
1	3	3	1.094	1985	0.0333404443360863
1	3	4	1.159	1985	0.0384041883428874
2	3	1	0.952	1990	0.0217634821571451
2	3	2	0.603	1990	0.0154373927958834
2	3	3	0.792	1990	0.0213270142180095
2	3	4	0.825	1990	0.0214163335237007
3	3	1	1.568	1987	0.0316844487552538
3	3	2	1.586	1987	0.0321319313600357
3	3	3	1.524	1987	0.0319684510823964
3	3	4	1.872	1987	0.0361725150718813
4	3	1	1.709	1983	0.0353727697975742
4	3	2	1.81	1983	0.0367393334145252
4	3	3	1.65	1983	0.0353364457960337
4	3	4	1.647	1983	0.0352216590748701
5	2	1	1.331	1983	0.0302094918177898
5	2	2	2.774	1983	0.0411139600717345
5	2	3	2.495	1983	0.0439546887937565
5	2	4	1.554	1983	0.0306672192291753
6	3	1	1.51	1988	0.0235911697158123
6	3	2	1.649	1988	0.0274225466881745
6	3	3	1.729	1988	0.02866521876088
6	3	4	1.521	1988	0.0243212127026768
7	3	1	0.983	1990	0.025393299062282
