Snr	year	age	wid	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l	trt	bg
1	1945	1	2.865	1.54	1.325	0.608020391	0.52102568	0.7288999095	0.584094497	0.65581713	F	2
1	1946	2	0.905	0.525	0.38	0.631275503	0.491833308	0.823706426	0.535750078	0.7615851955	F	2
1	1947	3	0.695	0.505	0.19	0.581480119	0.4954738515	0.7398157815	0.544383694	0.681956903	F	2
1	1948	4	0.88	0.7	0.18	0.5335435395	0.4371171475	0.8127429585	0.4791553065	0.7480250985	F	2
1	1949	5	0.345	0.2	0.145	0.641153875	0.590281337	0.71792037	0.616278592	0.6791548085	F	2
1	1950	6	0.61	0.41	0.2	0.559013762	0.455344004	0.7507351255	0.502413174	0.675312173	F	2
1	1951	7	0.495	0.305	0.19	0.5278490875	0.4261656715	0.6850870845	0.466807553	0.6258873535	F	2
1	1952	8	0.325	0.185	0.14	0.5489550595	0.45898425	0.659555828	0.49448186	0.624075727	F	2
1	1953	9	0.655	0.38	0.275	0.626485979	0.5063896395	0.8017723465	0.5501890055	0.734136643	F	2
1	1954	10	0.72	0.39	0.33	0.6289388205	0.40427598	0.90387183	0.482739566	0.8038317025	F	2
1	1955	11	0.895	0.61	0.285	0.609883364	0.448030236	0.91844575	0.514364097	0.8084557435	F	2
1	1956	12	0.895	0.58	0.315	0.6830857595	0.491783816	1.0424171515	0.554553739	0.9187272265	F	2
1	1957	13	0.955	0.755	0.2	0.634781387	0.5027170845	1.0314618835	0.567508298	0.8898899735	F	2
1	1958	14	0.605	0.43	0.175	0.592905413	0.4334262355	0.99498689	0.48795428	0.850949502	F	2
1	1959	15	0.545	0.395	0.15	0.5627965495	0.3459062965	1.042382468	0.443775218	0.8758653845	F	2
1	1960	16	0.485	0.35	0.135	0.5262100125	0.3604894385	0.9293346105	0.4459228835	0.736882746	F	2
1	1961	17	0.47	0.33	0.14	0.583137519	0.396951236	0.929328073	0.508290036	0.757981348	F	2
1	1962	18	0.51	0.37	0.14	0.5444877995	0.367776953	1.060590648	0.4290558835	0.8428164695	F	2
1	1963	19	0.745	0.49	0.255	0.6106151405	0.371420721	1.097043194	0.4610688665	0.899317588	F	2
1	1964	20	0.53	0.38	0.15	0.53301366	0.3531844895	1.056922323	0.415997735	0.829826788	F	2
1	1965	21	0.595	0.42	0.175	0.5219079475	0.320364644	1.0386823845	0.3923613145	0.82719722	F	2
1	1966	22	0.64	0.45	0.19	0.5690575345	0.3203618835	1.118888647	0.4147402005	0.9357891635	F	2
1	1967	23	0.655	0.46	0.195	0.562472268	0.3385897705	1.0204290335	0.4290683235	0.876143312	F	2
1	1968	24	0.685	0.505	0.18	0.5511458955	0.3531708995	1.1006353275	0.431460008	0.886523169	F	2
1	1969	25	0.605	0.455	0.15	0.483656066	0.327644344	0.973009364	0.3872664055	0.780674697	F	2
1	1970	26	0.485	0.345	0.14	0.5325038865	0.349517829	1.045922897	0.40849585	0.8417033115	F	2
1	1971	27	0.785	0.62	0.165	0.501253406	0.309407532	1.0714341415	0.4001836695	0.8796666255	F	2
1	1972	28	0.94	0.75	0.19	0.488700403	0.291172807	1.155277727	0.358049101	1.004432921	F	2
1	1973	29	1.055	0.84	0.215	0.5004358215	0.3021070345	1.064109293	0.393000507	0.9192252495	F	2
1	1974	30	1.25	0.945	0.305	0.525935528	0.309393813	1.12242372	0.3844008905	0.9603154715	F	2
1	1975	31	1.185	0.85	0.335	0.5596543005	0.3239708035	1.093236222	0.4096225665	0.9405691555	F	2
1	1976	32	1.015	0.775	0.24	0.557612739	0.3421948045	1.151551331	0.4318579625	0.9653115545	F	2
1	1977	33	0.73	0.525	0.205	0.521100178	0.3203148515	0.9911265465	0.3877080015	0.8634477635	F	2
1	1978	34	0.815	0.62	0.195	0.5445418945	0.3203114425	1.096838759	0.415748544	0.9522877265	F	2
1	1979	35	0.91	0.65	0.26	0.5823378565	0.3239526475	1.1442166425	0.420814565	0.986146084	F	2
1	1980	36	0.775	0.525	0.25	0.631290878	0.3348857265	1.1514946425	0.439382572	1.0339476555	F	2
1	1981	37	0.52	0.37	0.15	0.595359807	0.374982821	1.049409894	0.4584023425	0.9331976645	F	2
1	1982	38	0.53	0.33	0.2	0.64166155	0.3603976755	1.074919691	0.464217159	0.936340903	F	2
1	1983	39	0.295	0.205	0.09	0.573738099	0.400494275	0.8999332845	0.490360759	0.8231946555	F	2
1	1984	40	0.245	0.165	0.08	0.551473194	0.3932022105	0.925447217	0.4650489635	0.819462792	F	2
1	1985	41	0.35	0.225	0.125	0.6194307105	0.353101229	1.027512318	0.4651661855	0.891789006	F	2
1	1986	42	0.705	0.375	0.33	0.7316224735	0.418716013	1.063955756	0.525811387	0.9613316055	F	2
1	1987	43	0.67	0.5	0.17	0.5826570565	0.353094636	1.089462616	0.4572367215	0.9529127345	F	2
1	1988	44	0.56	0.42	0.14	0.534726546	0.342154613	1.0311259555	0.421770575	0.8724360555	F	2
1	1989	45	0.76	0.545	0.215	0.617619369	0.3421518165	1.165991755	0.4635338905	1.0182790115	F	2
1	1990	46	1.09	0.64	0.45	0.7494721135	0.4223443345	1.144102306	0.5723806435	1.0019815515	F	2
1	1991	47	0.855	0.625	0.23	0.5770813	0.3202701795	1.1623116915	0.407024688	1.034826393	F	2
1	1992	48	0.865	0.57	0.295	0.6335318475	0.382234866	1.0201351555	0.4860767885	0.91997775	F	2
1	1993	49	1.15	0.83	0.32	0.609908336	0.3567135635	1.08937388	0.469450689	0.9721602935	F	2
1	1994	50	1.165	0.855	0.31	0.6047939815	0.342126009	1.1695449275	0.4493653925	1.0399105255	F	2
1	1995	51	1.21	0.95	0.26	0.5405135295	0.2837999925	1.1476530195	0.4105164545	1.0155237225	F	2
1	1996	52	1.04	0.855	0.185	0.5159638305	0.3129532405	1.1403446645	0.401485704	1.044909168	F	2
1	1997	53	0.985	0.72	0.265	0.5409732725	0.312949818	1.05285132	0.383982211	0.967762484	F	2
1	1998	54	1.215	0.97	0.245	0.5125549525	0.312943447	1.0892789405	0.392809752	0.986605617	F	2
1	1999	55	1.35	0.965	0.385	0.580251278	0.2983599085	1.151215485	0.388595232	1.0580970305	F	2
1	2000	56	1.325	0.96	0.365	0.563485075	0.389469416	0.921580473	0.4675107135	0.827396752	F	2
1	2001	57	1.79	1.29	0.5	0.557277197	0.309280234	1.049115644	0.417222865	0.9358760715	F	2
1	2002	58	2.315	1.515	0.8	0.6513779585	0.345716404	1.154765291	0.4543502685	1.0311800115	F	2
1	2003	59	1.935	1.25	0.685	0.627489967	0.331125667	1.1219348865	0.4239788475	1.0076649255	F	2
1	2004	60	2.315	1.685	0.63	0.5906571165	0.323826396	1.136470808	0.4244271445	1.03724461	F	2
1	2005	61	1.6	1.16	0.44	0.584870251	0.3238173705	1.165592986	0.401551679	1.0645604825	F	2
1	2006	62	1.57	1.295	0.275	0.527018832	0.342030018	1.161918148	0.4267820535	1.003930082	F	2
1	2007	63	1.46	1.08	0.38	0.5550865065	0.291006272	1.1436746685	0.391030456	1.020791353	F	2
1	2008	64	1.3	0.97	0.33	0.5367665715	0.3165052275	1.056197997	0.391227699	0.9638172785	F	2
1	2009	65	1.46	1.16	0.3	0.481256327	0.265485725	1.0525305635	0.358142748	0.946219775	F	2
1	2010	66	1.86	1.33	0.53	0.5150787045	0.276411797	1.067079112	0.360233426	0.894213668	F	2
1	2011	67	2.505	1.725	0.78	0.495586534	0.254542392	0.9540890225	0.341869958	0.838337912	F	2
1	2012	68	2.21	1.72	0.49	0.462090263	0.272749452	1.0050618075	0.344130292	0.8829104835	F	2
1	2013	69	2.02	1.165	0.855	0.622771241	0.2909578625	1.0596808635	0.3715936485	0.9673561015	F	2
1	2014	70	2.89	2.155	0.735	0.4808450685	0.294591527	0.9284818685	0.3743820415	0.7937726115	F	2
1	2015	71	2.31	2.025	0.285	0.4494427165	0.3091481215	1.0377325365	0.383832192	0.919441033	F	2
