Snr	route	diameter	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005
1	1	168.2451	1.425	2.097	1.775	1.968	3.307	2.213	2.535	2.732	2.093	1.522	1.266	1.519	1.586	1.452
2	1	137.4218	1.687	1.816	2.221	2.6	2.286	0.698	1.607	1.651	1.523	1.46	1.016	1.27	1.016	1.395
3	1	249.0606	1.227	1.694	2.603	2.083	1.952	1.427	2.126	2.953	3.301	2.857	1.905	1.488	1.041	1.266
4	1	197.8697	1.365	1.987	2.443	2.776	2.253	2.699	3.044	3.515	3.774	3.496	3.06	2.438	1.924	2.159
5	1	224.1871	1.809	1.586	1.234	1.778	1.808	1.681	2.032	2.665	2.596	2.126	1.492	1.491	1.523	1.586
6	1	112.8081	0.23	0.469	0.666	0.857	0.793	0.789	1.111	1.016	0.889	0.762	0.762	0.694	0.475	0.571
7	1	163.685	0.855	1.047	1.1	1.143	1.037	0.696	0.868	1.015	0.91	0.788	0.919	1.136	1.037	1.223
8	1	228.6686	0.596	0.758	0.614	0.634	0.868	0.826	1.228	1.449	0.952	0.825	0.825	1.054	0.974	1.142
9	1	109.0046	0.352	0.665	0.665	0.747	0.634	0.438	0.699	0.816	0.731	0.737	0.728	0.793	0.755	0.792
10	1	216.4125	1.074	1.141	1.583	1.253	1.329	0.537	0.728	1.212	0.824	1.041	1.06	1.11	1.388	1.538
11	1	139.7642	0.729	0.984	1.205	0.984	0.793	0.54	0.823	0.698	0.443	0.54	0.61	0.758	0.737	0.914
12	1	168.7523	0.502	0.846	0.856	0.716	0.595	0.56	0.971	1.141	0.696	0.987	1.013	0.815	0.913	0.942
1	2	168.2451	1.906	2.478	2.665	2.602	2.478	1.84	2.099	2.713	2.092	1.464	1.711	1.518	1.642	1.842
2	2	137.4218	1.079	1.389	1.315	1.515	1.206	0.572	1.516	0.89	0.825	0.63	0.507	0.508	0.697	0.698
3	2	249.0606	0.738	1.332	1.508	1.671	1.734	1.329	1.997	3.391	2.324	2.371	1.598	1.35	0.861	1.381
4	2	197.8697	0.92	1.161	1.681	1.803	1.969	2.412	3.045	2.444	2.826	2.736	2.369	1.555	1.789	2.067
5	2	224.1871	2.032	1.734	1.179	1.189	0.952	0.677	1.396	1.597	2.008	1.912	1.494	1.317	1.171	1.414
6	2	112.8081	0.851	0.762	1.175	0.972	0.658	0.793	0.857	0.983	0.688	0.662	0.602	0.538	0.402	0.459
7	2	163.685	1.268	1.237	0.825	1.01	1.015	0.723	1.043	1.266	1.03	1.16	1.011	1.196	1.102	1.46
8	2	228.6686	0.57	0.509	0.57	0.693	0.946	0.684	0.759	1.206	0.888	0.601	0.697	0.888	0.937	1.036
9	2	109.0046	0.571	0.604	0.823	0.635	0.552	0.526	0.661	0.785	0.667	0.666	0.76	0.857	0.623	1.123
10	2	216.4125	0.6	0.707	0.935	0.935	0.857	0.697	1.142	1.143	1.138	1.333	1.427	1.511	1.143	1.206
11	2	139.7642	0.784	0.638	0.729	0.784	0.564	0.445	0.634	0.572	0.508	0.436	0.475	0.634	0.603	0.621
12	2	168.7523	0.595	0.794	1.078	1.009	0.693	0.658	0.709	0.887	0.622	0.648	0.73	0.909	1.015	1.12
