plot	rep	Snr	d	d.underbark	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998
2	1	1	119.5	106.937	0.287	0.656	0.975	1.055	0.479	0.338	0.393	0.373	0.369	0.47	0.467	0.26	0.141	0.134	0.174	0.138
2	1	2	245.5	220.200	2.094	1.969	2.358	2.755	3.009	2.376	1.846	1.457	1.131	1.582	1.568	1.314	1.691	1.017	1.271	1.102
2	1	3	177.5	159.074	0.742	0.72	1.547	2.289	2.098	2.459	2.734	1.78	1.101	1.674	1.823	1.717	2.034	1.314	1.314	1.228
2	1	4	208	186.491	0.862	1.005	1.917	2.834	3.112	3.096	2.285	1.778	1.605	1.479	1.608	1.055	1.353	1.097	1.058	0.845
2	1	5	243.5	218.403	0.508	0.769	1.99	3.023	3.539	3.052	2.426	2.299	0.842	1.142	1.274	1.185	1.146	0.889	0.954	0.654
2	1	6	215.5	193.233	1.205	0.933	1.992	2.162	1.905	1.353	0.829	1.035	1.19	1.395	1.525	1.381	1.499	1.163	0.872	0.914
2	2	7	140.5	125.814	0.846	0.581	1.369	2.542	2.204	1.69	1.149	0.89	0.72	1.102	1.017	0.771	0.628	0.478	0.666	0.593
2	2	8	234	209.863	1.015	1.271	2.289	3.558	3.052	2.54	1.863	1.735	1.247	1.458	1.525	1.397	1.545	0.975	0.954	1.102
2	2	9	157.5	141.096	0.53	0.34	0.72	1.865	1.696	1.971	1.399	1.06	0.848	0.953	1.08	0.826	0.827	0.531	0.55	0.509
2	2	10	252	226.043	0.866	1.142	1.533	2.158	1.22	1.167	0.987	1.227	1.227	1.608	1.623	1.853	1.821	1.187	1.187	1.313
2	2	11	174	155.928	1.152	1.082	1.991	2.647	2.76	2.706	2.033	1.654	1.034	1.107	1.412	1.567	1.568	0.721	0.763	0.817
2	2	12	216	193.682	1.69	1.811	3.294	3.674	3.939	3.391	2.628	2.755	1.907	1.861	2.324	2.19	2.109	1.142	1.225	1.222
2	3	13	185.5	166.266	0.825	0.571	0.866	1.461	2.055	1.484	1.102	0.678	0.889	1.186	1.588	1.63	2.094	1.546	1.143	1.227
2	3	14	124	110.982	1.079	0.942	1.611	1.738	1.391	1.361	1	1.122	1.067	1.142	1.419	1.14	0.927	0.808	1.015	1.104
2	3	15	227.5	204.020	0.829	1.37	1.794	2.077	1.691	1.904	1.523	1.074	0.865	0.9	0.763	0.931	1.159	1.184	0.834	0.883
2	3	16	253	226.942	0.489	0.339	1.014	1.25	1.208	1.187	0.977	0.89	0.847	1.353	1.271	1.315	1.146	0.932	0.975	0.975
2	3	17	217	194.581	1.313	1.783	2.143	2.262	2.052	1.713	1.187	1.299	1.051	1.404	1.482	1.185	1.585	0.872	0.908	0.914
2	3	18	172	154.130	0.862	1.107	1.096	0.975	0.733	0.733	0.798	0.725	0.647	0.577	0.591	0.55	0.804	0.719	0.634	0.678
3	1	19	108	96.600	0.477	0.414	0.398	0.36	0.285	0.447	0.423	0.472	0.544	0.671	0.584	0.584	0.532	0.55	0.55	0.647
3	1	20	180	161.322	0.638	0.593	0.636	0.848	0.721	0.848	0.509	0.773	0.678	0.963	0.847	1.101	1.099	1.013	0.841	1.136
3	1	21	238	213.459	0.654	0.649	0.865	1.089	0.97	0.811	0.677	0.932	0.974	1.44	1.525	0.817	1.131	1.143	1.242	1.041
3	1	22	216.5	194.132	0.977	0.932	1.05	1.193	0.854	0.849	1.126	1.076	1.269	1.272	1.356	1.259	1.368	1.272	0.892	1.265
3	1	23	213.5	191.435	0.509	0.424	0.452	0.65	0.509	0.636	0.579	0.862	0.749	1.003	0.932	1.116	0.748	0.862	0.692	0.889
3	1	24	284.5	255.258	0.582	0.91	0.918	1.057	0.639	0.625	0.734	0.72	0.976	1.348	1.36	1.51	1.857	1.255	1.185	1.574
3	2	25	180.5	161.771	0.495	0.342	0.552	0.741	0.498	0.53	0.388	0.65	0.487	0.736	0.67	0.599	0.629	0.677	0.889	0.804
3	2	26	146	130.758	0.254	0.222	0.276	0.423	0.423	0.414	0.498	0.434	0.476	0.646	0.529	0.486	0.371	0.264	0.37	0.624
3	2	27	249.5	223.796	0.974	0.889	1.108	1.346	1.222	1.094	1.243	1.355	1.566	1.779	1.736	1.397	1.352	1.228	1.363	1.317
3	2	28	207.5	186.042	0.943	0.974	1.211	1.534	1.03	1.09	1.187	1.399	1.229	1.647	1.763	1.333	1.15	1.035	0.894	0.954
3	2	29	259.5	232.785	0.684	0.87	1.014	1.179	0.8	1.013	0.971	1.055	1.123	1.414	1.272	1.185	1.609	1.526	1.568	1.399
3	2	30	202	181.098	0.244	0.211	0.307	0.424	0.38	0.353	0.437	0.569	0.672	1.113	0.916	0.719	0.711	0.8	0.739	0.998
